FOLDER,ELEMENT,ATTRIBUTE,,,,
ARGUS1_DCD42_2P+E+SE,default,AttributeType,None,,,
ARGUS1_DCD42_2P+E+SE,default,actset,None,,,
ARGUS1_DCD42_2P+E+SE,default,application,None,,,
ARGUS1_DCD42_2P+E+SE,default,appr_modby,None,,,
ARGUS1_DCD42_2P+E+SE,default,appr_modif,None,,,
ARGUS1_DCD42_2P+E+SE,default,appr_status,None,,,
ARGUS1_DCD42_2P+E+SE,default,cDisplayName,None,,,
ARGUS1_DCD42_2P+E+SE,default,cUserDefIndex,None,,,
ARGUS1_DCD42_2P+E+SE,default,c_category,None,,,
ARGUS1_DCD42_2P+E+SE,default,cbranch,None,,,
ARGUS1_DCD42_2P+E+SE,default,cbranchid,None,,,
ARGUS1_DCD42_2P+E+SE,default,cctprim,None,,,
ARGUS1_DCD42_2P+E+SE,default,cctsec,None,,,
ARGUS1_DCD42_2P+E+SE,default,ccub,None,,,
ARGUS1_DCD42_2P+E+SE,default,charact,None,,,
ARGUS1_DCD42_2P+E+SE,default,chr_name,None,,,
ARGUS1_DCD42_2P+E+SE,default,ciDist,None,,,
ARGUS1_DCD42_2P+E+SE,default,ciDistAll,None,,,
ARGUS1_DCD42_2P+E+SE,default,ciDistAllRoot,None,,,
ARGUS1_DCD42_2P+E+SE,default,ciDistRoot,None,,,
ARGUS1_DCD42_2P+E+SE,default,ciEarthed,None,,,
ARGUS1_DCD42_2P+E+SE,default,ciEnergized,None,,,
ARGUS1_DCD42_2P+E+SE,default,ciLater,None,,,
ARGUS1_DCD42_2P+E+SE,default,ciOutaged,None,,,
ARGUS1_DCD42_2P+E+SE,default,cn_bus,None,,,
ARGUS1_DCD42_2P+E+SE,default,cn_rembus,None,,,
ARGUS1_DCD42_2P+E+SE,default,constr,None,,,
ARGUS1_DCD42_2P+E+SE,default,contents,None,,,
ARGUS1_DCD42_2P+E+SE,default,cpArea,None,,,
ARGUS1_DCD42_2P+E+SE,default,cpBranch,None,,,
ARGUS1_DCD42_2P+E+SE,default,cpCt,None,,,
ARGUS1_DCD42_2P+E+SE,default,cpFeed,None,,,
ARGUS1_DCD42_2P+E+SE,default,cpGrid,None,,,
ARGUS1_DCD42_2P+E+SE,default,cpHeadFold,None,,,
ARGUS1_DCD42_2P+E+SE,default,cpMeteostat,None,,,
ARGUS1_DCD42_2P+E+SE,default,cpOperator,None,,,
ARGUS1_DCD42_2P+E+SE,default,cpOwner,None,,,
ARGUS1_DCD42_2P+E+SE,default,cpShc,None,,,
ARGUS1_DCD42_2P+E+SE,default,cpSite,None,,,
ARGUS1_DCD42_2P+E+SE,default,cpSubstat,None,,,
ARGUS1_DCD42_2P+E+SE,default,cpSupplySubstation,None,,,
ARGUS1_DCD42_2P+E+SE,default,cpSupplyTransformer,None,,,
ARGUS1_DCD42_2P+E+SE,default,cpSupplyTrfStation,None,,,
ARGUS1_DCD42_2P+E+SE,default,cpVt,None,,,
ARGUS1_DCD42_2P+E+SE,default,cpZone,None,,,
ARGUS1_DCD42_2P+E+SE,default,ctprim,None,,,
ARGUS1_DCD42_2P+E+SE,default,ctsec,None,,,
ARGUS1_DCD42_2P+E+SE,default,cvtprim,None,,,
ARGUS1_DCD42_2P+E+SE,default,cvtsec,None,,,
ARGUS1_DCD42_2P+E+SE,default,dat_src,None,,,
ARGUS1_DCD42_2P+E+SE,default,dataExtUnit,None,,,
ARGUS1_DCD42_2P+E+SE,default,desc,None,,,
ARGUS1_DCD42_2P+E+SE,default,dev_no,None,,,
ARGUS1_DCD42_2P+E+SE,default,doc_id,None,,,
ARGUS1_DCD42_2P+E+SE,default,efaultmaxi,None,,,
ARGUS1_DCD42_2P+E+SE,default,efaultmini,None,,,
ARGUS1_DCD42_2P+E+SE,default,fold_id,None,,,
ARGUS1_DCD42_2P+E+SE,default,for_name,None,,,
ARGUS1_DCD42_2P+E+SE,default,gnrl_modby,None,,,
ARGUS1_DCD42_2P+E+SE,default,gnrl_modif,None,,,
ARGUS1_DCD42_2P+E+SE,default,iComDate,None,,,
ARGUS1_DCD42_2P+E+SE,default,iSchemeStatus,None,,,
ARGUS1_DCD42_2P+E+SE,default,isSubRelay,None,,,
ARGUS1_DCD42_2P+E+SE,default,loc_name,None,,,
ARGUS1_DCD42_2P+E+SE,default,outserv,None,,,
ARGUS1_DCD42_2P+E+SE,default,pOperator,None,,,
ARGUS1_DCD42_2P+E+SE,default,pOwner,None,,,
ARGUS1_DCD42_2P+E+SE,default,pReference,None,,,
ARGUS1_DCD42_2P+E+SE,default,pdiselm,None,,,
ARGUS1_DCD42_2P+E+SE,default,pelm,None,,,
ARGUS1_DCD42_2P+E+SE,default,phfaultmaxi,None,,,
