FOLDER,ELEMENT,ATTRIBUTE,,,,,
BBR ICM21_A,default,AttributeType,None,,,,
BBR ICM21_A,default,actset,None,,,,
BBR ICM21_A,default,application,None,,,,
BBR ICM21_A,default,appr_modby,None,,,,
BBR ICM21_A,default,appr_modif,None,,,,
BBR ICM21_A,default,appr_status,None,,,,
BBR ICM21_A,default,cDisplayName,None,,,,
BBR ICM21_A,default,cUserDefIndex,None,,,,
BBR ICM21_A,default,c_category,None,,,,
BBR ICM21_A,default,cbranch,None,,,,
BBR ICM21_A,default,cbranchid,None,,,,
BBR ICM21_A,default,cctprim,None,,,,
BBR ICM21_A,default,cctsec,None,,,,
BBR ICM21_A,default,ccub,None,,,,
BBR ICM21_A,default,charact,None,,,,
BBR ICM21_A,default,chr_name,None,,,,
BBR ICM21_A,default,ciDist,None,,,,
BBR ICM21_A,default,ciDistAll,None,,,,
BBR ICM21_A,default,ciDistAllRoot,None,,,,
BBR ICM21_A,default,ciDistRoot,None,,,,
BBR ICM21_A,default,ciEarthed,None,,,,
BBR ICM21_A,default,ciEnergized,None,,,,
BBR ICM21_A,default,ciLater,None,,,,
BBR ICM21_A,default,ciOutaged,None,,,,
BBR ICM21_A,default,cn_bus,None,,,,
BBR ICM21_A,default,cn_rembus,None,,,,
BBR ICM21_A,default,constr,None,,,,
BBR ICM21_A,default,contents,None,,,,
BBR ICM21_A,default,cpArea,None,,,,
BBR ICM21_A,default,cpBranch,None,,,,
BBR ICM21_A,default,cpCt,None,,,,
BBR ICM21_A,default,cpFeed,None,,,,
BBR ICM21_A,default,cpGrid,None,,,,
BBR ICM21_A,default,cpHeadFold,None,,,,
BBR ICM21_A,default,cpMeteostat,None,,,,
BBR ICM21_A,default,cpOperator,None,,,,
BBR ICM21_A,default,cpOwner,None,,,,
BBR ICM21_A,default,cpShc,None,,,,
BBR ICM21_A,default,cpSite,None,,,,
BBR ICM21_A,default,cpSubstat,None,,,,
BBR ICM21_A,default,cpSupplySubstation,None,,,,
BBR ICM21_A,default,cpSupplyTransformer,None,,,,
BBR ICM21_A,default,cpSupplyTrfStation,None,,,,
BBR ICM21_A,default,cpVt,None,,,,
BBR ICM21_A,default,cpZone,None,,,,
BBR ICM21_A,default,ctprim,None,,,,
BBR ICM21_A,default,ctsec,None,,,,
BBR ICM21_A,default,cvtprim,None,,,,
BBR ICM21_A,default,cvtsec,None,,,,
BBR ICM21_A,default,dat_src,None,,,,
BBR ICM21_A,default,dataExtUnit,None,,,,
BBR ICM21_A,default,desc,None,,,,
BBR ICM21_A,default,dev_no,None,,,,
BBR ICM21_A,default,doc_id,None,,,,
BBR ICM21_A,default,efaultmaxi,None,,,,
BBR ICM21_A,default,efaultmini,None,,,,
BBR ICM21_A,default,fold_id,None,,,,
BBR ICM21_A,default,for_name,None,,,,
BBR ICM21_A,default,gnrl_modby,None,,,,
BBR ICM21_A,default,gnrl_modif,None,,,,
BBR ICM21_A,default,iComDate,None,,,,
BBR ICM21_A,default,iSchemeStatus,None,,,,
BBR ICM21_A,default,isSubRelay,None,,,,
BBR ICM21_A,default,loc_name,None,,,,
BBR ICM21_A,default,outserv,None,,,,
BBR ICM21_A,default,pOperator,None,,,,
BBR ICM21_A,default,pOwner,None,,,,
BBR ICM21_A,default,pReference,None,,,,
BBR ICM21_A,default,pdiselm,None,,,,
BBR ICM21_A,default,pelm,None,,,,
BBR ICM21_A,default,phfaultmaxi,None,,,,
BBR ICM21_A,default,phfaultmini,None,,,,
BBR ICM21_A,default,root_id,None,,,,
BBR ICM21_A,default,sernum,None,,,,
BBR ICM21_A,default,sw_settingsGroups,None,,,,
BBR ICM21_A,default,td_bR,None,,,,
BBR ICM21_A,default,td_bRC,None,,,,
BBR ICM21_A,default,td_bX,None,,,,
BBR ICM21_A,default,td_bXC,None,,,,
BBR ICM21_A,default,td_bZ,None,,,,
BBR ICM21_A,default,td_bZC,None,,,,
BBR ICM21_A,default,td_blim,None,,,,
BBR ICM21_A,default,td_bobj,None,,,,
BBR ICM21_A,default,td_bphi,None,,,,
BBR ICM21_A,default,td_bphiC,None,,,,
BBR ICM21_A,default,td_bpos,None,,,,
BBR ICM21_A,default,td_btpbk,None,,,,
BBR ICM21_A,default,td_btrip,None,,,,
BBR ICM21_A,default,td_cnt,None,,,,
BBR ICM21_A,default,td_fR,None,,,,
BBR ICM21_A,default,td_fRC,None,,,,
BBR ICM21_A,default,td_fX,None,,,,
BBR ICM21_A,default,td_fXC,None,,,,
BBR ICM21_A,default,td_fZ,None,,,,
BBR ICM21_A,default,td_fZC,None,,,,
BBR ICM21_A,default,td_flim,None,,,,
BBR ICM21_A,default,td_fobj,None,,,,
BBR ICM21_A,default,td_fphi,None,,,,
BBR ICM21_A,default,td_fphiC,None,,,,
BBR ICM21_A,default,td_fpos,None,,,,
BBR ICM21_A,default,td_ftpbk,None,,,,
BBR ICM21_A,default,td_ftrip,None,,,,
BBR ICM21_A,default,typ_id,None,,,,
BBR ICM21_A,default,vtprim,None,,,,
BBR ICM21_A,default,vtsec,None,,,,
BBR ICM21_A,default,zratio,None,,,,
default,I>>Earth,AttributeType,None,,,,
default,I>>Earth,Ipset,Setting/,I>>,use_setting,None,
default,I>>Earth,Ipsetr,None,,,,
default,I>>Earth,Trelblock,None,,,,
default,I>>Earth,Tset,None,,,,
default,I>>Earth,cDisplayName,None,,,,
default,I>>Earth,cTset,None,,,,
default,I>>Earth,cUserDefIndex,None,,,,
default,I>>Earth,c_sfansi,None,,,,
default,I>>Earth,c_sfiec,None,,,,
default,I>>Earth,c_type,None,,,,
default,I>>Earth,calcuse,None,,,,
default,I>>Earth,charact,None,,,,
default,I>>Earth,chr_name,None,,,,
default,I>>Earth,ciDist,None,,,,
default,I>>Earth,ciDistAll,None,,,,
default,I>>Earth,ciDistAllRoot,None,,,,
default,I>>Earth,ciDistRoot,None,,,,
default,I>>Earth,ciEarthed,None,,,,
default,I>>Earth,ciEnergized,None,,,,
default,I>>Earth,ciLater,None,,,,
default,I>>Earth,ciOutaged,None,,,,
default,I>>Earth,cpArea,None,,,,
default,I>>Earth,cpBranch,None,,,,
default,I>>Earth,cpFeed,None,,,,
default,I>>Earth,cpGrid,None,,,,
default,I>>Earth,cpHeadFold,None,,,,
default,I>>Earth,cpMeteostat,None,,,,
default,I>>Earth,cpOperator,None,,,,
default,I>>Earth,cpOwner,None,,,,
default,I>>Earth,cpSite,None,,,,
default,I>>Earth,cpSubstat,None,,,,
default,I>>Earth,cpSupplySubstation,None,,,,
default,I>>Earth,cpSupplyTransformer,None,,,,
default,I>>Earth,cpSupplyTrfStation,None,,,,
default,I>>Earth,cpZone,None,,,,
default,I>>Earth,cptotime,None,,,,
default,I>>Earth,dat_src,None,,,,
default,I>>Earth,dataExtUnit,None,,,,
default,I>>Earth,fold_id,None,,,,
default,I>>Earth,for_name,None,,,,
default,I>>Earth,gnrl_modby,None,,,,
default,I>>Earth,gnrl_modif,None,,,,
default,I>>Earth,iSchemeStatus,None,,,,
default,I>>Earth,iacceptblock,None,,,,
default,I>>Earth,idir,None,,,,
default,I>>Earth,loc_name,None,,,,
default,I>>Earth,outserv,Setting/,I>>,use_setting,inf,
default,I>>Earth,root_id,None,,,,
default,I>>Earth,typ_id,None,,,,
default,Logic,AttributeType,None,,,,
default,Logic,cDisplayName,None,,,,
default,Logic,cUserDefIndex,None,,,,
default,Logic,charact,None,,,,
default,Logic,chr_name,None,,,,
default,Logic,ciDist,None,,,,
default,Logic,ciDistAll,None,,,,
default,Logic,ciDistAllRoot,None,,,,
default,Logic,ciDistRoot,None,,,,
default,Logic,ciEarthed,None,,,,
default,Logic,ciEnergized,None,,,,
default,Logic,ciLater,None,,,,
default,Logic,ciOutaged,None,,,,
default,Logic,cpArea,None,,,,
default,Logic,cpBranch,None,,,,
default,Logic,cpFeed,None,,,,
default,Logic,cpGrid,None,,,,
default,Logic,cpHeadFold,None,,,,
default,Logic,cpMeteostat,None,,,,
default,Logic,cpOperator,None,,,,
default,Logic,cpOwner,None,,,,
default,Logic,cpSite,None,,,,
default,Logic,cpSubstat,None,,,,
default,Logic,cpSupplySubstation,None,,,,
default,Logic,cpSupplyTransformer,None,,,,
default,Logic,cpSupplyTrfStation,None,,,,
default,Logic,cpZone,None,,,,
default,Logic,dat_src,None,,,,
default,Logic,dataExtUnit,None,,,,
default,Logic,fold_id,None,,,,
default,Logic,for_name,None,,,,
default,Logic,gnrl_modby,None,,,,
default,Logic,gnrl_modif,None,,,,
default,Logic,iSchemeStatus,None,,,,
default,Logic,iout,None,,,,
default,Logic,loc_name,None,,,,
default,Logic,outserv,ON,,,,
default,Logic,pSwitch,None,,,,
default,Logic,root_id,None,,,,
default,Logic,typ_id,None,,,,
default,Measure,AttributeType,None,,,,
default,Measure,Inom,None,,,,
default,Measure,Is,None,,,,
default,Measure,Unom,None,,,,
default,Measure,cDisplayName,None,,,,
default,Measure,cUserDefIndex,None,,,,
default,Measure,charact,None,,,,
default,Measure,chr_name,None,,,,
default,Measure,ciDist,None,,,,
default,Measure,ciDistAll,None,,,,
default,Measure,ciDistAllRoot,None,,,,
default,Measure,ciDistRoot,None,,,,
default,Measure,ciEarthed,None,,,,
default,Measure,ciEnergized,None,,,,
default,Measure,ciLater,None,,,,
default,Measure,ciOutaged,None,,,,
default,Measure,cpArea,None,,,,
default,Measure,cpBranch,None,,,,
default,Measure,cpFeed,None,,,,
default,Measure,cpGrid,None,,,,
default,Measure,cpHeadFold,None,,,,
default,Measure,cpMeteostat,None,,,,
default,Measure,cpOperator,None,,,,
default,Measure,cpOwner,None,,,,
default,Measure,cpSite,None,,,,
default,Measure,cpSubstat,None,,,,
default,Measure,cpSupplySubstation,None,,,,
default,Measure,cpSupplyTransformer,None,,,,
default,Measure,cpSupplyTrfStation,None,,,,
default,Measure,cpZone,None,,,,
default,Measure,dat_src,None,,,,
default,Measure,dataExtUnit,None,,,,
default,Measure,fold_id,None,,,,
default,Measure,for_name,None,,,,
default,Measure,gnrl_modby,None,,,,
default,Measure,gnrl_modif,None,,,,
default,Measure,iSchemeStatus,None,,,,
default,Measure,iphase,None,,,,
default,Measure,loc_name,None,,,,
default,Measure,outserv,ON,,,,
default,Measure,root_id,None,,,,
default,Measure,typ_id,None,,,,
default,I>Earth,AttributeType,None,,,,
default,I>Earth,Ipset,Setting/,I>,use_setting,secondary,
default,I>Earth,Ipsetr,None,,,,
default,I>Earth,ModFrame,None,,,,
default,I>Earth,ResetT,None,,,,
default,I>Earth,Tadder,None,,,,
default,I>Earth,Tpset,Setting/,T>,use_setting,/,100
default,I>Earth,Trelblock,None,,,,
default,I>Earth,Tshift,None,,,,
default,I>Earth,cDisplayName,None,,,,
default,I>Earth,cResetT,None,,,,
default,I>Earth,cTadder,None,,,,
default,I>Earth,cUserDefIndex,None,,,,
default,I>Earth,c_sfansi,None,,,,
default,I>Earth,c_sfiec,None,,,,
default,I>Earth,c_type,None,,,,
default,I>Earth,calcuse,None,,,,
default,I>Earth,charact,None,,,,
default,I>Earth,chr_name,None,,,,
default,I>Earth,ciDist,None,,,,
default,I>Earth,ciDistAll,None,,,,
default,I>Earth,ciDistAllRoot,None,,,,
default,I>Earth,ciDistRoot,None,,,,
default,I>Earth,ciEarthed,None,,,,
default,I>Earth,ciEnergized,None,,,,
default,I>Earth,ciLater,None,,,,
default,I>Earth,ciOutaged,None,,,,
default,I>Earth,cminresptime,None,,,,
default,I>Earth,cpArea,None,,,,
default,I>Earth,cpBranch,None,,,,
default,I>Earth,cpFeed,None,,,,
default,I>Earth,cpGrid,None,,,,
default,I>Earth,cpHeadFold,None,,,,
default,I>Earth,cpMeteostat,None,,,,
default,I>Earth,cpOperator,None,,,,
default,I>Earth,cpOwner,None,,,,
default,I>Earth,cpSite,None,,,,
default,I>Earth,cpSubstat,None,,,,
default,I>Earth,cpSupplySubstation,None,,,,
default,I>Earth,cpSupplyTransformer,None,,,,
default,I>Earth,cpSupplyTrfStation,None,,,,
default,I>Earth,cpZone,None,,,,
default,I>Earth,dat_src,None,,,,
default,I>Earth,dataExtUnit,None,,,,
default,I>Earth,fold_id,None,,,,
default,I>Earth,for_name,None,,,,
default,I>Earth,gnrl_modby,None,,,,
default,I>Earth,gnrl_modif,None,,,,
default,I>Earth,iSchemeStatus,None,,,,
default,I>Earth,iacceptblock,None,,,,
default,I>Earth,idir,None,,,,
default,I>Earth,loc_name,None,,,,
default,I>Earth,minresptime,None,,,,
default,I>Earth,outserv,ON,,,,
default,I>Earth,pcharac,None,,,,
default,I>Earth,resetdis,None,,,,
default,I>Earth,root_id,None,,,,
default,I>Earth,typ_id,None,,,,
default,I>Earth,udeftmax,None,,,,
default,I>Earth,udeftmin,None,,,,
