PROJECT,GRID,SUBSTATION,CB_NAME,NEW_NAME
Abermain,BDB,CAL,BB_11/13,Not Needed
Abermain,Boundary Subs,AMH,BDB6(1)_CB,Not Needed
Abermain,Boundary Subs,BDB,BDB6B_CB,BDB6A+B_CB2
Abermain,BDB,BDB,BDBBRW3B_CB,BDBBRW3A+B_CB
Abermain,Boundary Subs,BRW,BDBBRW3B_CB,BDBBRW3A+B_CB
Abermain,BDB,BRW,BDBBRW8(1)_CB,BDBRBW8A+B_CB_1
Abermain,BDB,BRW,BDBBRW8(2)_CB,BDBRBW8A+B_CB_2
Abermain,Boundary Subs,BDB,BDBBRW8A_CB,BDBRBW8A+B_CB_1
Abermain,Boundary Subs,BDB,BDBBRW8B_CB,BDBRBW8A+B_CB_1
Abermain,BDB,BDB,BDBCAL10B_CB,BDBCAL10A+B_CB_2
Abermain,Boundary Subs,CAL,BDBCAL10B_CB,BDBCAL10A+B_CB_2
Abermain,BDB,CAL,BDBCAL12B_CB,BDBCAL12A+B_CB_2
Abermain,Boundary Subs,BDB,BDBCAL12B_CB,BDBCAL12A+B_CB_2
Abermain,BDB,CAL,BDBCAL2A(1)_CB,BDBCAL2A+B_CB1
Abermain,BDB,CAL,BDBCAL2B(1)_CB,BDBCAL2A+B_CB2
Abermain,Boundary Subs,BDB,BDBCAL2B_CB,BDBCAL2A+B_CB2
Abermain,BDB,CAL,CAL_BB12/13,Not Needed
Abermain,RWD,EZR,EZRRWD4(1)_CB,EZR4_CB
Abermain,MCW,MCW,MCW4(1)_CB,MCW4A+CP1_CB
Abermain,MCW,MCW,MCWWTP3B_CB,MCWWTP3A+B_CB
Abermain,MCW,WTP,MCWWTP3B_CB,Not Needed
Abermain,MCW,MCW,MCWWTP6B_CB,MCWWTP6A+B_CB
Abermain,MCW,WTP,MCWWTP6B_CB,Not Needed
Abermain,RWD,RWD,RWD1B_CB,Not Needed
Archerfield,AFD,CIG,AFDCIG15_CB,Not Needed
Archerfield,AFD,AFD,AFDCIG15_CB,No active setting
Archerfield,SBY,GCL,GCLSBY10(1)_CB,GCLSBY10_CB
Archerfield,OXL,RCL,GEN(154)_CB,Not Needed
Ashgrove West,Boundary Subs,GAP,GAP_BB11/12,Not Needed
Ashgrove West,Boundary Subs,TRG,STL4TRG_CB,STLTRG4_CB
Ashgrove West,Boundary Subs,TRG,TRG3B_CB,No active setting
Ashgrove West,Boundary Subs,TRG,TRGTWG12OLD_CB,TRGTWG12_CB
Ashgrove West,TWG,TWG,TWG13B_CB,No active setting
Ashgrove West,TWG,TWG,TWG15A_CB,TWG15_CB
Beaudesert,IPL,IPL,IPL3_CB,No active setting
Beenleigh,BLH,BLH,BLH11B_CB,BLH11A+B_CB
Beenleigh,BLH,BLH,BLH13B_CB,BLH13A+B_CB
Beenleigh,BLH,BLH,BLH15B_CB,BLH15A+B_CB
Beenleigh,BLH,BLH,BLH9B_CB,BLH9A+B_CB
Beenleigh,BLH,BLH,BLHSTN16_CB,No active setting
Beenleigh,LHM,LHM,LHM8B_CB,LHM8A+B_CB
Belmont,BBS,SG865510,BBS7A_CB,Not Needed
Belmont,SRD,SSCDS,CDS_BB11/12,Not Needed
Belmont,SRD,SSCDS,CDS4_CB,Wrong Sub Name
Belmont,UMG,GCT,CGT_BB11/12,Not Needed
Belmont,SRD,SSCDS,CSD2_CB,Wrong Sub Name
Belmont,UMG,SSGCX,GCX_BB11/12,Not Needed
Belmont,Boundary Subs,SRD,RPN_BB11/13,Not Needed
Belmont,Boundary Subs,SRD,RPN_BB12/13,Not Needed
Belmont,Boundary Subs,UMG,UMG27A_CB,UMG27B_CB
Brendale,ACR,ARC,ACR2B_CB,ARC2_CB
Brendale,ACR,ARC,ACR3A_CB,ACR3_CB
Brendale,AHL,AHL,AHL4A_CB,No active setting
Brendale,Boundary Subs,BHL,BHL_BB11/12,Not Needed
Brendale,Boundary Subs,BHL,BHL1B_CB,BHL1A+B_CB
Brendale,BRD,BRD,BRD10B_CB,BRD10A+B_CB
Brendale,Boundary Subs,SFD,SFD10_CB,No active setting
Brendale,Boundary Subs,SFD,SFD11_CB,No active setting
Brendale,Boundary Subs,SFD,SFD3_CB,No active setting
Brendale,Boundary Subs,SFD,SFD4_CB,No active setting
Brendale,Boundary Subs,SFD,SFD5_CB,No active setting
Brendale,Boundary Subs,SFD,SFD6B_CB,SFD6_CB
Brendale,Boundary Subs,SFD,SFD7A_CB,SFD7_A
Brendale,Boundary Subs,SFD,SFD8_CB,No active setting
Brendale,Boundary Subs,SFD,SFD9_CB,No active setting
Brendale,SPE,WSP,WSP_BB11/12,Not Needed
Brisbane CBD,ATC,ACH,ACHAPH2(1)_CB,ACHAPH2_CB
Brisbane CBD,MST_MST_WED_WED,ACI,ACI9_CB,ACIWED9_CB
Brisbane CBD,MST_MST_WED_WED,ACI,ACICTC1(1)_CB,ACICTC1_CB
Brisbane CBD,MST_MST_WED_WED,ACI,ACIWED9B(1)_CB,Not Needed
Brisbane CBD,MST_MST_WED_WED,WED,ACIWED9B_CB,ACIWED9A+B_CB
Brisbane CBD,CST_CST,ACS,ACSCST3(1)_CB,ACSCST3_CB
Brisbane CBD,CST_CST,CST,ACSCST3_CB,Not Needed
Brisbane CBD,AST,ADS,ADSCTH6(1)_CB,ADSCTH6_CB
Brisbane CBD,MST_MST_WED_WED,AET,AETMST6(1)_CB,AETMST6_CB
Brisbane CBD,MST_MST_WED_WED,AET,AETSGB2(1)_CB,AETSGB2_CB
Brisbane CBD,AST,AFE,AFECPY8(1)_CB,AFECPY8_CB
Brisbane CBD,MST_MST_WED_WED,AFT,AFT2_CB,Not Needed
Brisbane CBD,MST_MST_WED_WED,MBF,AFTMBF12(1)_CB,AFTMBF12_CB
Brisbane CBD,MST_MST_WED_WED,AFT,AFTMBF12(1)_CB,AFTMBF12_CB
Brisbane CBD,AST,EGE,AHTEGE1(1)_CB,AHTEGE1_CB
Brisbane CBD,MLS,BAB,AJVBAB3(1)_CB,AJVBAB3_CB
Brisbane CBD,MLS,AJV,AJVBAB3_CB,Not Needed
Brisbane CBD,CST_CST,AMC,AMCCST16(1)_CB,AMCCST16A+B_CB1
Brisbane CBD,CST_CST,CST,AMCCST16(1)_CB,AMCCST16_CB
