FOLDER,ELEMENT,ATTRIBUTE,,,,
CDG21_Phase,default,AttributeType,None,,,
CDG21_Phase,default,actset,None,,,
CDG21_Phase,default,application,None,,,
CDG21_Phase,default,appr_modby,None,,,
CDG21_Phase,default,appr_modif,None,,,
CDG21_Phase,default,appr_status,None,,,
CDG21_Phase,default,cDisplayName,None,,,
CDG21_Phase,default,cUserDefIndex,None,,,
CDG21_Phase,default,c_category,None,,,
CDG21_Phase,default,cbranch,None,,,
CDG21_Phase,default,cbranchid,None,,,
CDG21_Phase,default,cctprim,None,,,
CDG21_Phase,default,cctsec,None,,,
CDG21_Phase,default,ccub,None,,,
CDG21_Phase,default,charact,None,,,
CDG21_Phase,default,chr_name,None,,,
CDG21_Phase,default,ciDist,None,,,
CDG21_Phase,default,ciDistAll,None,,,
CDG21_Phase,default,ciDistAllRoot,None,,,
CDG21_Phase,default,ciDistRoot,None,,,
CDG21_Phase,default,ciEarthed,None,,,
CDG21_Phase,default,ciEnergized,None,,,
CDG21_Phase,default,ciLater,None,,,
CDG21_Phase,default,ciOutaged,None,,,
CDG21_Phase,default,cn_bus,None,,,
CDG21_Phase,default,constr,None,,,
CDG21_Phase,default,contents,None,,,
CDG21_Phase,default,cpArea,None,,,
CDG21_Phase,default,cpBranch,None,,,
CDG21_Phase,default,cpCt,None,,,
CDG21_Phase,default,cpFeed,None,,,
CDG21_Phase,default,cpGrid,None,,,
CDG21_Phase,default,cpHeadFold,None,,,
CDG21_Phase,default,cpMeteostat,None,,,
CDG21_Phase,default,cpOperator,None,,,
CDG21_Phase,default,cpOwner,None,,,
CDG21_Phase,default,cpShc,None,,,
CDG21_Phase,default,cpSite,None,,,
CDG21_Phase,default,cpSubstat,None,,,
CDG21_Phase,default,cpSupplySubstation,None,,,
CDG21_Phase,default,cpSupplyTransformer,None,,,
CDG21_Phase,default,cpSupplyTrfStation,None,,,
CDG21_Phase,default,cpVt,None,,,
CDG21_Phase,default,cpZone,None,,,
CDG21_Phase,default,ctprim,None,,,
CDG21_Phase,default,ctsec,None,,,
CDG21_Phase,default,cvtprim,None,,,
CDG21_Phase,default,cvtsec,None,,,
CDG21_Phase,default,dat_src,None,,,
CDG21_Phase,default,dataExtDesc,None,,,
CDG21_Phase,default,dataExtUnit,None,,,
CDG21_Phase,default,desc,None,,,
CDG21_Phase,default,dev_no,None,,,
CDG21_Phase,default,doc_id,None,,,
CDG21_Phase,default,efaultmaxi,None,,,
CDG21_Phase,default,efaultmini,None,,,
CDG21_Phase,default,fold_id,None,,,
CDG21_Phase,default,for_name,None,,,
CDG21_Phase,default,gnrl_modby,None,,,
CDG21_Phase,default,gnrl_modif,None,,,
CDG21_Phase,default,iComDate,None,,,
CDG21_Phase,default,iSchemeStatus,None,,,
CDG21_Phase,default,isSubRelay,None,,,
CDG21_Phase,default,loc_name,None,,,
CDG21_Phase,default,outserv,None,,,
CDG21_Phase,default,pOperator,None,,,
CDG21_Phase,default,pOwner,None,,,
CDG21_Phase,default,pReference,None,,,
CDG21_Phase,default,pdiselm,None,,,
CDG21_Phase,default,pelm,None,,,
CDG21_Phase,default,phfaultmaxi,None,,,
CDG21_Phase,default,phfaultmini,None,,,
CDG21_Phase,default,root_id,None,,,
CDG21_Phase,default,sernum,None,,,
CDG21_Phase,default,sw_settingsGroups,None,,,
CDG21_Phase,default,td_bR,None,,,
CDG21_Phase,default,td_bRC,None,,,
CDG21_Phase,default,td_bX,None,,,
CDG21_Phase,default,td_bXC,None,,,
CDG21_Phase,default,td_bZ,None,,,
CDG21_Phase,default,td_bZC,None,,,
CDG21_Phase,default,td_blim,None,,,
CDG21_Phase,default,td_bobj,None,,,
CDG21_Phase,default,td_bphi,None,,,
CDG21_Phase,default,td_bphiC,None,,,
CDG21_Phase,default,td_bpos,None,,,
CDG21_Phase,default,td_btpbk,None,,,
CDG21_Phase,default,td_btrip,None,,,
CDG21_Phase,default,td_cnt,None,,,
CDG21_Phase,default,td_fR,None,,,
CDG21_Phase,default,td_fRC,None,,,
CDG21_Phase,default,td_fX,None,,,
CDG21_Phase,default,td_fXC,None,,,
CDG21_Phase,default,td_fZ,None,,,
CDG21_Phase,default,td_fZC,None,,,
CDG21_Phase,default,td_flim,None,,,
CDG21_Phase,default,td_fobj,None,,,
CDG21_Phase,default,td_fphi,None,,,
CDG21_Phase,default,td_fphiC,None,,,
CDG21_Phase,default,td_fpos,None,,,
CDG21_Phase,default,td_ftpbk,None,,,
CDG21_Phase,default,td_ftrip,None,,,
CDG21_Phase,default,typ_id,None,,,
CDG21_Phase,default,vtprim,None,,,
CDG21_Phase,default,vtsec,None,,,
CDG21_Phase,default,zratio,None,,,
