FOLDER,ELEMENT,ATTRIBUTE,,,,
CDG24_Earth,default,AttributeType,None,,,
CDG24_Earth,default,actset,None,,,
CDG24_Earth,default,application,None,,,
CDG24_Earth,default,appr_modby,None,,,
CDG24_Earth,default,appr_modif,None,,,
CDG24_Earth,default,appr_status,None,,,
CDG24_Earth,default,cDisplayName,None,,,
CDG24_Earth,default,cUserDefIndex,None,,,
CDG24_Earth,default,c_category,None,,,
CDG24_Earth,default,cbranch,None,,,
CDG24_Earth,default,cbranchid,None,,,
CDG24_Earth,default,cctprim,None,,,
CDG24_Earth,default,cctsec,None,,,
CDG24_Earth,default,ccub,None,,,
CDG24_Earth,default,charact,None,,,
CDG24_Earth,default,chr_name,None,,,
CDG24_Earth,default,ciDist,None,,,
CDG24_Earth,default,ciDistAll,None,,,
CDG24_Earth,default,ciDistAllRoot,None,,,
CDG24_Earth,default,ciDistRoot,None,,,
CDG24_Earth,default,ciEarthed,None,,,
CDG24_Earth,default,ciEnergized,None,,,
CDG24_Earth,default,ciLater,None,,,
CDG24_Earth,default,ciOutaged,None,,,
CDG24_Earth,default,cn_bus,None,,,
CDG24_Earth,default,constr,None,,,
CDG24_Earth,default,contents,None,,,
CDG24_Earth,default,cpArea,None,,,
CDG24_Earth,default,cpBranch,None,,,
CDG24_Earth,default,cpCt,None,,,
CDG24_Earth,default,cpFeed,None,,,
CDG24_Earth,default,cpGrid,None,,,
CDG24_Earth,default,cpHeadFold,None,,,
CDG24_Earth,default,cpMeteostat,None,,,
CDG24_Earth,default,cpOperator,None,,,
CDG24_Earth,default,cpOwner,None,,,
CDG24_Earth,default,cpShc,None,,,
CDG24_Earth,default,cpSite,None,,,
CDG24_Earth,default,cpSubstat,None,,,
CDG24_Earth,default,cpSupplySubstation,None,,,
CDG24_Earth,default,cpSupplyTransformer,None,,,
CDG24_Earth,default,cpSupplyTrfStation,None,,,
CDG24_Earth,default,cpVt,None,,,
CDG24_Earth,default,cpZone,None,,,
CDG24_Earth,default,ctprim,None,,,
CDG24_Earth,default,ctsec,None,,,
CDG24_Earth,default,cvtprim,None,,,
CDG24_Earth,default,cvtsec,None,,,
CDG24_Earth,default,dat_src,None,,,
CDG24_Earth,default,dataExtDesc,None,,,
CDG24_Earth,default,dataExtUnit,None,,,
CDG24_Earth,default,desc,None,,,
CDG24_Earth,default,dev_no,None,,,
CDG24_Earth,default,doc_id,None,,,
CDG24_Earth,default,efaultmaxi,None,,,
CDG24_Earth,default,efaultmini,None,,,
CDG24_Earth,default,fold_id,None,,,
CDG24_Earth,default,for_name,None,,,
CDG24_Earth,default,gnrl_modby,None,,,
CDG24_Earth,default,gnrl_modif,None,,,
CDG24_Earth,default,iComDate,None,,,
CDG24_Earth,default,iSchemeStatus,None,,,
CDG24_Earth,default,isSubRelay,None,,,
CDG24_Earth,default,loc_name,None,,,
CDG24_Earth,default,outserv,None,,,
CDG24_Earth,default,pOperator,None,,,
CDG24_Earth,default,pOwner,None,,,
CDG24_Earth,default,pReference,None,,,
CDG24_Earth,default,pdiselm,None,,,
CDG24_Earth,default,pelm,None,,,
CDG24_Earth,default,phfaultmaxi,None,,,
CDG24_Earth,default,phfaultmini,None,,,
CDG24_Earth,default,root_id,None,,,
CDG24_Earth,default,sernum,None,,,
CDG24_Earth,default,sw_settingsGroups,None,,,
CDG24_Earth,default,td_bR,None,,,
CDG24_Earth,default,td_bRC,None,,,
CDG24_Earth,default,td_bX,None,,,
CDG24_Earth,default,td_bXC,None,,,
CDG24_Earth,default,td_bZ,None,,,
CDG24_Earth,default,td_bZC,None,,,
CDG24_Earth,default,td_blim,None,,,
CDG24_Earth,default,td_bobj,None,,,
CDG24_Earth,default,td_bphi,None,,,
CDG24_Earth,default,td_bphiC,None,,,
CDG24_Earth,default,td_bpos,None,,,
CDG24_Earth,default,td_btpbk,None,,,
CDG24_Earth,default,td_btrip,None,,,
CDG24_Earth,default,td_cnt,None,,,
CDG24_Earth,default,td_fR,None,,,
CDG24_Earth,default,td_fRC,None,,,
CDG24_Earth,default,td_fX,None,,,
CDG24_Earth,default,td_fXC,None,,,
CDG24_Earth,default,td_fZ,None,,,
CDG24_Earth,default,td_fZC,None,,,
CDG24_Earth,default,td_flim,None,,,
CDG24_Earth,default,td_fobj,None,,,
CDG24_Earth,default,td_fphi,None,,,
CDG24_Earth,default,td_fphiC,None,,,
CDG24_Earth,default,td_fpos,None,,,
CDG24_Earth,default,td_ftpbk,None,,,
CDG24_Earth,default,td_ftrip,None,,,
CDG24_Earth,default,typ_id,None,,,
CDG24_Earth,default,vtprim,None,,,
CDG24_Earth,default,vtsec,None,,,
CDG24_Earth,default,zratio,None,,,
default,Ioc 1Ph,AttributeType,None,,,
default,Ioc 1Ph,Ipset,Parameters/,Inst_Ph,use_setting,None
default,Ioc 1Ph,Ipsetr,None,,,
default,Ioc 1Ph,Trelblock,None,,,
default,Ioc 1Ph,Tset,None,,,
default,Ioc 1Ph,cDisplayName,None,,,
default,Ioc 1Ph,cTset,None,,,
default,Ioc 1Ph,cUserDefIndex,None,,,
default,Ioc 1Ph,c_sfansi,None,,,
default,Ioc 1Ph,c_sfiec,None,,,
default,Ioc 1Ph,c_type,None,,,
default,Ioc 1Ph,calcuse,None,,,
default,Ioc 1Ph,charact,None,,,
default,Ioc 1Ph,chr_name,None,,,
default,Ioc 1Ph,ciDist,None,,,
default,Ioc 1Ph,ciDistAll,None,,,
default,Ioc 1Ph,ciDistAllRoot,None,,,
default,Ioc 1Ph,ciDistRoot,None,,,
default,Ioc 1Ph,ciEarthed,None,,,
default,Ioc 1Ph,ciEnergized,None,,,
default,Ioc 1Ph,ciLater,None,,,
default,Ioc 1Ph,ciOutaged,None,,,
default,Ioc 1Ph,cpArea,None,,,
default,Ioc 1Ph,cpBranch,None,,,
default,Ioc 1Ph,cpFeed,None,,,
default,Ioc 1Ph,cpGrid,None,,,
default,Ioc 1Ph,cpHeadFold,None,,,
default,Ioc 1Ph,cpMeteostat,None,,,
default,Ioc 1Ph,cpOperator,None,,,
default,Ioc 1Ph,cpOwner,None,,,
default,Ioc 1Ph,cpSite,None,,,
