FOLDER,ELEMENT,ATTRIBUTE,,,,
CDG26_A,default,AttributeType,None,,,
CDG26_A,default,actset,None,,,
CDG26_A,default,application,None,,,
CDG26_A,default,appr_modby,None,,,
CDG26_A,default,appr_modif,None,,,
CDG26_A,default,appr_status,None,,,
CDG26_A,default,cDisplayName,None,,,
CDG26_A,default,cUserDefIndex,None,,,
CDG26_A,default,c_category,None,,,
CDG26_A,default,cbranch,None,,,
CDG26_A,default,cbranchid,None,,,
CDG26_A,default,cctprim,None,,,
CDG26_A,default,cctsec,None,,,
CDG26_A,default,ccub,None,,,
CDG26_A,default,charact,None,,,
CDG26_A,default,chr_name,None,,,
CDG26_A,default,ciDist,None,,,
CDG26_A,default,ciDistAll,None,,,
CDG26_A,default,ciDistAllRoot,None,,,
CDG26_A,default,ciDistRoot,None,,,
CDG26_A,default,ciEarthed,None,,,
CDG26_A,default,ciEnergized,None,,,
CDG26_A,default,ciLater,None,,,
CDG26_A,default,ciOutaged,None,,,
CDG26_A,default,cn_bus,None,,,
CDG26_A,default,cn_rembus,None,,,
CDG26_A,default,constr,None,,,
CDG26_A,default,contents,None,,,
CDG26_A,default,cpArea,None,,,
CDG26_A,default,cpBranch,None,,,
CDG26_A,default,cpCt,None,,,
CDG26_A,default,cpFeed,None,,,
CDG26_A,default,cpGrid,None,,,
CDG26_A,default,cpHeadFold,None,,,
CDG26_A,default,cpMeteostat,None,,,
CDG26_A,default,cpOperator,None,,,
CDG26_A,default,cpOwner,None,,,
CDG26_A,default,cpShc,None,,,
CDG26_A,default,cpSite,None,,,
CDG26_A,default,cpSubstat,None,,,
CDG26_A,default,cpSupplySubstation,None,,,
CDG26_A,default,cpSupplyTransformer,None,,,
CDG26_A,default,cpSupplyTrfStation,None,,,
CDG26_A,default,cpVt,None,,,
CDG26_A,default,cpZone,None,,,
CDG26_A,default,ctprim,None,,,
CDG26_A,default,ctsec,None,,,
CDG26_A,default,cvtprim,None,,,
CDG26_A,default,cvtsec,None,,,
CDG26_A,default,dat_src,None,,,
CDG26_A,default,dataExtUnit,None,,,
CDG26_A,default,desc,None,,,
CDG26_A,default,dev_no,None,,,
CDG26_A,default,doc_id,None,,,
CDG26_A,default,efaultmaxi,None,,,
CDG26_A,default,efaultmini,None,,,
CDG26_A,default,fold_id,None,,,
CDG26_A,default,for_name,None,,,
CDG26_A,default,gnrl_modby,None,,,
CDG26_A,default,gnrl_modif,None,,,
CDG26_A,default,iComDate,None,,,
CDG26_A,default,iSchemeStatus,None,,,
CDG26_A,default,isSubRelay,None,,,
CDG26_A,default,loc_name,None,,,
CDG26_A,default,outserv,None,,,
CDG26_A,default,pOperator,None,,,
CDG26_A,default,pOwner,None,,,
CDG26_A,default,pReference,None,,,
CDG26_A,default,pdiselm,None,,,
CDG26_A,default,pelm,None,,,
