FOLDER,ELEMENT,ATTRIBUTE,,,,
CDG31 2_Phase & Earth,default,AttributeType,None,,,
CDG31 2_Phase & Earth,default,actset,None,,,
CDG31 2_Phase & Earth,default,application,None,,,
CDG31 2_Phase & Earth,default,appr_modby,None,,,
CDG31 2_Phase & Earth,default,appr_modif,None,,,
CDG31 2_Phase & Earth,default,appr_status,None,,,
CDG31 2_Phase & Earth,default,cDisplayName,None,,,
CDG31 2_Phase & Earth,default,cUserDefIndex,None,,,
CDG31 2_Phase & Earth,default,c_category,None,,,
CDG31 2_Phase & Earth,default,cbranch,None,,,
CDG31 2_Phase & Earth,default,cbranchid,None,,,
CDG31 2_Phase & Earth,default,cctprim,None,,,
CDG31 2_Phase & Earth,default,cctsec,None,,,
CDG31 2_Phase & Earth,default,ccub,None,,,
CDG31 2_Phase & Earth,default,charact,None,,,
CDG31 2_Phase & Earth,default,chr_name,None,,,
CDG31 2_Phase & Earth,default,ciDist,None,,,
CDG31 2_Phase & Earth,default,ciDistAll,None,,,
CDG31 2_Phase & Earth,default,ciDistAllRoot,None,,,
CDG31 2_Phase & Earth,default,ciDistRoot,None,,,
CDG31 2_Phase & Earth,default,ciEarthed,None,,,
CDG31 2_Phase & Earth,default,ciEnergized,None,,,
CDG31 2_Phase & Earth,default,ciLater,None,,,
CDG31 2_Phase & Earth,default,ciOutaged,None,,,
CDG31 2_Phase & Earth,default,cn_bus,None,,,
CDG31 2_Phase & Earth,default,constr,None,,,
CDG31 2_Phase & Earth,default,contents,None,,,
CDG31 2_Phase & Earth,default,cpArea,None,,,
CDG31 2_Phase & Earth,default,cpBranch,None,,,
CDG31 2_Phase & Earth,default,cpCt,None,,,
CDG31 2_Phase & Earth,default,cpFeed,None,,,
CDG31 2_Phase & Earth,default,cpGrid,None,,,
CDG31 2_Phase & Earth,default,cpHeadFold,None,,,
CDG31 2_Phase & Earth,default,cpMeteostat,None,,,
CDG31 2_Phase & Earth,default,cpOperator,None,,,
CDG31 2_Phase & Earth,default,cpOwner,None,,,
CDG31 2_Phase & Earth,default,cpShc,None,,,
CDG31 2_Phase & Earth,default,cpSite,None,,,
CDG31 2_Phase & Earth,default,cpSubstat,None,,,
CDG31 2_Phase & Earth,default,cpSupplySubstation,None,,,
CDG31 2_Phase & Earth,default,cpSupplyTransformer,None,,,
CDG31 2_Phase & Earth,default,cpSupplyTrfStation,None,,,
CDG31 2_Phase & Earth,default,cpVt,None,,,
CDG31 2_Phase & Earth,default,cpZone,None,,,
CDG31 2_Phase & Earth,default,ctprim,None,,,
CDG31 2_Phase & Earth,default,ctsec,None,,,
CDG31 2_Phase & Earth,default,cvtprim,None,,,
CDG31 2_Phase & Earth,default,cvtsec,None,,,
CDG31 2_Phase & Earth,default,dat_src,None,,,
CDG31 2_Phase & Earth,default,dataExtDesc,None,,,
CDG31 2_Phase & Earth,default,dataExtUnit,None,,,
CDG31 2_Phase & Earth,default,desc,None,,,
CDG31 2_Phase & Earth,default,dev_no,None,,,
CDG31 2_Phase & Earth,default,doc_id,None,,,
CDG31 2_Phase & Earth,default,efaultmaxi,None,,,
CDG31 2_Phase & Earth,default,efaultmini,None,,,
CDG31 2_Phase & Earth,default,fold_id,None,,,
CDG31 2_Phase & Earth,default,for_name,None,,,
CDG31 2_Phase & Earth,default,gnrl_modby,None,,,
CDG31 2_Phase & Earth,default,gnrl_modif,None,,,
CDG31 2_Phase & Earth,default,iComDate,None,,,
CDG31 2_Phase & Earth,default,iSchemeStatus,None,,,
CDG31 2_Phase & Earth,default,isSubRelay,None,,,
CDG31 2_Phase & Earth,default,loc_name,None,,,
CDG31 2_Phase & Earth,default,outserv,None,,,
CDG31 2_Phase & Earth,default,pOperator,None,,,
CDG31 2_Phase & Earth,default,pOwner,None,,,
CDG31 2_Phase & Earth,default,pReference,None,,,
CDG31 2_Phase & Earth,default,pdiselm,None,,,
CDG31 2_Phase & Earth,default,pelm,None,,,
CDG31 2_Phase & Earth,default,phfaultmaxi,None,,,
CDG31 2_Phase & Earth,default,phfaultmini,None,,,
CDG31 2_Phase & Earth,default,root_id,None,,,
CDG31 2_Phase & Earth,default,sernum,None,,,
CDG31 2_Phase & Earth,default,sw_settingsGroups,None,,,
CDG31 2_Phase & Earth,default,td_bR,None,,,
CDG31 2_Phase & Earth,default,td_bRC,None,,,
CDG31 2_Phase & Earth,default,td_bX,None,,,
CDG31 2_Phase & Earth,default,td_bXC,None,,,
CDG31 2_Phase & Earth,default,td_bZ,None,,,
CDG31 2_Phase & Earth,default,td_bZC,None,,,
CDG31 2_Phase & Earth,default,td_blim,None,,,
CDG31 2_Phase & Earth,default,td_bobj,None,,,
CDG31 2_Phase & Earth,default,td_bphi,None,,,
CDG31 2_Phase & Earth,default,td_bphiC,None,,,
CDG31 2_Phase & Earth,default,td_bpos,None,,,
CDG31 2_Phase & Earth,default,td_btpbk,None,,,
CDG31 2_Phase & Earth,default,td_btrip,None,,,
CDG31 2_Phase & Earth,default,td_cnt,None,,,
