FOLDER,ELEMENT,ATTRIBUTE,,,,
CDG31 A&B&C,default,AttributeType,None,,,
CDG31 A&B&C,default,actset,None,,,
CDG31 A&B&C,default,application,None,,,
CDG31 A&B&C,default,appr_modby,None,,,
CDG31 A&B&C,default,appr_modif,None,,,
CDG31 A&B&C,default,appr_status,None,,,
CDG31 A&B&C,default,cDisplayName,None,,,
CDG31 A&B&C,default,cUserDefIndex,None,,,
CDG31 A&B&C,default,c_category,None,,,
CDG31 A&B&C,default,cbranch,None,,,
CDG31 A&B&C,default,cbranchid,None,,,
CDG31 A&B&C,default,cctprim,None,,,
CDG31 A&B&C,default,cctsec,None,,,
CDG31 A&B&C,default,ccub,None,,,
CDG31 A&B&C,default,charact,None,,,
CDG31 A&B&C,default,chr_name,None,,,
CDG31 A&B&C,default,ciDist,None,,,
CDG31 A&B&C,default,ciDistAll,None,,,
CDG31 A&B&C,default,ciDistAllRoot,None,,,
CDG31 A&B&C,default,ciDistRoot,None,,,
CDG31 A&B&C,default,ciEarthed,None,,,
CDG31 A&B&C,default,ciEnergized,None,,,
CDG31 A&B&C,default,ciLater,None,,,
CDG31 A&B&C,default,ciOutaged,None,,,
CDG31 A&B&C,default,cn_bus,None,,,
CDG31 A&B&C,default,constr,None,,,
CDG31 A&B&C,default,contents,None,,,
CDG31 A&B&C,default,cpArea,None,,,
CDG31 A&B&C,default,cpBranch,None,,,
CDG31 A&B&C,default,cpCt,None,,,
CDG31 A&B&C,default,cpFeed,None,,,
CDG31 A&B&C,default,cpGrid,None,,,
CDG31 A&B&C,default,cpHeadFold,None,,,
CDG31 A&B&C,default,cpMeteostat,None,,,
CDG31 A&B&C,default,cpOperator,None,,,
CDG31 A&B&C,default,cpOwner,None,,,
CDG31 A&B&C,default,cpShc,None,,,
CDG31 A&B&C,default,cpSite,None,,,
CDG31 A&B&C,default,cpSubstat,None,,,
CDG31 A&B&C,default,cpSupplySubstation,None,,,
CDG31 A&B&C,default,cpSupplyTransformer,None,,,
CDG31 A&B&C,default,cpSupplyTrfStation,None,,,
CDG31 A&B&C,default,cpVt,None,,,
CDG31 A&B&C,default,cpZone,None,,,
CDG31 A&B&C,default,ctprim,None,,,
CDG31 A&B&C,default,ctsec,None,,,
CDG31 A&B&C,default,cvtprim,None,,,
CDG31 A&B&C,default,cvtsec,None,,,
CDG31 A&B&C,default,dat_src,None,,,
CDG31 A&B&C,default,dataExtDesc,None,,,
CDG31 A&B&C,default,dataExtUnit,None,,,
CDG31 A&B&C,default,desc,None,,,
CDG31 A&B&C,default,dev_no,None,,,
CDG31 A&B&C,default,doc_id,None,,,
CDG31 A&B&C,default,efaultmaxi,None,,,
CDG31 A&B&C,default,efaultmini,None,,,
CDG31 A&B&C,default,fold_id,None,,,
CDG31 A&B&C,default,for_name,None,,,
CDG31 A&B&C,default,gnrl_modby,None,,,
CDG31 A&B&C,default,gnrl_modif,None,,,
CDG31 A&B&C,default,iComDate,None,,,
CDG31 A&B&C,default,iSchemeStatus,None,,,
CDG31 A&B&C,default,isSubRelay,None,,,
CDG31 A&B&C,default,loc_name,None,,,
CDG31 A&B&C,default,outserv,None,,,
CDG31 A&B&C,default,pOperator,None,,,
CDG31 A&B&C,default,pOwner,None,,,
CDG31 A&B&C,default,pReference,None,,,
CDG31 A&B&C,default,pdiselm,None,,,
CDG31 A&B&C,default,pelm,None,,,
CDG31 A&B&C,default,phfaultmaxi,None,,,
CDG31 A&B&C,default,phfaultmini,None,,,
CDG31 A&B&C,default,root_id,None,,,
CDG31 A&B&C,default,sernum,None,,,
CDG31 A&B&C,default,sw_settingsGroups,None,,,
CDG31 A&B&C,default,td_bR,None,,,
CDG31 A&B&C,default,td_bRC,None,,,
CDG31 A&B&C,default,td_bX,None,,,
CDG31 A&B&C,default,td_bXC,None,,,
CDG31 A&B&C,default,td_bZ,None,,,
CDG31 A&B&C,default,td_bZC,None,,,
CDG31 A&B&C,default,td_blim,None,,,
CDG31 A&B&C,default,td_bobj,None,,,
CDG31 A&B&C,default,td_bphi,None,,,
CDG31 A&B&C,default,td_bphiC,None,,,
CDG31 A&B&C,default,td_bpos,None,,,
CDG31 A&B&C,default,td_btpbk,None,,,
CDG31 A&B&C,default,td_btrip,None,,,
CDG31 A&B&C,default,td_cnt,None,,,
CDG31 A&B&C,default,td_fR,None,,,
CDG31 A&B&C,default,td_fRC,None,,,
CDG31 A&B&C,default,td_fX,None,,,
CDG31 A&B&C,default,td_fXC,None,,,
CDG31 A&B&C,default,td_fZ,None,,,
CDG31 A&B&C,default,td_fZC,None,,,
CDG31 A&B&C,default,td_flim,None,,,
CDG31 A&B&C,default,td_fobj,None,,,
CDG31 A&B&C,default,td_fphi,None,,,
CDG31 A&B&C,default,td_fphiC,None,,,
CDG31 A&B&C,default,td_fpos,None,,,
CDG31 A&B&C,default,td_ftpbk,None,,,
CDG31 A&B&C,default,td_ftrip,None,,,
CDG31 A&B&C,default,typ_id,None,,,
CDG31 A&B&C,default,vtprim,None,,,
CDG31 A&B&C,default,vtsec,None,,,
CDG31 A&B&C,default,zratio,None,,,
default,Logic,AttributeType,None,,,
default,Logic,cDisplayName,None,,,
default,Logic,cUserDefIndex,None,,,
default,Logic,charact,None,,,
default,Logic,chr_name,None,,,
default,Logic,ciDist,None,,,
default,Logic,ciDistAll,None,,,
default,Logic,ciDistAllRoot,None,,,
default,Logic,ciDistRoot,None,,,
default,Logic,ciEarthed,None,,,
default,Logic,ciEnergized,None,,,
default,Logic,ciLater,None,,,
default,Logic,ciOutaged,None,,,
default,Logic,cpArea,None,,,
default,Logic,cpBranch,None,,,
default,Logic,cpFeed,None,,,
default,Logic,cpGrid,None,,,
default,Logic,cpHeadFold,None,,,
default,Logic,cpMeteostat,None,,,
default,Logic,cpOperator,None,,,
default,Logic,cpOwner,None,,,
default,Logic,cpSite,None,,,
default,Logic,cpSubstat,None,,,
default,Logic,cpSupplySubstation,None,,,
default,Logic,cpSupplyTransformer,None,,,
default,Logic,cpSupplyTrfStation,None,,,
default,Logic,cpZone,None,,,
default,Logic,dat_src,None,,,
default,Logic,dataExtDesc,None,,,
default,Logic,dataExtUnit,None,,,
default,Logic,fold_id,None,,,
default,Logic,for_name,None,,,
default,Logic,gnrl_modby,None,,,
default,Logic,gnrl_modif,None,,,
default,Logic,iSchemeStatus,None,,,
default,Logic,iout,None,,,
default,Logic,loc_name,None,,,
default,Logic,outserv,ON,,,
default,Logic,pSwitch,None,,,
default,Logic,root_id,None,,,
default,Logic,typ_id,None,,,
default,Measurement,AttributeType,None,,,
default,Measurement,Inom,None,,,
default,Measurement,Is,None,,,
default,Measurement,Unom,None,,,
default,Measurement,cDisplayName,None,,,
default,Measurement,cUserDefIndex,None,,,
default,Measurement,charact,None,,,
default,Measurement,chr_name,None,,,
default,Measurement,ciDist,None,,,
default,Measurement,ciDistAll,None,,,
default,Measurement,ciDistAllRoot,None,,,
default,Measurement,ciDistRoot,None,,,
default,Measurement,ciEarthed,None,,,
default,Measurement,ciEnergized,None,,,
default,Measurement,ciLater,None,,,
default,Measurement,ciOutaged,None,,,
default,Measurement,cpArea,None,,,
default,Measurement,cpBranch,None,,,
default,Measurement,cpFeed,None,,,
default,Measurement,cpGrid,None,,,
default,Measurement,cpHeadFold,None,,,
default,Measurement,cpMeteostat,None,,,
default,Measurement,cpOperator,None,,,
default,Measurement,cpOwner,None,,,
default,Measurement,cpSite,None,,,
default,Measurement,cpSubstat,None,,,
default,Measurement,cpSupplySubstation,None,,,
default,Measurement,cpSupplyTransformer,None,,,
default,Measurement,cpSupplyTrfStation,None,,,
default,Measurement,cpZone,None,,,
default,Measurement,dat_src,None,,,
default,Measurement,dataExtDesc,None,,,
default,Measurement,dataExtUnit,None,,,
default,Measurement,fold_id,None,,,
default,Measurement,for_name,None,,,
default,Measurement,gnrl_modby,None,,,
default,Measurement,gnrl_modif,None,,,
default,Measurement,iSchemeStatus,None,,,
default,Measurement,iphase,None,,,
default,Measurement,loc_name,None,,,
default,Measurement,outserv,None,,,
default,Measurement,root_id,None,,,
default,Measurement,typ_id,None,,,
