FOLDER,ELEMENT,ATTRIBUTE,,,,
CDG61 A & B,default,AttributeType,None,,,
CDG61 A & B,default,actset,None,,,
CDG61 A & B,default,application,None,,,
CDG61 A & B,default,appr_modby,None,,,
CDG61 A & B,default,appr_modif,None,,,
CDG61 A & B,default,appr_status,None,,,
CDG61 A & B,default,cDisplayName,None,,,
CDG61 A & B,default,cUserDefIndex,None,,,
CDG61 A & B,default,c_category,None,,,
CDG61 A & B,default,cbranch,None,,,
CDG61 A & B,default,cbranchid,None,,,
CDG61 A & B,default,cctprim,None,,,
CDG61 A & B,default,cctsec,None,,,
CDG61 A & B,default,ccub,None,,,
CDG61 A & B,default,charact,None,,,
CDG61 A & B,default,chr_name,None,,,
CDG61 A & B,default,ciDist,None,,,
CDG61 A & B,default,ciDistAll,None,,,
CDG61 A & B,default,ciDistAllRoot,None,,,
CDG61 A & B,default,ciDistRoot,None,,,
CDG61 A & B,default,ciEarthed,None,,,
CDG61 A & B,default,ciEnergized,None,,,
CDG61 A & B,default,ciLater,None,,,
CDG61 A & B,default,ciOutaged,None,,,
CDG61 A & B,default,cn_bus,None,,,
CDG61 A & B,default,cn_rembus,None,,,
CDG61 A & B,default,constr,None,,,
CDG61 A & B,default,contents,None,,,
CDG61 A & B,default,cpArea,None,,,
CDG61 A & B,default,cpBranch,None,,,
CDG61 A & B,default,cpCt,None,,,
CDG61 A & B,default,cpFeed,None,,,
CDG61 A & B,default,cpGrid,None,,,
CDG61 A & B,default,cpHeadFold,None,,,
CDG61 A & B,default,cpMeteostat,None,,,
CDG61 A & B,default,cpOperator,None,,,
CDG61 A & B,default,cpOwner,None,,,
CDG61 A & B,default,cpShc,None,,,
CDG61 A & B,default,cpSite,None,,,
CDG61 A & B,default,cpSubstat,None,,,
CDG61 A & B,default,cpSupplySubstation,None,,,
CDG61 A & B,default,cpSupplyTransformer,None,,,
CDG61 A & B,default,cpSupplyTrfStation,None,,,
CDG61 A & B,default,cpVt,None,,,
CDG61 A & B,default,cpZone,None,,,
CDG61 A & B,default,ctprim,None,,,
CDG61 A & B,default,ctsec,None,,,
CDG61 A & B,default,cvtprim,None,,,
CDG61 A & B,default,cvtsec,None,,,
CDG61 A & B,default,dat_src,None,,,
CDG61 A & B,default,dataExtUnit,None,,,
CDG61 A & B,default,desc,None,,,
CDG61 A & B,default,dev_no,None,,,
CDG61 A & B,default,doc_id,None,,,
CDG61 A & B,default,efaultmaxi,None,,,
CDG61 A & B,default,efaultmini,None,,,
CDG61 A & B,default,fold_id,None,,,
CDG61 A & B,default,for_name,None,,,
CDG61 A & B,default,gnrl_modby,None,,,
CDG61 A & B,default,gnrl_modif,None,,,
CDG61 A & B,default,iComDate,None,,,
CDG61 A & B,default,iSchemeStatus,None,,,
CDG61 A & B,default,isSubRelay,None,,,
CDG61 A & B,default,loc_name,None,,,
CDG61 A & B,default,outserv,None,,,
CDG61 A & B,default,pOperator,None,,,
CDG61 A & B,default,pOwner,None,,,
CDG61 A & B,default,pReference,None,,,
CDG61 A & B,default,pdiselm,None,,,
CDG61 A & B,default,pelm,None,,,
CDG61 A & B,default,phfaultmaxi,None,,,
CDG61 A & B,default,phfaultmini,None,,,
CDG61 A & B,default,root_id,None,,,
CDG61 A & B,default,sernum,None,,,
CDG61 A & B,default,sw_settingsGroups,None,,,
CDG61 A & B,default,td_bR,None,,,
CDG61 A & B,default,td_bRC,None,,,
CDG61 A & B,default,td_bX,None,,,
CDG61 A & B,default,td_bXC,None,,,
CDG61 A & B,default,td_bZ,None,,,
CDG61 A & B,default,td_bZC,None,,,
CDG61 A & B,default,td_blim,None,,,
CDG61 A & B,default,td_bobj,None,,,
CDG61 A & B,default,td_bphi,None,,,
CDG61 A & B,default,td_bphiC,None,,,
CDG61 A & B,default,td_bpos,None,,,
CDG61 A & B,default,td_btpbk,None,,,
CDG61 A & B,default,td_btrip,None,,,
CDG61 A & B,default,td_cnt,None,,,
CDG61 A & B,default,td_fR,None,,,
CDG61 A & B,default,td_fRC,None,,,
CDG61 A & B,default,td_fX,None,,,
CDG61 A & B,default,td_fXC,None,,,
CDG61 A & B,default,td_fZ,None,,,
CDG61 A & B,default,td_fZC,None,,,
CDG61 A & B,default,td_flim,None,,,
CDG61 A & B,default,td_fobj,None,,,
CDG61 A & B,default,td_fphi,None,,,
CDG61 A & B,default,td_fphiC,None,,,
CDG61 A & B,default,td_fpos,None,,,
CDG61 A & B,default,td_ftpbk,None,,,
CDG61 A & B,default,td_ftrip,None,,,
CDG61 A & B,default,typ_id,None,,,
CDG61 A & B,default,vtprim,None,,,
CDG61 A & B,default,vtsec,None,,,
CDG61 A & B,default,zratio,None,,,
default,Measurement,AttributeType,None,,,
default,Measurement,Inom,None,,,
default,Measurement,Is,None,,,
default,Measurement,Unom,None,,,
default,Measurement,cDisplayName,None,,,
default,Measurement,cUserDefIndex,None,,,
default,Measurement,charact,None,,,
default,Measurement,chr_name,None,,,
default,Measurement,ciDist,None,,,
default,Measurement,ciDistAll,None,,,
default,Measurement,ciDistAllRoot,None,,,
default,Measurement,ciDistRoot,None,,,
default,Measurement,ciEarthed,None,,,
default,Measurement,ciEnergized,None,,,
default,Measurement,ciLater,None,,,
default,Measurement,ciOutaged,None,,,
default,Measurement,cpArea,None,,,
default,Measurement,cpBranch,None,,,
default,Measurement,cpFeed,None,,,
default,Measurement,cpGrid,None,,,
default,Measurement,cpHeadFold,None,,,
default,Measurement,cpMeteostat,None,,,
default,Measurement,cpOperator,None,,,
default,Measurement,cpOwner,None,,,
default,Measurement,cpSite,None,,,
default,Measurement,cpSubstat,None,,,
default,Measurement,cpSupplySubstation,None,,,
default,Measurement,cpSupplyTransformer,None,,,
default,Measurement,cpSupplyTrfStation,None,,,
default,Measurement,cpZone,None,,,
default,Measurement,dat_src,None,,,
default,Measurement,dataExtUnit,None,,,
default,Measurement,fold_id,None,,,
default,Measurement,for_name,None,,,
default,Measurement,gnrl_modby,None,,,
default,Measurement,gnrl_modif,None,,,
default,Measurement,iSchemeStatus,None,,,
default,Measurement,iphase,None,,,
default,Measurement,loc_name,None,,,
default,Measurement,outserv,ON,,,
default,Measurement,root_id,None,,,
default,Measurement,typ_id,None,,,
default,Toc A,AttributeType,None,,,
default,Toc A,Ipset,None,,,
default,Toc A,Ipsetr,Parameters/,Pickup_PhA,use_setting,None
default,Toc A,ModFrame,None,,,
default,Toc A,ResetT,None,,,
default,Toc A,Tadder,None,,,
default,Toc A,Tpset,Parameters/,TMS_PhA,use_setting,None
default,Toc A,Trelblock,None,,,
default,Toc A,Tshift,None,,,
default,Toc A,cDisplayName,None,,,
default,Toc A,cResetT,None,,,
default,Toc A,cTadder,None,,,
default,Toc A,cUserDefIndex,None,,,
default,Toc A,c_sfansi,None,,,
default,Toc A,c_sfiec,None,,,
default,Toc A,c_type,None,,,
default,Toc A,calcuse,None,,,
default,Toc A,charact,None,,,
