FOLDER,ELEMENT,ATTRIBUTE,,,,
Generic SEF Relay,default,AttributeType,None,,,
Generic SEF Relay,default,actset,None,,,
Generic SEF Relay,default,application,None,,,
Generic SEF Relay,default,appr_modby,None,,,
Generic SEF Relay,default,appr_modif,None,,,
Generic SEF Relay,default,appr_status,None,,,
Generic SEF Relay,default,cDisplayName,None,,,
Generic SEF Relay,default,cUserDefIndex,None,,,
Generic SEF Relay,default,c_category,None,,,
Generic SEF Relay,default,cbranch,None,,,
Generic SEF Relay,default,cbranchid,None,,,
Generic SEF Relay,default,cctprim,None,,,
Generic SEF Relay,default,cctsec,None,,,
Generic SEF Relay,default,ccub,None,,,
Generic SEF Relay,default,charact,None,,,
Generic SEF Relay,default,chr_name,None,,,
Generic SEF Relay,default,ciDist,None,,,
Generic SEF Relay,default,ciDistAll,None,,,
Generic SEF Relay,default,ciDistAllRoot,None,,,
Generic SEF Relay,default,ciDistRoot,None,,,
Generic SEF Relay,default,ciEarthed,None,,,
Generic SEF Relay,default,ciEnergized,None,,,
Generic SEF Relay,default,ciLater,None,,,
Generic SEF Relay,default,ciOutaged,None,,,
Generic SEF Relay,default,cn_bus,None,,,
Generic SEF Relay,default,cn_rembus,None,,,
Generic SEF Relay,default,constr,None,,,
Generic SEF Relay,default,contents,None,,,
Generic SEF Relay,default,cpArea,None,,,
Generic SEF Relay,default,cpBranch,None,,,
Generic SEF Relay,default,cpCt,None,,,
Generic SEF Relay,default,cpFeed,None,,,
Generic SEF Relay,default,cpGrid,None,,,
Generic SEF Relay,default,cpHeadFold,None,,,
Generic SEF Relay,default,cpMeteostat,None,,,
Generic SEF Relay,default,cpOperator,None,,,
Generic SEF Relay,default,cpOwner,None,,,
Generic SEF Relay,default,cpShc,None,,,
Generic SEF Relay,default,cpSite,None,,,
Generic SEF Relay,default,cpSubstat,None,,,
Generic SEF Relay,default,cpSupplySubstation,None,,,
Generic SEF Relay,default,cpSupplyTransformer,None,,,
Generic SEF Relay,default,cpSupplyTrfStation,None,,,
Generic SEF Relay,default,cpVt,None,,,
Generic SEF Relay,default,cpZone,None,,,
Generic SEF Relay,default,ctprim,None,,,
Generic SEF Relay,default,ctsec,None,,,
Generic SEF Relay,default,cvtprim,None,,,
Generic SEF Relay,default,cvtsec,None,,,
Generic SEF Relay,default,dat_src,None,,,
Generic SEF Relay,default,dataExtUnit,None,,,
Generic SEF Relay,default,desc,None,,,
Generic SEF Relay,default,dev_no,None,,,
Generic SEF Relay,default,doc_id,None,,,
Generic SEF Relay,default,efaultmaxi,None,,,
Generic SEF Relay,default,efaultmini,None,,,
Generic SEF Relay,default,fold_id,None,,,
Generic SEF Relay,default,for_name,None,,,
Generic SEF Relay,default,gnrl_modby,None,,,
Generic SEF Relay,default,gnrl_modif,None,,,
Generic SEF Relay,default,iComDate,None,,,
Generic SEF Relay,default,iSchemeStatus,None,,,
Generic SEF Relay,default,isSubRelay,None,,,
Generic SEF Relay,default,loc_name,None,,,
Generic SEF Relay,default,outserv,None,,,
Generic SEF Relay,default,pOperator,None,,,
Generic SEF Relay,default,pOwner,None,,,
Generic SEF Relay,default,pReference,None,,,
Generic SEF Relay,default,pdiselm,None,,,
Generic SEF Relay,default,pelm,None,,,
Generic SEF Relay,default,phfaultmaxi,None,,,
Generic SEF Relay,default,phfaultmini,None,,,
Generic SEF Relay,default,root_id,None,,,
Generic SEF Relay,default,sernum,None,,,
Generic SEF Relay,default,sw_settingsGroups,None,,,
Generic SEF Relay,default,td_bR,None,,,
Generic SEF Relay,default,td_bRC,None,,,
Generic SEF Relay,default,td_bX,None,,,
Generic SEF Relay,default,td_bXC,None,,,
Generic SEF Relay,default,td_bZ,None,,,
Generic SEF Relay,default,td_bZC,None,,,
Generic SEF Relay,default,td_blim,None,,,
Generic SEF Relay,default,td_bobj,None,,,
Generic SEF Relay,default,td_bphi,None,,,
Generic SEF Relay,default,td_bphiC,None,,,
Generic SEF Relay,default,td_bpos,None,,,
Generic SEF Relay,default,td_btpbk,None,,,
Generic SEF Relay,default,td_btrip,None,,,
Generic SEF Relay,default,td_cnt,None,,,
Generic SEF Relay,default,td_fR,None,,,
Generic SEF Relay,default,td_fRC,None,,,
Generic SEF Relay,default,td_fX,None,,,
Generic SEF Relay,default,td_fXC,None,,,
Generic SEF Relay,default,td_fZ,None,,,
Generic SEF Relay,default,td_fZC,None,,,
Generic SEF Relay,default,td_flim,None,,,
Generic SEF Relay,default,td_fobj,None,,,
Generic SEF Relay,default,td_fphi,None,,,
Generic SEF Relay,default,td_fphiC,None,,,
Generic SEF Relay,default,td_fpos,None,,,
Generic SEF Relay,default,td_ftpbk,None,,,
Generic SEF Relay,default,td_ftrip,None,,,
Generic SEF Relay,default,typ_id,None,,,
Generic SEF Relay,default,vtprim,None,,,
Generic SEF Relay,default,vtsec,None,,,
Generic SEF Relay,default,zratio,None,,,
default,ISEF>>,AttributeType,None,,,
default,ISEF>>,Ipset,None,,,
default,ISEF>>,Ipsetr,Setting/,IE>,use_setting,None
default,ISEF>>,Trelblock,None,,,
default,ISEF>>,Tset,Setting/,TE>,use_setting,None
default,ISEF>>,cDisplayName,None,,,
default,ISEF>>,cTset,None,,,
default,ISEF>>,cUserDefIndex,None,,,
default,ISEF>>,c_sfansi,None,,,
default,ISEF>>,c_sfiec,None,,,
default,ISEF>>,c_type,None,,,
default,ISEF>>,calcuse,None,,,
default,ISEF>>,charact,None,,,
default,ISEF>>,chr_name,None,,,
default,ISEF>>,ciDist,None,,,
default,ISEF>>,ciDistAll,None,,,
default,ISEF>>,ciDistAllRoot,None,,,
default,ISEF>>,ciDistRoot,None,,,
default,ISEF>>,ciEarthed,None,,,
default,ISEF>>,ciEnergized,None,,,
default,ISEF>>,ciLater,None,,,
default,ISEF>>,ciOutaged,None,,,
default,ISEF>>,cpArea,None,,,
default,ISEF>>,cpBranch,None,,,
default,ISEF>>,cpFeed,None,,,
default,ISEF>>,cpGrid,None,,,
default,ISEF>>,cpHeadFold,None,,,
default,ISEF>>,cpMeteostat,None,,,
default,ISEF>>,cpOperator,None,,,
default,ISEF>>,cpOwner,None,,,
default,ISEF>>,cpSite,None,,,
default,ISEF>>,cpSubstat,None,,,
default,ISEF>>,cpSupplySubstation,None,,,
default,ISEF>>,cpSupplyTransformer,None,,,
default,ISEF>>,cpSupplyTrfStation,None,,,
default,ISEF>>,cpZone,None,,,
default,ISEF>>,cptotime,None,,,
default,ISEF>>,dat_src,None,,,
default,ISEF>>,dataExtUnit,None,,,
default,ISEF>>,fold_id,None,,,
default,ISEF>>,for_name,None,,,
default,ISEF>>,gnrl_modby,None,,,
default,ISEF>>,gnrl_modif,None,,,
default,ISEF>>,iSchemeStatus,None,,,
default,ISEF>>,iacceptblock,None,,,
default,ISEF>>,idir,None,,,
default,ISEF>>,loc_name,None,,,
default,ISEF>>,outserv,ON,,,
default,ISEF>>,root_id,None,,,
default,ISEF>>,typ_id,None,,,
default,Logic,AttributeType,None,,,
default,Logic,cDisplayName,None,,,
default,Logic,cUserDefIndex,None,,,
default,Logic,charact,None,,,
default,Logic,chr_name,None,,,
default,Logic,ciDist,None,,,
default,Logic,ciDistAll,None,,,
default,Logic,ciDistAllRoot,None,,,
default,Logic,ciDistRoot,None,,,
default,Logic,ciEarthed,None,,,
default,Logic,ciEnergized,None,,,
default,Logic,ciLater,None,,,
default,Logic,ciOutaged,None,,,
default,Logic,cpArea,None,,,
default,Logic,cpBranch,None,,,
default,Logic,cpFeed,None,,,
default,Logic,cpGrid,None,,,
default,Logic,cpHeadFold,None,,,
default,Logic,cpMeteostat,None,,,
default,Logic,cpOperator,None,,,
default,Logic,cpOwner,None,,,
default,Logic,cpSite,None,,,
default,Logic,cpSubstat,None,,,
default,Logic,cpSupplySubstation,None,,,
default,Logic,cpSupplyTransformer,None,,,
default,Logic,cpSupplyTrfStation,None,,,
default,Logic,cpZone,None,,,
default,Logic,dat_src,None,,,
default,Logic,dataExtUnit,None,,,
default,Logic,fold_id,None,,,
default,Logic,for_name,None,,,
default,Logic,gnrl_modby,None,,,
default,Logic,gnrl_modif,None,,,
default,Logic,iSchemeStatus,None,,,
default,Logic,iout,None,,,
default,Logic,loc_name,None,,,
default,Logic,outserv,ON,,,
default,Logic,pSwitch,None,,,
default,Logic,root_id,None,,,
default,Logic,typ_id,None,,,
default,Meas 1Ph,AttributeType,None,,,
default,Meas 1Ph,Inom,None,,,
default,Meas 1Ph,Is,None,,,
default,Meas 1Ph,Unom,None,,,
default,Meas 1Ph,cDisplayName,None,,,
default,Meas 1Ph,cUserDefIndex,None,,,
default,Meas 1Ph,charact,None,,,
default,Meas 1Ph,chr_name,None,,,
default,Meas 1Ph,ciDist,None,,,
