FOLDER,ELEMENT,ATTRIBUTE,,,,,,,
ADVC N-Series Recloser,Relay Model,AttributeType,None,,,,,,
ADVC N-Series Recloser,Relay Model,actset,None,,,,,,
ADVC N-Series Recloser,Relay Model,application,None,,,,,,
ADVC N-Series Recloser,Relay Model,appr_modby,None,,,,,,
ADVC N-Series Recloser,Relay Model,appr_modif,None,,,,,,
ADVC N-Series Recloser,Relay Model,appr_status,None,,,,,,
ADVC N-Series Recloser,Relay Model,cDisplayName,None,,,,,,
ADVC N-Series Recloser,Relay Model,cUserDefIndex,None,,,,,,
ADVC N-Series Recloser,Relay Model,c_category,None,,,,,,
ADVC N-Series Recloser,Relay Model,cbranch,None,,,,,,
ADVC N-Series Recloser,Relay Model,cbranchid,None,,,,,,
ADVC N-Series Recloser,Relay Model,cctprim,None,,,,,,
ADVC N-Series Recloser,Relay Model,cctsec,None,,,,,,
ADVC N-Series Recloser,Relay Model,ccub,None,,,,,,
ADVC N-Series Recloser,Relay Model,charact,None,,,,,,
ADVC N-Series Recloser,Relay Model,chr_name,None,,,,,,
ADVC N-Series Recloser,Relay Model,ciDist,None,,,,,,
ADVC N-Series Recloser,Relay Model,ciDistAll,None,,,,,,
ADVC N-Series Recloser,Relay Model,ciDistAllRoot,None,,,,,,
ADVC N-Series Recloser,Relay Model,ciDistRoot,None,,,,,,
ADVC N-Series Recloser,Relay Model,ciEarthed,None,,,,,,
ADVC N-Series Recloser,Relay Model,ciEnergized,None,,,,,,
ADVC N-Series Recloser,Relay Model,ciLater,None,,,,,,
ADVC N-Series Recloser,Relay Model,ciOutaged,None,,,,,,
ADVC N-Series Recloser,Relay Model,cn_bus,None,,,,,,
ADVC N-Series Recloser,Relay Model,cn_rembus,None,,,,,,
ADVC N-Series Recloser,Relay Model,constr,None,,,,,,
ADVC N-Series Recloser,Relay Model,contents,None,,,,,,
ADVC N-Series Recloser,Relay Model,cpArea,None,,,,,,
ADVC N-Series Recloser,Relay Model,cpBranch,None,,,,,,
ADVC N-Series Recloser,Relay Model,cpCt,None,,,,,,
ADVC N-Series Recloser,Relay Model,cpFeed,None,,,,,,
ADVC N-Series Recloser,Relay Model,cpGrid,None,,,,,,
ADVC N-Series Recloser,Relay Model,cpHeadFold,None,,,,,,
ADVC N-Series Recloser,Relay Model,cpMeteostat,None,,,,,,
ADVC N-Series Recloser,Relay Model,cpOperator,None,,,,,,
ADVC N-Series Recloser,Relay Model,cpOwner,None,,,,,,
ADVC N-Series Recloser,Relay Model,cpShc,None,,,,,,
ADVC N-Series Recloser,Relay Model,cpSite,None,,,,,,
ADVC N-Series Recloser,Relay Model,cpSubstat,None,,,,,,
ADVC N-Series Recloser,Relay Model,cpSupplySubstation,None,,,,,,
ADVC N-Series Recloser,Relay Model,cpSupplyTransformer,None,,,,,,
ADVC N-Series Recloser,Relay Model,cpSupplyTrfStation,None,,,,,,
ADVC N-Series Recloser,Relay Model,cpVt,None,,,,,,
ADVC N-Series Recloser,Relay Model,cpZone,None,,,,,,
ADVC N-Series Recloser,Relay Model,ctprim,None,,,,,,
ADVC N-Series Recloser,Relay Model,ctsec,None,,,,,,
ADVC N-Series Recloser,Relay Model,cvtprim,None,,,,,,
ADVC N-Series Recloser,Relay Model,cvtsec,None,,,,,,
ADVC N-Series Recloser,Relay Model,dat_src,None,,,,,,
ADVC N-Series Recloser,Relay Model,dataExtUnit,None,,,,,,
ADVC N-Series Recloser,Relay Model,desc,None,,,,,,
ADVC N-Series Recloser,Relay Model,dev_no,None,,,,,,
ADVC N-Series Recloser,Relay Model,doc_id,None,,,,,,
ADVC N-Series Recloser,Relay Model,efaultmaxi,None,,,,,,
ADVC N-Series Recloser,Relay Model,efaultmini,None,,,,,,
ADVC N-Series Recloser,Relay Model,fold_id,None,,,,,,
ADVC N-Series Recloser,Relay Model,for_name,None,,,,,,
ADVC N-Series Recloser,Relay Model,gnrl_modby,None,,,,,,
ADVC N-Series Recloser,Relay Model,gnrl_modif,None,,,,,,
ADVC N-Series Recloser,Relay Model,iComDate,None,,,,,,
ADVC N-Series Recloser,Relay Model,iSchemeStatus,None,,,,,,
ADVC N-Series Recloser,Relay Model,isSubRelay,None,,,,,,
ADVC N-Series Recloser,Relay Model,loc_name,None,,,,,,
ADVC N-Series Recloser,Relay Model,outserv,None,,,,,,
ADVC N-Series Recloser,Relay Model,pOperator,None,,,,,,
ADVC N-Series Recloser,Relay Model,pOwner,None,,,,,,
ADVC N-Series Recloser,Relay Model,pReference,None,,,,,,
ADVC N-Series Recloser,Relay Model,pdiselm,None,,,,,,
ADVC N-Series Recloser,Relay Model,pelm,None,,,,,,
ADVC N-Series Recloser,Relay Model,phfaultmaxi,None,,,,,,
ADVC N-Series Recloser,Relay Model,phfaultmini,None,,,,,,
ADVC N-Series Recloser,Relay Model,root_id,None,,,,,,
ADVC N-Series Recloser,Relay Model,sernum,None,,,,,,
ADVC N-Series Recloser,Relay Model,sw_settingsGroups,None,,,,,,
ADVC N-Series Recloser,Relay Model,td_bR,None,,,,,,
ADVC N-Series Recloser,Relay Model,td_bRC,None,,,,,,
ADVC N-Series Recloser,Relay Model,td_bX,None,,,,,,
ADVC N-Series Recloser,Relay Model,td_bXC,None,,,,,,
ADVC N-Series Recloser,Relay Model,td_bZ,None,,,,,,
ADVC N-Series Recloser,Relay Model,td_bZC,None,,,,,,
ADVC N-Series Recloser,Relay Model,td_blim,None,,,,,,
ADVC N-Series Recloser,Relay Model,td_bobj,None,,,,,,
ADVC N-Series Recloser,Relay Model,td_bphi,None,,,,,,
ADVC N-Series Recloser,Relay Model,td_bphiC,None,,,,,,
ADVC N-Series Recloser,Relay Model,td_bpos,None,,,,,,
ADVC N-Series Recloser,Relay Model,td_btpbk,None,,,,,,
ADVC N-Series Recloser,Relay Model,td_btrip,None,,,,,,
ADVC N-Series Recloser,Relay Model,td_cnt,None,,,,,,
ADVC N-Series Recloser,Relay Model,td_fR,None,,,,,,
ADVC N-Series Recloser,Relay Model,td_fRC,None,,,,,,
ADVC N-Series Recloser,Relay Model,td_fX,None,,,,,,
ADVC N-Series Recloser,Relay Model,td_fXC,None,,,,,,
ADVC N-Series Recloser,Relay Model,td_fZ,None,,,,,,
ADVC N-Series Recloser,Relay Model,td_fZC,None,,,,,,
ADVC N-Series Recloser,Relay Model,td_flim,None,,,,,,
ADVC N-Series Recloser,Relay Model,td_fobj,None,,,,,,
ADVC N-Series Recloser,Relay Model,td_fphi,None,,,,,,
ADVC N-Series Recloser,Relay Model,td_fphiC,None,,,,,,
ADVC N-Series Recloser,Relay Model,td_fpos,None,,,,,,
ADVC N-Series Recloser,Relay Model,td_ftpbk,None,,,,,,
ADVC N-Series Recloser,Relay Model,td_ftrip,None,,,,,,
ADVC N-Series Recloser,Relay Model,typ_id,None,,,,,,
ADVC N-Series Recloser,Relay Model,vtprim,None,,,,,,
ADVC N-Series Recloser,Relay Model,vtsec,None,,,,,,
ADVC N-Series Recloser,Relay Model,zratio,None,,,,,,
Relay Model,Reclosing Element_logic,Trip 1,Root/Protection/Protection Group A/,Trips To Lockout,use_setting,None,1,None,None
Relay Model,Reclosing Element_logic,Trip 2,Root/Protection/Protection Group A/,Trips To Lockout,use_setting,None,2,None,None
Relay Model,Reclosing Element_logic,Trip 3,Root/Protection/Protection Group A/,Trips To Lockout,use_setting,None,3,None,None
Relay Model,Reclosing Element_logic,Trip 4,Root/Protection/Protection Group A/,Trips To Lockout,use_setting,None,4,None,None
Relay Model,Reclosing Element_logic,SEF,Root/Control/,Sensitive Earth Fault Detection,use_setting,None,ALL,Off,N
Relay Model,Reclosing Element_logic,NPS,Root/Control/,Negative Phase Sequence,use_setting,None,ALL,Off,N
Relay Model,Reclosing Element_logic,HCL,Root/Protection/Protection Group A/High Current Lockout /,High Neutral Current Protection,use_setting,None,ALL,Off,N
Relay Model,Reclosing Element,AttributeType,None,,,,,,
Relay Model,Reclosing Element,SEFtripblock,None,,,,,,
Relay Model,Reclosing Element,SEFtriptolock,None,,,,,,
Relay Model,Reclosing Element,TCC1op,None,,,,,,
Relay Model,Reclosing Element,cDisplayName,None,,,,,,
Relay Model,Reclosing Element,cUserDefIndex,None,,,,,,
Relay Model,Reclosing Element,c_type,None,,,,,,
Relay Model,Reclosing Element,cclactivationt,None,,,,,,
Relay Model,Reclosing Element,cclosingcomtime,None,,,,,,
Relay Model,Reclosing Element,cclrecloseinterval,None,,,,,,
Relay Model,Reclosing Element,charact,None,,,,,,
Relay Model,Reclosing Element,chr_name,None,,,,,,
Relay Model,Reclosing Element,ciDist,None,,,,,,
Relay Model,Reclosing Element,ciDistAll,None,,,,,,
Relay Model,Reclosing Element,ciDistAllRoot,None,,,,,,
Relay Model,Reclosing Element,ciDistRoot,None,,,,,,
Relay Model,Reclosing Element,ciEarthed,None,,,,,,
Relay Model,Reclosing Element,ciEnergized,None,,,,,,
Relay Model,Reclosing Element,ciLater,None,,,,,,
Relay Model,Reclosing Element,ciOutaged,None,,,,,,
Relay Model,Reclosing Element,clactivationt,None,,,,,,
Relay Model,Reclosing Element,clenable,None,,,,,,
Relay Model,Reclosing Element,closingcomtime,None,,,,,,
Relay Model,Reclosing Element,clrecloseinterval,None,,,,,,
Relay Model,Reclosing Element,cltripstolockout,None,,,,,,
Relay Model,Reclosing Element,cpArea,None,,,,,,
Relay Model,Reclosing Element,cpBranch,None,,,,,,
Relay Model,Reclosing Element,cpFeed,None,,,,,,
Relay Model,Reclosing Element,cpGrid,None,,,,,,
Relay Model,Reclosing Element,cpHeadFold,None,,,,,,
Relay Model,Reclosing Element,cpMeteostat,None,,,,,,
Relay Model,Reclosing Element,cpOperator,None,,,,,,
Relay Model,Reclosing Element,cpOwner,None,,,,,,
Relay Model,Reclosing Element,cpSite,None,,,,,,
Relay Model,Reclosing Element,cpSubstat,None,,,,,,
Relay Model,Reclosing Element,cpSupplySubstation,None,,,,,,
Relay Model,Reclosing Element,cpSupplyTransformer,None,,,,,,
Relay Model,Reclosing Element,cpSupplyTrfStation,None,,,,,,
Relay Model,Reclosing Element,cpZone,None,,,,,,
Relay Model,Reclosing Element,crecltime1,None,,,,,,
Relay Model,Reclosing Element,crecltime11ph,None,,,,,,
Relay Model,Reclosing Element,crecltime2,None,,,,,,
Relay Model,Reclosing Element,crecltime3,None,,,,,,
Relay Model,Reclosing Element,crecltime4,None,,,,,,
Relay Model,Reclosing Element,crecltime5,None,,,,,,
Relay Model,Reclosing Element,cresettime,None,,,,,,
Relay Model,Reclosing Element,dat_src,None,,,,,,
Relay Model,Reclosing Element,dataExtUnit,None,,,,,,
Relay Model,Reclosing Element,fasttripdisabl,None,,,,,,
Relay Model,Reclosing Element,fasttripdislock,None,,,,,,
Relay Model,Reclosing Element,fold_id,None,,,,,,
Relay Model,Reclosing Element,for_name,None,,,,,,
Relay Model,Reclosing Element,gnrl_modby,None,,,,,,
Relay Model,Reclosing Element,gnrl_modif,None,,,,,,
Relay Model,Reclosing Element,groundtripprec,None,,,,,,
Relay Model,Reclosing Element,grtripblock,None,,,,,,
Relay Model,Reclosing Element,hcl1active,None,,,,,,
Relay Model,Reclosing Element,hcl2active,None,,,,,,
Relay Model,Reclosing Element,hcl3active,None,,,,,,
Relay Model,Reclosing Element,hcl4active,None,,,,,,
Relay Model,Reclosing Element,hctrip1enable,None,,,,,,
Relay Model,Reclosing Element,hctrip2enable,None,,,,,,
Relay Model,Reclosing Element,hctrip3enable,None,,,,,,
Relay Model,Reclosing Element,hctrip4enable,None,,,,,,
Relay Model,Reclosing Element,hctrip5enable,None,,,,,,
Relay Model,Reclosing Element,iSchemeStatus,None,,,,,,
Relay Model,Reclosing Element,ilogic,None,,,,,,
Relay Model,Reclosing Element,loc_name,None,,,,,,
Relay Model,Reclosing Element,maxseqcpsno,None,,,,,,
Relay Model,Reclosing Element,operationmode,None,,,,,,
Relay Model,Reclosing Element,oplockout,Root/Protection/Protection Group A/,Trips To Lockout,use_setting,None,,,
Relay Model,Reclosing Element,outserv,ON,,,,,,
Relay Model,Reclosing Element,reclnotactive,None,,,,,,
Relay Model,Reclosing Element,recltime1,Root/Protection/Protection Group A/Trip 1/,Trip 1 Reclose Time,use_setting,None,,,
Relay Model,Reclosing Element,recltime11ph,None,,,,,,
Relay Model,Reclosing Element,recltime2,Root/Protection/Protection Group A/Trip 2/,Trip 2 Reclose Time,use_setting,None,,,
Relay Model,Reclosing Element,recltime3,Root/Protection/Protection Group A/Trip 3/,Trip 3 Reclose Time,use_setting,None,,,
Relay Model,Reclosing Element,recltime4,None,,,,,,
Relay Model,Reclosing Element,recltime5,None,,,,,,
Relay Model,Reclosing Element,resettime,Root/Protection/Protection Group A/,Sequence Reset Time,use_setting,None,,,
Relay Model,Reclosing Element,root_id,None,,,,,,
Relay Model,Reclosing Element,seqaccessory,None,,,,,,
Relay Model,Reclosing Element,starttimeframe,None,,,,,,
Relay Model,Reclosing Element,typ_id,None,,,,,,
Relay Model,Tripping Element_dip,y1,None,,,,,,
Relay Model,Tripping Element_dip,y2,None,,,,,,
Relay Model,Tripping Element_dip,y3,None,,,,,,
Relay Model,Tripping Element_dip,y4,None,,,,,,
Relay Model,Tripping Element,AttributeType,None,,,,,,
Relay Model,Tripping Element,aDipset,None,,,,,,
Relay Model,Tripping Element,cDisplayName,None,,,,,,
Relay Model,Tripping Element,cUserDefIndex,None,,,,,,
Relay Model,Tripping Element,charact,None,,,,,,
Relay Model,Tripping Element,chr_name,None,,,,,,
Relay Model,Tripping Element,ciDist,None,,,,,,
Relay Model,Tripping Element,ciDistAll,None,,,,,,
Relay Model,Tripping Element,ciDistAllRoot,None,,,,,,
Relay Model,Tripping Element,ciDistRoot,None,,,,,,
Relay Model,Tripping Element,ciEarthed,None,,,,,,
Relay Model,Tripping Element,ciEnergized,None,,,,,,
Relay Model,Tripping Element,ciLater,None,,,,,,
Relay Model,Tripping Element,ciOutaged,None,,,,,,
Relay Model,Tripping Element,cpArea,None,,,,,,
Relay Model,Tripping Element,cpBranch,None,,,,,,
Relay Model,Tripping Element,cpFeed,None,,,,,,
Relay Model,Tripping Element,cpGrid,None,,,,,,
Relay Model,Tripping Element,cpHeadFold,None,,,,,,
Relay Model,Tripping Element,cpMeteostat,None,,,,,,
Relay Model,Tripping Element,cpOperator,None,,,,,,
Relay Model,Tripping Element,cpOwner,None,,,,,,
Relay Model,Tripping Element,cpSite,None,,,,,,
Relay Model,Tripping Element,cpSubstat,None,,,,,,
Relay Model,Tripping Element,cpSupplySubstation,None,,,,,,
Relay Model,Tripping Element,cpSupplyTransformer,None,,,,,,
Relay Model,Tripping Element,cpSupplyTrfStation,None,,,,,,
Relay Model,Tripping Element,cpZone,None,,,,,,
Relay Model,Tripping Element,dat_src,None,,,,,,
Relay Model,Tripping Element,dataExtUnit,None,,,,,,
Relay Model,Tripping Element,fold_id,None,,,,,,
Relay Model,Tripping Element,for_name,None,,,,,,
Relay Model,Tripping Element,gnrl_modby,None,,,,,,
Relay Model,Tripping Element,gnrl_modif,None,,,,,,
Relay Model,Tripping Element,iSchemeStatus,None,,,,,,
