FOLDER,ELEMENT,ATTRIBUTE,,,,
CDG61,Default,AttributeType,None,,,
CDG61,Default,actset,None,,,
CDG61,Default,application,None,,,
CDG61,Default,appr_modby,None,,,
CDG61,Default,appr_modif,None,,,
CDG61,Default,appr_status,None,,,
CDG61,Default,cDisplayName,None,,,
CDG61,Default,cUserDefIndex,None,,,
CDG61,Default,c_category,None,,,
CDG61,Default,cbranch,None,,,
CDG61,Default,cbranchid,None,,,
CDG61,Default,cctprim,None,,,
CDG61,Default,cctsec,None,,,
CDG61,Default,ccub,None,,,
CDG61,Default,charact,None,,,
CDG61,Default,chr_name,None,,,
CDG61,Default,ciDist,None,,,
CDG61,Default,ciDistAll,None,,,
CDG61,Default,ciDistAllRoot,None,,,
CDG61,Default,ciDistRoot,None,,,
CDG61,Default,ciEarthed,None,,,
CDG61,Default,ciEnergized,None,,,
CDG61,Default,ciLater,None,,,
CDG61,Default,ciOutaged,None,,,
CDG61,Default,cn_bus,None,,,
CDG61,Default,cn_rembus,None,,,
CDG61,Default,constr,None,,,
CDG61,Default,contents,None,,,
CDG61,Default,cpArea,None,,,
CDG61,Default,cpBranch,None,,,
CDG61,Default,cpCt,None,,,
CDG61,Default,cpFeed,None,,,
CDG61,Default,cpGrid,None,,,
CDG61,Default,cpHeadFold,None,,,
CDG61,Default,cpMeteostat,None,,,
CDG61,Default,cpOperator,None,,,
CDG61,Default,cpOwner,None,,,
CDG61,Default,cpShc,None,,,
CDG61,Default,cpSite,None,,,
CDG61,Default,cpSubstat,None,,,
CDG61,Default,cpSupplySubstation,None,,,
CDG61,Default,cpSupplyTransformer,None,,,
CDG61,Default,cpSupplyTrfStation,None,,,
CDG61,Default,cpVt,None,,,
CDG61,Default,cpZone,None,,,
CDG61,Default,ctprim,None,,,
CDG61,Default,ctsec,None,,,
CDG61,Default,cvtprim,None,,,
CDG61,Default,cvtsec,None,,,
CDG61,Default,dat_src,None,,,
CDG61,Default,dataExtUnit,None,,,
CDG61,Default,desc,None,,,
CDG61,Default,dev_no,None,,,
CDG61,Default,doc_id,None,,,
CDG61,Default,efaultmaxi,None,,,
CDG61,Default,efaultmini,None,,,
CDG61,Default,fold_id,None,,,
CDG61,Default,for_name,None,,,
CDG61,Default,gnrl_modby,None,,,
CDG61,Default,gnrl_modif,None,,,
CDG61,Default,iComDate,None,,,
CDG61,Default,iSchemeStatus,None,,,
CDG61,Default,isSubRelay,None,,,
CDG61,Default,loc_name,None,,,
CDG61,Default,outserv,None,,,
CDG61,Default,pOperator,None,,,
CDG61,Default,pOwner,None,,,
CDG61,Default,pReference,None,,,
CDG61,Default,pdiselm,None,,,
CDG61,Default,pelm,None,,,
CDG61,Default,phfaultmaxi,None,,,
CDG61,Default,phfaultmini,None,,,
CDG61,Default,root_id,None,,,
CDG61,Default,sernum,None,,,
CDG61,Default,sw_settingsGroups,None,,,
CDG61,Default,td_bR,None,,,
CDG61,Default,td_bRC,None,,,
CDG61,Default,td_bX,None,,,
CDG61,Default,td_bXC,None,,,
CDG61,Default,td_bZ,None,,,
CDG61,Default,td_bZC,None,,,
CDG61,Default,td_blim,None,,,
CDG61,Default,td_bobj,None,,,
CDG61,Default,td_bphi,None,,,
CDG61,Default,td_bphiC,None,,,
CDG61,Default,td_bpos,None,,,
CDG61,Default,td_btpbk,None,,,
CDG61,Default,td_btrip,None,,,
CDG61,Default,td_cnt,None,,,
CDG61,Default,td_fR,None,,,
CDG61,Default,td_fRC,None,,,
CDG61,Default,td_fX,None,,,
CDG61,Default,td_fXC,None,,,
CDG61,Default,td_fZ,None,,,
CDG61,Default,td_fZC,None,,,
CDG61,Default,td_flim,None,,,
CDG61,Default,td_fobj,None,,,
CDG61,Default,td_fphi,None,,,
CDG61,Default,td_fphiC,None,,,
CDG61,Default,td_fpos,None,,,
CDG61,Default,td_ftpbk,None,,,
CDG61,Default,td_ftrip,None,,,
CDG61,Default,typ_id,None,,,
CDG61,Default,vtprim,None,,,
CDG61,Default,vtsec,None,,,
CDG61,Default,zratio,None,,,
Default,Ioc A,AttributeType,None,,,
Default,Ioc A,Ipset,None,,,
Default,Ioc A,Ipsetr,Parameters/,Inst_a,use_setting,None
Default,Ioc A,Trelblock,None,,,
Default,Ioc A,Tset,None,,,
Default,Ioc A,cDisplayName,None,,,
Default,Ioc A,cTset,None,,,
Default,Ioc A,cUserDefIndex,None,,,
Default,Ioc A,c_sfansi,None,,,
Default,Ioc A,c_sfiec,None,,,
Default,Ioc A,c_type,None,,,
Default,Ioc A,calcuse,None,,,
Default,Ioc A,charact,None,,,
Default,Ioc A,chr_name,None,,,
Default,Ioc A,ciDist,None,,,
Default,Ioc A,ciDistAll,None,,,
Default,Ioc A,ciDistAllRoot,None,,,
Default,Ioc A,ciDistRoot,None,,,
Default,Ioc A,ciEarthed,None,,,
Default,Ioc A,ciEnergized,None,,,
Default,Ioc A,ciLater,None,,,
Default,Ioc A,ciOutaged,None,,,
Default,Ioc A,cpArea,None,,,
Default,Ioc A,cpBranch,None,,,
Default,Ioc A,cpFeed,None,,,
Default,Ioc A,cpGrid,None,,,
Default,Ioc A,cpHeadFold,None,,,
Default,Ioc A,cpMeteostat,None,,,
Default,Ioc A,cpOperator,None,,,
Default,Ioc A,cpOwner,None,,,
Default,Ioc A,cpSite,None,,,
Default,Ioc A,cpSubstat,None,,,
Default,Ioc A,cpSupplySubstation,None,,,
Default,Ioc A,cpSupplyTransformer,None,,,
Default,Ioc A,cpSupplyTrfStation,None,,,
Default,Ioc A,cpZone,None,,,
Default,Ioc A,cptotime,None,,,
Default,Ioc A,dat_src,None,,,
Default,Ioc A,dataExtUnit,None,,,
Default,Ioc A,fold_id,None,,,
Default,Ioc A,for_name,None,,,
Default,Ioc A,gnrl_modby,None,,,
Default,Ioc A,gnrl_modif,None,,,
Default,Ioc A,iSchemeStatus,None,,,
Default,Ioc A,iacceptblock,None,,,
Default,Ioc A,idir,None,,,
Default,Ioc A,loc_name,None,,,
Default,Ioc A,outserv,Parameters/,Inst_a,use_setting,OFF
Default,Ioc A,root_id,None,,,
Default,Ioc A,typ_id,None,,,
Default,Ioc B,AttributeType,None,,,
Default,Ioc B,Ipset,None,,,
Default,Ioc B,Ipsetr,Parameters/,Inst_a,use_setting,None
Default,Ioc B,Trelblock,None,,,
Default,Ioc B,Tset,None,,,
Default,Ioc B,cDisplayName,None,,,
Default,Ioc B,cTset,None,,,
Default,Ioc B,cUserDefIndex,None,,,
Default,Ioc B,c_sfansi,None,,,
Default,Ioc B,c_sfiec,None,,,
Default,Ioc B,c_type,None,,,
Default,Ioc B,calcuse,None,,,
Default,Ioc B,charact,None,,,
Default,Ioc B,chr_name,None,,,
Default,Ioc B,ciDist,None,,,
Default,Ioc B,ciDistAll,None,,,
Default,Ioc B,ciDistAllRoot,None,,,
Default,Ioc B,ciDistRoot,None,,,
Default,Ioc B,ciEarthed,None,,,
Default,Ioc B,ciEnergized,None,,,
Default,Ioc B,ciLater,None,,,
Default,Ioc B,ciOutaged,None,,,
Default,Ioc B,cpArea,None,,,
Default,Ioc B,cpBranch,None,,,
Default,Ioc B,cpFeed,None,,,
Default,Ioc B,cpGrid,None,,,
Default,Ioc B,cpHeadFold,None,,,
Default,Ioc B,cpMeteostat,None,,,
Default,Ioc B,cpOperator,None,,,
Default,Ioc B,cpOwner,None,,,
Default,Ioc B,cpSite,None,,,
Default,Ioc B,cpSubstat,None,,,
Default,Ioc B,cpSupplySubstation,None,,,
Default,Ioc B,cpSupplyTransformer,None,,,
Default,Ioc B,cpSupplyTrfStation,None,,,
Default,Ioc B,cpZone,None,,,
Default,Ioc B,cptotime,None,,,
Default,Ioc B,dat_src,None,,,
Default,Ioc B,dataExtUnit,None,,,
Default,Ioc B,fold_id,None,,,
Default,Ioc B,for_name,None,,,
Default,Ioc B,gnrl_modby,None,,,
Default,Ioc B,gnrl_modif,None,,,
Default,Ioc B,iSchemeStatus,None,,,
Default,Ioc B,iacceptblock,None,,,
Default,Ioc B,idir,None,,,
Default,Ioc B,loc_name,None,,,
Default,Ioc B,outserv,Parameters/,Inst_a,use_setting,OFF
Default,Ioc B,root_id,None,,,
Default,Ioc B,typ_id,None,,,
Default,Ioc C,AttributeType,None,,,
Default,Ioc C,Ipset,None,,,
Default,Ioc C,Ipsetr,Parameters/,Inst_a,use_setting,None
Default,Ioc C,Trelblock,None,,,
Default,Ioc C,Tset,None,,,
Default,Ioc C,cDisplayName,None,,,
Default,Ioc C,cTset,None,,,
Default,Ioc C,cUserDefIndex,None,,,
Default,Ioc C,c_sfansi,None,,,
Default,Ioc C,c_sfiec,None,,,
Default,Ioc C,c_type,None,,,
Default,Ioc C,calcuse,None,,,
Default,Ioc C,charact,None,,,
Default,Ioc C,chr_name,None,,,
Default,Ioc C,ciDist,None,,,
Default,Ioc C,ciDistAll,None,,,
Default,Ioc C,ciDistAllRoot,None,,,
Default,Ioc C,ciDistRoot,None,,,
