FOLDER,ELEMENT,ATTRIBUTE,,,,,,,
Noja Recloser,Default,AttributeType,None,,,,,,
Noja Recloser,Default,actset,None,,,,,,
Noja Recloser,Default,application,None,,,,,,
Noja Recloser,Default,appr_modby,None,,,,,,
Noja Recloser,Default,appr_modif,None,,,,,,
Noja Recloser,Default,appr_status,None,,,,,,
Noja Recloser,Default,cDisplayName,None,,,,,,
Noja Recloser,Default,cUserDefIndex,None,,,,,,
Noja Recloser,Default,c_category,None,,,,,,
Noja Recloser,Default,cbranch,None,,,,,,
Noja Recloser,Default,cbranchid,None,,,,,,
Noja Recloser,Default,cctprim,None,,,,,,
Noja Recloser,Default,cctsec,None,,,,,,
Noja Recloser,Default,ccub,None,,,,,,
Noja Recloser,Default,charact,None,,,,,,
Noja Recloser,Default,chr_name,None,,,,,,
Noja Recloser,Default,ciDist,None,,,,,,
Noja Recloser,Default,ciDistAll,None,,,,,,
Noja Recloser,Default,ciDistAllRoot,None,,,,,,
Noja Recloser,Default,ciDistRoot,None,,,,,,
Noja Recloser,Default,ciEarthed,None,,,,,,
Noja Recloser,Default,ciEnergized,None,,,,,,
Noja Recloser,Default,ciLater,None,,,,,,
Noja Recloser,Default,ciOutaged,None,,,,,,
Noja Recloser,Default,cn_bus,None,,,,,,
Noja Recloser,Default,cn_rembus,None,,,,,,
Noja Recloser,Default,constr,None,,,,,,
Noja Recloser,Default,contents,None,,,,,,
Noja Recloser,Default,cpArea,None,,,,,,
Noja Recloser,Default,cpBranch,None,,,,,,
Noja Recloser,Default,cpCt,None,,,,,,
Noja Recloser,Default,cpFeed,None,,,,,,
Noja Recloser,Default,cpGrid,None,,,,,,
Noja Recloser,Default,cpHeadFold,None,,,,,,
Noja Recloser,Default,cpMeteostat,None,,,,,,
Noja Recloser,Default,cpOperator,None,,,,,,
Noja Recloser,Default,cpOwner,None,,,,,,
Noja Recloser,Default,cpShc,None,,,,,,
Noja Recloser,Default,cpSite,None,,,,,,
Noja Recloser,Default,cpSubstat,None,,,,,,
Noja Recloser,Default,cpSupplySubstation,None,,,,,,
Noja Recloser,Default,cpSupplyTransformer,None,,,,,,
Noja Recloser,Default,cpSupplyTrfStation,None,,,,,,
Noja Recloser,Default,cpVt,None,,,,,,
Noja Recloser,Default,cpZone,None,,,,,,
Noja Recloser,Default,ctprim,None,,,,,,
Noja Recloser,Default,ctsec,None,,,,,,
Noja Recloser,Default,cvtprim,None,,,,,,
Noja Recloser,Default,cvtsec,None,,,,,,
Noja Recloser,Default,dat_src,None,,,,,,
Noja Recloser,Default,dataExtUnit,None,,,,,,
Noja Recloser,Default,desc,None,,,,,,
Noja Recloser,Default,dev_no,None,,,,,,
Noja Recloser,Default,doc_id,None,,,,,,
Noja Recloser,Default,efaultmaxi,None,,,,,,
Noja Recloser,Default,efaultmini,None,,,,,,
Noja Recloser,Default,fold_id,None,,,,,,
Noja Recloser,Default,for_name,None,,,,,,
Noja Recloser,Default,gnrl_modby,None,,,,,,
Noja Recloser,Default,gnrl_modif,None,,,,,,
Noja Recloser,Default,iComDate,None,,,,,,
Noja Recloser,Default,iSchemeStatus,None,,,,,,
Noja Recloser,Default,isSubRelay,None,,,,,,
Noja Recloser,Default,loc_name,None,,,,,,
Noja Recloser,Default,outserv,None,,,,,,
Noja Recloser,Default,pOperator,None,,,,,,
Noja Recloser,Default,pOwner,None,,,,,,
Noja Recloser,Default,pReference,None,,,,,,
Noja Recloser,Default,pdiselm,None,,,,,,
Noja Recloser,Default,pelm,None,,,,,,
Noja Recloser,Default,phfaultmaxi,None,,,,,,
Noja Recloser,Default,phfaultmini,None,,,,,,
Noja Recloser,Default,root_id,None,,,,,,
Noja Recloser,Default,sernum,None,,,,,,
Noja Recloser,Default,sw_settingsGroups,None,,,,,,
Noja Recloser,Default,td_bR,None,,,,,,
Noja Recloser,Default,td_bRC,None,,,,,,
Noja Recloser,Default,td_bX,None,,,,,,
Noja Recloser,Default,td_bXC,None,,,,,,
Noja Recloser,Default,td_bZ,None,,,,,,
Noja Recloser,Default,td_bZC,None,,,,,,
Noja Recloser,Default,td_blim,None,,,,,,
Noja Recloser,Default,td_bobj,None,,,,,,
Noja Recloser,Default,td_bphi,None,,,,,,
Noja Recloser,Default,td_bphiC,None,,,,,,
Noja Recloser,Default,td_bpos,None,,,,,,
Noja Recloser,Default,td_btpbk,None,,,,,,
Noja Recloser,Default,td_btrip,None,,,,,,
Noja Recloser,Default,td_cnt,None,,,,,,
Noja Recloser,Default,td_fR,None,,,,,,
Noja Recloser,Default,td_fRC,None,,,,,,
Noja Recloser,Default,td_fX,None,,,,,,
Noja Recloser,Default,td_fXC,None,,,,,,
Noja Recloser,Default,td_fZ,None,,,,,,
Noja Recloser,Default,td_fZC,None,,,,,,
Noja Recloser,Default,td_flim,None,,,,,,
Noja Recloser,Default,td_fobj,None,,,,,,
Noja Recloser,Default,td_fphi,None,,,,,,
Noja Recloser,Default,td_fphiC,None,,,,,,
Noja Recloser,Default,td_fpos,None,,,,,,
Noja Recloser,Default,td_ftpbk,None,,,,,,
Noja Recloser,Default,td_ftrip,None,,,,,,
Noja Recloser,Default,typ_id,None,,,,,,
