FOLDER,ELEMENT,ATTRIBUTE,,,,
ASEA RI 3OC,default,zratio,None,,,
ASEA RI 3OC,default,vtsec,None,,,
ASEA RI 3OC,default,vtprim,None,,,
ASEA RI 3OC,default,typ_id,None,,,
ASEA RI 3OC,default,td_fZC,None,,,
ASEA RI 3OC,default,td_fZ,None,,,
ASEA RI 3OC,default,td_fXC,None,,,
ASEA RI 3OC,default,td_fX,None,,,
ASEA RI 3OC,default,td_ftrip,None,,,
ASEA RI 3OC,default,td_ftpbk,None,,,
ASEA RI 3OC,default,td_fRC,None,,,
ASEA RI 3OC,default,td_fR,None,,,
ASEA RI 3OC,default,td_fpos,None,,,
ASEA RI 3OC,default,td_fphiC,None,,,
ASEA RI 3OC,default,td_fphi,None,,,
ASEA RI 3OC,default,td_fobj,None,,,
ASEA RI 3OC,default,td_flim,None,,,
ASEA RI 3OC,default,td_cnt,None,,,
ASEA RI 3OC,default,td_bZC,None,,,
ASEA RI 3OC,default,td_bZ,None,,,
ASEA RI 3OC,default,td_bXC,None,,,
ASEA RI 3OC,default,td_bX,None,,,
ASEA RI 3OC,default,td_btrip,None,,,
ASEA RI 3OC,default,td_btpbk,None,,,
ASEA RI 3OC,default,td_bRC,None,,,
ASEA RI 3OC,default,td_bR,None,,,
ASEA RI 3OC,default,td_bpos,None,,,
ASEA RI 3OC,default,td_bphiC,None,,,
ASEA RI 3OC,default,td_bphi,None,,,
ASEA RI 3OC,default,td_bobj,None,,,
ASEA RI 3OC,default,td_blim,None,,,
ASEA RI 3OC,default,sw_settingsGroups,None,,,
ASEA RI 3OC,default,sernum,None,,,
ASEA RI 3OC,default,root_id,None,,,
ASEA RI 3OC,default,pReference,None,,,
ASEA RI 3OC,default,pOwner,None,,,
ASEA RI 3OC,default,pOperator,None,,,
ASEA RI 3OC,default,phfaultmini,None,,,
ASEA RI 3OC,default,phfaultmaxi,None,,,
ASEA RI 3OC,default,pelm,None,,,
ASEA RI 3OC,default,pdiselm,None,,,
ASEA RI 3OC,default,outserv,None,,,
ASEA RI 3OC,default,loc_name,None,,,
ASEA RI 3OC,default,isSubRelay,None,,,
ASEA RI 3OC,default,iSchemeStatus,None,,,
ASEA RI 3OC,default,iComDate,None,,,
ASEA RI 3OC,default,gnrl_modif,None,,,
ASEA RI 3OC,default,gnrl_modby,None,,,
ASEA RI 3OC,default,for_name,None,,,
ASEA RI 3OC,default,fold_id,None,,,
ASEA RI 3OC,default,efaultmini,None,,,
ASEA RI 3OC,default,efaultmaxi,None,,,
ASEA RI 3OC,default,doc_id,None,,,
ASEA RI 3OC,default,dev_no,None,,,
ASEA RI 3OC,default,desc,None,,,
ASEA RI 3OC,default,dataExtUnit,None,,,
ASEA RI 3OC,default,dat_src,None,,,
ASEA RI 3OC,default,cvtsec,None,,,
ASEA RI 3OC,default,cvtprim,None,,,
