FOLDER,ELEMENT,ATTRIBUTE,,,,,
CDG66 A & C,default,AttributeType,None,,,,
CDG66 A & C,default,actset,None,,,,
CDG66 A & C,default,application,None,,,,
CDG66 A & C,default,appr_modby,None,,,,
CDG66 A & C,default,appr_modif,None,,,,
CDG66 A & C,default,appr_status,None,,,,
CDG66 A & C,default,cDisplayName,None,,,,
CDG66 A & C,default,cUserDefIndex,None,,,,
CDG66 A & C,default,c_category,None,,,,
CDG66 A & C,default,cbranch,None,,,,
CDG66 A & C,default,cbranchid,None,,,,
CDG66 A & C,default,cctprim,None,,,,
CDG66 A & C,default,cctsec,None,,,,
CDG66 A & C,default,ccub,None,,,,
CDG66 A & C,default,charact,None,,,,
CDG66 A & C,default,chr_name,None,,,,
CDG66 A & C,default,ciDist,None,,,,
CDG66 A & C,default,ciDistAll,None,,,,
CDG66 A & C,default,ciDistAllRoot,None,,,,
CDG66 A & C,default,ciDistRoot,None,,,,
CDG66 A & C,default,ciEarthed,None,,,,
CDG66 A & C,default,ciEnergized,None,,,,
CDG66 A & C,default,ciLater,None,,,,
CDG66 A & C,default,ciOutaged,None,,,,
CDG66 A & C,default,cn_bus,None,,,,
CDG66 A & C,default,cn_rembus,None,,,,
CDG66 A & C,default,constr,None,,,,
CDG66 A & C,default,contents,None,,,,
CDG66 A & C,default,cpArea,None,,,,
CDG66 A & C,default,cpBranch,None,,,,
CDG66 A & C,default,cpCt,None,,,,
CDG66 A & C,default,cpFeed,None,,,,
CDG66 A & C,default,cpGrid,None,,,,
CDG66 A & C,default,cpHeadFold,None,,,,
CDG66 A & C,default,cpMeteostat,None,,,,
CDG66 A & C,default,cpOperator,None,,,,
CDG66 A & C,default,cpOwner,None,,,,
CDG66 A & C,default,cpShc,None,,,,
CDG66 A & C,default,cpSite,None,,,,
CDG66 A & C,default,cpSubstat,None,,,,
CDG66 A & C,default,cpSupplySubstation,None,,,,
CDG66 A & C,default,cpSupplyTransformer,None,,,,
CDG66 A & C,default,cpSupplyTrfStation,None,,,,
CDG66 A & C,default,cpVt,None,,,,
CDG66 A & C,default,cpZone,None,,,,
CDG66 A & C,default,ctprim,None,,,,
CDG66 A & C,default,ctsec,None,,,,
CDG66 A & C,default,cvtprim,None,,,,
CDG66 A & C,default,cvtsec,None,,,,
CDG66 A & C,default,dat_src,None,,,,
CDG66 A & C,default,dataExtUnit,None,,,,
CDG66 A & C,default,desc,None,,,,
CDG66 A & C,default,dev_no,None,,,,
CDG66 A & C,default,doc_id,None,,,,
CDG66 A & C,default,efaultmaxi,None,,,,
CDG66 A & C,default,efaultmini,None,,,,
CDG66 A & C,default,fold_id,None,,,,
CDG66 A & C,default,for_name,None,,,,
CDG66 A & C,default,gnrl_modby,None,,,,
CDG66 A & C,default,gnrl_modif,None,,,,
CDG66 A & C,default,iComDate,None,,,,
CDG66 A & C,default,iSchemeStatus,None,,,,
CDG66 A & C,default,isSubRelay,None,,,,
CDG66 A & C,default,loc_name,None,,,,
CDG66 A & C,default,outserv,None,,,,
CDG66 A & C,default,pOperator,None,,,,
CDG66 A & C,default,pOwner,None,,,,
CDG66 A & C,default,pReference,None,,,,
CDG66 A & C,default,pdiselm,None,,,,
CDG66 A & C,default,pelm,None,,,,
CDG66 A & C,default,phfaultmaxi,None,,,,
CDG66 A & C,default,phfaultmini,None,,,,
CDG66 A & C,default,root_id,None,,,,
CDG66 A & C,default,sernum,None,,,,
CDG66 A & C,default,sw_settingsGroups,None,,,,
CDG66 A & C,default,td_bR,None,,,,
CDG66 A & C,default,td_bRC,None,,,,
CDG66 A & C,default,td_bX,None,,,,
CDG66 A & C,default,td_bXC,None,,,,
CDG66 A & C,default,td_bZ,None,,,,
CDG66 A & C,default,td_bZC,None,,,,
CDG66 A & C,default,td_blim,None,,,,
CDG66 A & C,default,td_bobj,None,,,,
CDG66 A & C,default,td_bphi,None,,,,
CDG66 A & C,default,td_bphiC,None,,,,
CDG66 A & C,default,td_bpos,None,,,,
CDG66 A & C,default,td_btpbk,None,,,,
CDG66 A & C,default,td_btrip,None,,,,
CDG66 A & C,default,td_cnt,None,,,,
CDG66 A & C,default,td_fR,None,,,,
CDG66 A & C,default,td_fRC,None,,,,
CDG66 A & C,default,td_fX,None,,,,
CDG66 A & C,default,td_fXC,None,,,,
CDG66 A & C,default,td_fZ,None,,,,
CDG66 A & C,default,td_fZC,None,,,,
CDG66 A & C,default,td_flim,None,,,,
CDG66 A & C,default,td_fobj,None,,,,
CDG66 A & C,default,td_fphi,None,,,,
CDG66 A & C,default,td_fphiC,None,,,,
CDG66 A & C,default,td_fpos,None,,,,
CDG66 A & C,default,td_ftpbk,None,,,,
CDG66 A & C,default,td_ftrip,None,,,,
CDG66 A & C,default,typ_id,None,,,,
CDG66 A & C,default,vtprim,None,,,,
CDG66 A & C,default,vtsec,None,,,,
CDG66 A & C,default,zratio,None,,,,
default,Ioc A,AttributeType,None,,,,
default,Ioc A,Ipset,None,,,,
default,Ioc A,Ipsetr,Setting/,Ia>>,use_setting,None,
default,Ioc A,Trelblock,None,,,,
default,Ioc A,Tset,None,,,,
default,Ioc A,cDisplayName,None,,,,
default,Ioc A,cTset,None,,,,
default,Ioc A,cUserDefIndex,None,,,,
default,Ioc A,c_sfansi,None,,,,
default,Ioc A,c_sfiec,None,,,,
default,Ioc A,c_type,None,,,,
default,Ioc A,calcuse,None,,,,
default,Ioc A,charact,None,,,,
default,Ioc A,chr_name,None,,,,
default,Ioc A,ciDist,None,,,,
default,Ioc A,ciDistAll,None,,,,
default,Ioc A,ciDistAllRoot,None,,,,
default,Ioc A,ciDistRoot,None,,,,
default,Ioc A,ciEarthed,None,,,,
default,Ioc A,ciEnergized,None,,,,
default,Ioc A,ciLater,None,,,,
default,Ioc A,ciOutaged,None,,,,
default,Ioc A,cpArea,None,,,,
default,Ioc A,cpBranch,None,,,,
default,Ioc A,cpFeed,None,,,,
default,Ioc A,cpGrid,None,,,,
default,Ioc A,cpHeadFold,None,,,,
default,Ioc A,cpMeteostat,None,,,,
default,Ioc A,cpOperator,None,,,,
default,Ioc A,cpOwner,None,,,,
default,Ioc A,cpSite,None,,,,
default,Ioc A,cpSubstat,None,,,,
default,Ioc A,cpSupplySubstation,None,,,,
default,Ioc A,cpSupplyTransformer,None,,,,
default,Ioc A,cpSupplyTrfStation,None,,,,
default,Ioc A,cpZone,None,,,,
default,Ioc A,cptotime,None,,,,
default,Ioc A,dat_src,None,,,,
default,Ioc A,dataExtUnit,None,,,,
default,Ioc A,fold_id,None,,,,
default,Ioc A,for_name,None,,,,
default,Ioc A,gnrl_modby,None,,,,
default,Ioc A,gnrl_modif,None,,,,
default,Ioc A,iSchemeStatus,None,,,,
default,Ioc A,iacceptblock,None,,,,
default,Ioc A,idir,None,,,,
default,Ioc A,loc_name,None,,,,
default,Ioc A,outserv,Setting/,Ia>>,use_setting,None,inf
default,Ioc A,root_id,None,,,,
