FOLDER,ELEMENT,ATTRIBUTE,,,,
KCGG142,default,AttributeType,None,,,
KCGG142,default,actset,None,,,
KCGG142,default,application,None,,,
KCGG142,default,appr_modby,None,,,
KCGG142,default,appr_modif,None,,,
KCGG142,default,appr_status,None,,,
KCGG142,default,cDisplayName,None,,,
KCGG142,default,cUserDefIndex,None,,,
KCGG142,default,c_category,None,,,
KCGG142,default,cbranch,None,,,
KCGG142,default,cbranchid,None,,,
KCGG142,default,cctprim,None,,,
KCGG142,default,cctsec,None,,,
KCGG142,default,ccub,None,,,
KCGG142,default,charact,None,,,
KCGG142,default,chr_name,None,,,
KCGG142,default,ciDist,None,,,
KCGG142,default,ciDistAll,None,,,
KCGG142,default,ciDistAllRoot,None,,,
KCGG142,default,ciDistRoot,None,,,
KCGG142,default,ciEarthed,None,,,
KCGG142,default,ciEnergized,None,,,
KCGG142,default,ciLater,None,,,
KCGG142,default,ciOutaged,None,,,
KCGG142,default,cn_bus,None,,,
KCGG142,default,cn_rembus,None,,,
KCGG142,default,constr,None,,,
KCGG142,default,contents,None,,,
KCGG142,default,cpArea,None,,,
KCGG142,default,cpBranch,None,,,
KCGG142,default,cpCt,None,,,
KCGG142,default,cpFeed,None,,,
KCGG142,default,cpGrid,None,,,
KCGG142,default,cpHeadFold,None,,,
KCGG142,default,cpMeteostat,None,,,
KCGG142,default,cpOperator,None,,,
KCGG142,default,cpOwner,None,,,
KCGG142,default,cpShc,None,,,
KCGG142,default,cpSite,None,,,
KCGG142,default,cpSubstat,None,,,
KCGG142,default,cpSupplySubstation,None,,,
KCGG142,default,cpSupplyTransformer,None,,,
KCGG142,default,cpSupplyTrfStation,None,,,
KCGG142,default,cpVt,None,,,
KCGG142,default,cpZone,None,,,
KCGG142,default,ctprim,None,,,
KCGG142,default,ctsec,None,,,
KCGG142,default,cvtprim,None,,,
KCGG142,default,cvtsec,None,,,
KCGG142,default,dat_src,None,,,
KCGG142,default,dataExtUnit,None,,,
KCGG142,default,desc,None,,,
KCGG142,default,dev_no,None,,,
KCGG142,default,doc_id,None,,,
KCGG142,default,efaultmaxi,None,,,
KCGG142,default,efaultmini,None,,,
KCGG142,default,fold_id,None,,,
KCGG142,default,for_name,None,,,
KCGG142,default,gnrl_modby,None,,,
KCGG142,default,gnrl_modif,None,,,
KCGG142,default,iComDate,None,,,
KCGG142,default,iSchemeStatus,None,,,
KCGG142,default,isSubRelay,None,,,
KCGG142,default,loc_name,None,,,
KCGG142,default,outserv,None,,,
KCGG142,default,pOperator,None,,,
KCGG142,default,pOwner,None,,,
KCGG142,default,pReference,None,,,
KCGG142,default,pdiselm,None,,,
KCGG142,default,pelm,None,,,
KCGG142,default,phfaultmaxi,None,,,
KCGG142,default,phfaultmini,None,,,
KCGG142,default,root_id,None,,,
KCGG142,default,sernum,None,,,
KCGG142,default,sw_settingsGroups,None,,,
KCGG142,default,td_bR,None,,,
KCGG142,default,td_bRC,None,,,
KCGG142,default,td_bX,None,,,
KCGG142,default,td_bXC,None,,,
KCGG142,default,td_bZ,None,,,
KCGG142,default,td_bZC,None,,,
KCGG142,default,td_blim,None,,,
KCGG142,default,td_bobj,None,,,
KCGG142,default,td_bphi,None,,,
KCGG142,default,td_bphiC,None,,,
KCGG142,default,td_bpos,None,,,
KCGG142,default,td_btpbk,None,,,
KCGG142,default,td_btrip,None,,,
KCGG142,default,td_cnt,None,,,
KCGG142,default,td_fR,None,,,
KCGG142,default,td_fRC,None,,,
KCGG142,default,td_fX,None,,,
KCGG142,default,td_fXC,None,,,
KCGG142,default,td_fZ,None,,,
KCGG142,default,td_fZC,None,,,
KCGG142,default,td_flim,None,,,
KCGG142,default,td_fobj,None,,,
KCGG142,default,td_fphi,None,,,
KCGG142,default,td_fphiC,None,,,
KCGG142,default,td_fpos,None,,,
KCGG142,default,td_ftpbk,None,,,
KCGG142,default,td_ftrip,None,,,
KCGG142,default,typ_id,None,,,
KCGG142,default,vtprim,None,,,
KCGG142,default,vtsec,None,,,
KCGG142,default,zratio,None,,,
default,Measure Ph,AttributeType,None,,,
default,Measure Ph,Inom,None,,,
default,Measure Ph,Is,None,,,
default,Measure Ph,Unom,None,,,
default,Measure Ph,cDisplayName,None,,,
default,Measure Ph,cUserDefIndex,None,,,
default,Measure Ph,charact,None,,,
default,Measure Ph,chr_name,None,,,
default,Measure Ph,ciDist,None,,,
default,Measure Ph,ciDistAll,None,,,
default,Measure Ph,ciDistAllRoot,None,,,
default,Measure Ph,ciDistRoot,None,,,
default,Measure Ph,ciEarthed,None,,,
default,Measure Ph,ciEnergized,None,,,
default,Measure Ph,ciLater,None,,,
default,Measure Ph,ciOutaged,None,,,
default,Measure Ph,cpArea,None,,,
default,Measure Ph,cpBranch,None,,,
default,Measure Ph,cpFeed,None,,,
default,Measure Ph,cpGrid,None,,,
default,Measure Ph,cpHeadFold,None,,,
default,Measure Ph,cpMeteostat,None,,,
default,Measure Ph,cpOperator,None,,,
default,Measure Ph,cpOwner,None,,,
default,Measure Ph,cpSite,None,,,
default,Measure Ph,cpSubstat,None,,,
default,Measure Ph,cpSupplySubstation,None,,,
default,Measure Ph,cpSupplyTransformer,None,,,
default,Measure Ph,cpSupplyTrfStation,None,,,
default,Measure Ph,cpZone,None,,,
default,Measure Ph,dat_src,None,,,
default,Measure Ph,dataExtUnit,None,,,
default,Measure Ph,fold_id,None,,,
default,Measure Ph,for_name,None,,,
default,Measure Ph,gnrl_modby,None,,,
default,Measure Ph,gnrl_modif,None,,,
default,Measure Ph,iSchemeStatus,None,,,
default,Measure Ph,iphase,None,,,
default,Measure Ph,loc_name,None,,,
default,Measure Ph,outserv,ON,,,
default,Measure Ph,root_id,None,,,
default,Measure Ph,typ_id,None,,,
default,Measure 3I0,AttributeType,None,,,
default,Measure 3I0,Inom,None,,,
default,Measure 3I0,Is,None,,,
default,Measure 3I0,Unom,None,,,
default,Measure 3I0,cDisplayName,None,,,
default,Measure 3I0,cUserDefIndex,None,,,
default,Measure 3I0,charact,None,,,
default,Measure 3I0,chr_name,None,,,
default,Measure 3I0,ciDist,None,,,
default,Measure 3I0,ciDistAll,None,,,
default,Measure 3I0,ciDistAllRoot,None,,,
default,Measure 3I0,ciDistRoot,None,,,
default,Measure 3I0,ciEarthed,None,,,
default,Measure 3I0,ciEnergized,None,,,
default,Measure 3I0,ciLater,None,,,
default,Measure 3I0,ciOutaged,None,,,
default,Measure 3I0,cpArea,None,,,
default,Measure 3I0,cpBranch,None,,,
default,Measure 3I0,cpFeed,None,,,
default,Measure 3I0,cpGrid,None,,,
default,Measure 3I0,cpHeadFold,None,,,
default,Measure 3I0,cpMeteostat,None,,,
default,Measure 3I0,cpOperator,None,,,
default,Measure 3I0,cpOwner,None,,,
default,Measure 3I0,cpSite,None,,,
default,Measure 3I0,cpSubstat,None,,,
default,Measure 3I0,cpSupplySubstation,None,,,
default,Measure 3I0,cpSupplyTransformer,None,,,
default,Measure 3I0,cpSupplyTrfStation,None,,,
default,Measure 3I0,cpZone,None,,,
default,Measure 3I0,dat_src,None,,,
default,Measure 3I0,dataExtUnit,None,,,
default,Measure 3I0,fold_id,None,,,
default,Measure 3I0,for_name,None,,,
default,Measure 3I0,gnrl_modby,None,,,
default,Measure 3I0,gnrl_modif,None,,,
default,Measure 3I0,iSchemeStatus,None,,,
default,Measure 3I0,iphase,None,,,
default,Measure 3I0,loc_name,None,,,
default,Measure 3I0,outserv,ON,,,
default,Measure 3I0,root_id,None,,,
default,Measure 3I0,typ_id,None,,,
default,I>/t>,AttributeType,None,,,
default,I>/t>,Ipset,Group 1/06 - PHASE FLT1/,605,use_setting,primary
default,I>/t>,Ipsetr,None,,,
default,I>/t>,ModFrame,None,,,
default,I>/t>,ResetT,None,,,
default,I>/t>,Tadder,None,,,
default,I>/t>,Tpset,Group 1/06 - PHASE FLT1/,606,use_setting,None
default,I>/t>,Trelblock,None,,,
default,I>/t>,Tshift,None,,,
default,I>/t>,cDisplayName,None,,,
default,I>/t>,cResetT,None,,,
default,I>/t>,cTadder,None,,,
default,I>/t>,cUserDefIndex,None,,,
default,I>/t>,c_sfansi,None,,,
default,I>/t>,c_sfiec,None,,,
default,I>/t>,c_type,None,,,
default,I>/t>,calcuse,None,,,
default,I>/t>,charact,None,,,
default,I>/t>,chr_name,None,,,
default,I>/t>,ciDist,None,,,
default,I>/t>,ciDistAll,None,,,
default,I>/t>,ciDistAllRoot,None,,,
default,I>/t>,ciDistRoot,None,,,
default,I>/t>,ciEarthed,None,,,
default,I>/t>,ciEnergized,None,,,
default,I>/t>,ciLater,None,,,
default,I>/t>,ciOutaged,None,,,
default,I>/t>,cminresptime,None,,,
default,I>/t>,cpArea,None,,,
default,I>/t>,cpBranch,None,,,
default,I>/t>,cpFeed,None,,,
