FOLDER,ELEMENT,ATTRIBUTE,,,,
MCGG-22_A,default,AttributeType,None,,,
MCGG-22_A,default,actset,None,,,
MCGG-22_A,default,application,None,,,
MCGG-22_A,default,appr_modby,None,,,
MCGG-22_A,default,appr_modif,None,,,
MCGG-22_A,default,appr_status,None,,,
MCGG-22_A,default,cDisplayName,None,,,
MCGG-22_A,default,cUserDefIndex,None,,,
MCGG-22_A,default,c_category,None,,,
MCGG-22_A,default,cbranch,None,,,
MCGG-22_A,default,cbranchid,None,,,
MCGG-22_A,default,cctprim,None,,,
MCGG-22_A,default,cctsec,None,,,
MCGG-22_A,default,ccub,None,,,
MCGG-22_A,default,charact,None,,,
MCGG-22_A,default,chr_name,None,,,
MCGG-22_A,default,ciDist,None,,,
MCGG-22_A,default,ciDistAll,None,,,
MCGG-22_A,default,ciDistAllRoot,None,,,
MCGG-22_A,default,ciDistRoot,None,,,
MCGG-22_A,default,ciEarthed,None,,,
MCGG-22_A,default,ciEnergized,None,,,
MCGG-22_A,default,ciLater,None,,,
MCGG-22_A,default,ciOutaged,None,,,
MCGG-22_A,default,cn_bus,None,,,
MCGG-22_A,default,cn_rembus,None,,,
MCGG-22_A,default,constr,None,,,
MCGG-22_A,default,contents,None,,,
MCGG-22_A,default,cpArea,None,,,
MCGG-22_A,default,cpBranch,None,,,
MCGG-22_A,default,cpCt,None,,,
MCGG-22_A,default,cpFeed,None,,,
MCGG-22_A,default,cpGrid,None,,,
MCGG-22_A,default,cpHeadFold,None,,,
MCGG-22_A,default,cpMeteostat,None,,,
MCGG-22_A,default,cpOperator,None,,,
MCGG-22_A,default,cpOwner,None,,,
MCGG-22_A,default,cpShc,None,,,
MCGG-22_A,default,cpSite,None,,,
MCGG-22_A,default,cpSubstat,None,,,
MCGG-22_A,default,cpSupplySubstation,None,,,
MCGG-22_A,default,cpSupplyTransformer,None,,,
MCGG-22_A,default,cpSupplyTrfStation,None,,,
MCGG-22_A,default,cpVt,None,,,
MCGG-22_A,default,cpZone,None,,,
MCGG-22_A,default,ctprim,None,,,
MCGG-22_A,default,ctsec,None,,,
MCGG-22_A,default,cvtprim,None,,,
MCGG-22_A,default,cvtsec,None,,,
MCGG-22_A,default,dat_src,None,,,
MCGG-22_A,default,dataExtUnit,None,,,
MCGG-22_A,default,desc,None,,,
MCGG-22_A,default,dev_no,None,,,
MCGG-22_A,default,doc_id,None,,,
MCGG-22_A,default,efaultmaxi,None,,,
MCGG-22_A,default,efaultmini,None,,,
MCGG-22_A,default,fold_id,None,,,
MCGG-22_A,default,for_name,None,,,
MCGG-22_A,default,gnrl_modby,None,,,
MCGG-22_A,default,gnrl_modif,None,,,
MCGG-22_A,default,iComDate,None,,,
MCGG-22_A,default,iSchemeStatus,None,,,
MCGG-22_A,default,isSubRelay,None,,,
MCGG-22_A,default,loc_name,None,,,
MCGG-22_A,default,outserv,None,,,
MCGG-22_A,default,pOperator,None,,,
MCGG-22_A,default,pOwner,None,,,
MCGG-22_A,default,pReference,None,,,
MCGG-22_A,default,pdiselm,None,,,
MCGG-22_A,default,pelm,None,,,
MCGG-22_A,default,phfaultmaxi,None,,,
MCGG-22_A,default,phfaultmini,None,,,
MCGG-22_A,default,root_id,None,,,
MCGG-22_A,default,sernum,None,,,
MCGG-22_A,default,sw_settingsGroups,None,,,
MCGG-22_A,default,td_bR,None,,,
MCGG-22_A,default,td_bRC,None,,,
MCGG-22_A,default,td_bX,None,,,
MCGG-22_A,default,td_bXC,None,,,
MCGG-22_A,default,td_bZ,None,,,
MCGG-22_A,default,td_bZC,None,,,
MCGG-22_A,default,td_blim,None,,,
MCGG-22_A,default,td_bobj,None,,,
MCGG-22_A,default,td_bphi,None,,,
MCGG-22_A,default,td_bphiC,None,,,
MCGG-22_A,default,td_bpos,None,,,
MCGG-22_A,default,td_btpbk,None,,,
MCGG-22_A,default,td_btrip,None,,,
MCGG-22_A,default,td_cnt,None,,,
MCGG-22_A,default,td_fR,None,,,
MCGG-22_A,default,td_fRC,None,,,
MCGG-22_A,default,td_fX,None,,,
MCGG-22_A,default,td_fXC,None,,,
MCGG-22_A,default,td_fZ,None,,,
MCGG-22_A,default,td_fZC,None,,,
MCGG-22_A,default,td_flim,None,,,
MCGG-22_A,default,td_fobj,None,,,
MCGG-22_A,default,td_fphi,None,,,
MCGG-22_A,default,td_fphiC,None,,,
MCGG-22_A,default,td_fpos,None,,,
MCGG-22_A,default,td_ftpbk,None,,,
MCGG-22_A,default,td_ftrip,None,,,
MCGG-22_A,default,typ_id,None,,,
MCGG-22_A,default,vtprim,None,,,
MCGG-22_A,default,vtsec,None,,,
MCGG-22_A,default,zratio,None,,,
default,Ioc 1Ph,AttributeType,None,,,
default,Ioc 1Ph,Ipset,Parameters/,Iinst,use_setting,None
default,Ioc 1Ph,Ipsetr,None,,,
default,Ioc 1Ph,Trelblock,None,,,
default,Ioc 1Ph,Tset,None,,,
default,Ioc 1Ph,cDisplayName,None,,,
default,Ioc 1Ph,cTset,None,,,
default,Ioc 1Ph,cUserDefIndex,None,,,
default,Ioc 1Ph,c_sfansi,None,,,
default,Ioc 1Ph,c_sfiec,None,,,
default,Ioc 1Ph,c_type,None,,,
default,Ioc 1Ph,calcuse,None,,,
default,Ioc 1Ph,charact,None,,,
default,Ioc 1Ph,chr_name,None,,,
default,Ioc 1Ph,ciDist,None,,,
default,Ioc 1Ph,ciDistAll,None,,,
default,Ioc 1Ph,ciDistAllRoot,None,,,
default,Ioc 1Ph,ciDistRoot,None,,,
default,Ioc 1Ph,ciEarthed,None,,,
default,Ioc 1Ph,ciEnergized,None,,,
default,Ioc 1Ph,ciLater,None,,,
default,Ioc 1Ph,ciOutaged,None,,,
default,Ioc 1Ph,cpArea,None,,,
default,Ioc 1Ph,cpBranch,None,,,
default,Ioc 1Ph,cpFeed,None,,,
default,Ioc 1Ph,cpGrid,None,,,
default,Ioc 1Ph,cpHeadFold,None,,,
default,Ioc 1Ph,cpMeteostat,None,,,
default,Ioc 1Ph,cpOperator,None,,,
default,Ioc 1Ph,cpOwner,None,,,
default,Ioc 1Ph,cpSite,None,,,
default,Ioc 1Ph,cpSubstat,None,,,
default,Ioc 1Ph,cpSupplySubstation,None,,,
default,Ioc 1Ph,cpSupplyTransformer,None,,,
default,Ioc 1Ph,cpSupplyTrfStation,None,,,
default,Ioc 1Ph,cpZone,None,,,
default,Ioc 1Ph,cptotime,None,,,
default,Ioc 1Ph,dat_src,None,,,
default,Ioc 1Ph,dataExtUnit,None,,,
default,Ioc 1Ph,fold_id,None,,,
default,Ioc 1Ph,for_name,None,,,
default,Ioc 1Ph,gnrl_modby,None,,,
default,Ioc 1Ph,gnrl_modif,None,,,
default,Ioc 1Ph,iSchemeStatus,None,,,
default,Ioc 1Ph,iacceptblock,None,,,
default,Ioc 1Ph,idir,None,,,
default,Ioc 1Ph,loc_name,None,,,
default,Ioc 1Ph,outserv,Parameters/,Iinst,use_setting,Infinity
default,Ioc 1Ph,root_id,None,,,
default,Ioc 1Ph,typ_id,None,,,
default,Logic Inst,AttributeType,None,,,
default,Logic Inst,cDisplayName,None,,,
default,Logic Inst,cUserDefIndex,None,,,
default,Logic Inst,charact,None,,,
default,Logic Inst,chr_name,None,,,
default,Logic Inst,ciDist,None,,,
default,Logic Inst,ciDistAll,None,,,
default,Logic Inst,ciDistAllRoot,None,,,
default,Logic Inst,ciDistRoot,None,,,
default,Logic Inst,ciEarthed,None,,,
default,Logic Inst,ciEnergized,None,,,
default,Logic Inst,ciLater,None,,,
default,Logic Inst,ciOutaged,None,,,
default,Logic Inst,cpArea,None,,,
default,Logic Inst,cpBranch,None,,,
default,Logic Inst,cpFeed,None,,,
default,Logic Inst,cpGrid,None,,,
default,Logic Inst,cpHeadFold,None,,,
default,Logic Inst,cpMeteostat,None,,,
default,Logic Inst,cpOperator,None,,,
default,Logic Inst,cpOwner,None,,,
default,Logic Inst,cpSite,None,,,
default,Logic Inst,cpSubstat,None,,,
default,Logic Inst,cpSupplySubstation,None,,,
default,Logic Inst,cpSupplyTransformer,None,,,
default,Logic Inst,cpSupplyTrfStation,None,,,
default,Logic Inst,cpZone,None,,,
default,Logic Inst,dat_src,None,,,
default,Logic Inst,dataExtUnit,None,,,
default,Logic Inst,fold_id,None,,,
default,Logic Inst,for_name,None,,,
default,Logic Inst,gnrl_modby,None,,,
default,Logic Inst,gnrl_modif,None,,,
default,Logic Inst,iSchemeStatus,None,,,
default,Logic Inst,iout,None,,,
default,Logic Inst,loc_name,None,,,
default,Logic Inst,outserv,ON,,,
default,Logic Inst,pSwitch,None,,,
default,Logic Inst,root_id,None,,,
default,Logic Inst,typ_id,None,,,
default,Logic Tdel,AttributeType,None,,,
default,Logic Tdel,cDisplayName,None,,,
default,Logic Tdel,cUserDefIndex,None,,,
default,Logic Tdel,charact,None,,,
default,Logic Tdel,chr_name,None,,,
default,Logic Tdel,ciDist,None,,,
default,Logic Tdel,ciDistAll,None,,,
default,Logic Tdel,ciDistAllRoot,None,,,
default,Logic Tdel,ciDistRoot,None,,,
default,Logic Tdel,ciEarthed,None,,,
default,Logic Tdel,ciEnergized,None,,,
default,Logic Tdel,ciLater,None,,,
default,Logic Tdel,ciOutaged,None,,,
default,Logic Tdel,cpArea,None,,,
default,Logic Tdel,cpBranch,None,,,
default,Logic Tdel,cpFeed,None,,,
default,Logic Tdel,cpGrid,None,,,
default,Logic Tdel,cpHeadFold,None,,,
default,Logic Tdel,cpMeteostat,None,,,
default,Logic Tdel,cpOperator,None,,,
default,Logic Tdel,cpOwner,None,,,
default,Logic Tdel,cpSite,None,,,
default,Logic Tdel,cpSubstat,None,,,
default,Logic Tdel,cpSupplySubstation,None,,,
default,Logic Tdel,cpSupplyTransformer,None,,,
default,Logic Tdel,cpSupplyTrfStation,None,,,
default,Logic Tdel,cpZone,None,,,
default,Logic Tdel,dat_src,None,,,
default,Logic Tdel,dataExtUnit,None,,,
default,Logic Tdel,fold_id,None,,,
default,Logic Tdel,for_name,None,,,
default,Logic Tdel,gnrl_modby,None,,,
default,Logic Tdel,gnrl_modif,None,,,
default,Logic Tdel,iSchemeStatus,None,,,
default,Logic Tdel,iout,None,,,
default,Logic Tdel,loc_name,None,,,
default,Logic Tdel,outserv,ON,,,
default,Logic Tdel,pSwitch,None,,,
default,Logic Tdel,root_id,None,,,
default,Logic Tdel,typ_id,None,,,
default,Measure,AttributeType,None,,,
default,Measure,Inom,None,,,
default,Measure,Is,None,,,
default,Measure,Unom,None,,,
default,Measure,cDisplayName,None,,,
default,Measure,cUserDefIndex,None,,,
default,Measure,charact,None,,,
default,Measure,chr_name,None,,,
default,Measure,ciDist,None,,,
default,Measure,ciDistAll,None,,,
default,Measure,ciDistAllRoot,None,,,
default,Measure,ciDistRoot,None,,,
default,Measure,ciEarthed,None,,,
default,Measure,ciEnergized,None,,,
default,Measure,ciLater,None,,,
default,Measure,ciOutaged,None,,,
default,Measure,cpArea,None,,,
default,Measure,cpBranch,None,,,
default,Measure,cpFeed,None,,,
default,Measure,cpGrid,None,,,
default,Measure,cpHeadFold,None,,,
default,Measure,cpMeteostat,None,,,
default,Measure,cpOperator,None,,,
default,Measure,cpOwner,None,,,
default,Measure,cpSite,None,,,
default,Measure,cpSubstat,None,,,
default,Measure,cpSupplySubstation,None,,,
default,Measure,cpSupplyTransformer,None,,,
default,Measure,cpSupplyTrfStation,None,,,
default,Measure,cpZone,None,,,
default,Measure,dat_src,None,,,
default,Measure,dataExtUnit,None,,,
default,Measure,fold_id,None,,,
default,Measure,for_name,None,,,
default,Measure,gnrl_modby,None,,,
default,Measure,gnrl_modif,None,,,
default,Measure,iSchemeStatus,None,,,
default,Measure,iphase,None,,,
default,Measure,loc_name,None,,,
default,Measure,outserv,ON,,,
default,Measure,root_id,None,,,
default,Measure,typ_id,None,,,
default,Toc 1Ph,AttributeType,None,,,
