FOLDER,ELEMENT,ATTRIBUTE,,,,
Ergon_MCGG-52,default,AttributeType,None,,,
Ergon_MCGG-52,default,actset,None,,,
Ergon_MCGG-52,default,application,None,,,
Ergon_MCGG-52,default,appr_modby,None,,,
Ergon_MCGG-52,default,appr_modif,None,,,
Ergon_MCGG-52,default,appr_status,None,,,
Ergon_MCGG-52,default,cDisplayName,None,,,
Ergon_MCGG-52,default,cUserDefIndex,None,,,
Ergon_MCGG-52,default,c_category,None,,,
Ergon_MCGG-52,default,cbranch,None,,,
Ergon_MCGG-52,default,cbranchid,None,,,
Ergon_MCGG-52,default,cctprim,None,,,
Ergon_MCGG-52,default,cctsec,None,,,
Ergon_MCGG-52,default,ccub,None,,,
Ergon_MCGG-52,default,charact,None,,,
Ergon_MCGG-52,default,chr_name,None,,,
Ergon_MCGG-52,default,ciDist,None,,,
Ergon_MCGG-52,default,ciDistAll,None,,,
Ergon_MCGG-52,default,ciDistAllRoot,None,,,
Ergon_MCGG-52,default,ciDistRoot,None,,,
Ergon_MCGG-52,default,ciEarthed,None,,,
Ergon_MCGG-52,default,ciEnergized,None,,,
Ergon_MCGG-52,default,ciLater,None,,,
Ergon_MCGG-52,default,ciOutaged,None,,,
Ergon_MCGG-52,default,cn_bus,None,,,
Ergon_MCGG-52,default,constr,None,,,
Ergon_MCGG-52,default,contents,None,,,
Ergon_MCGG-52,default,cpArea,None,,,
Ergon_MCGG-52,default,cpBranch,None,,,
Ergon_MCGG-52,default,cpCt,None,,,
Ergon_MCGG-52,default,cpFeed,None,,,
Ergon_MCGG-52,default,cpGrid,None,,,
Ergon_MCGG-52,default,cpHeadFold,None,,,
Ergon_MCGG-52,default,cpMeteostat,None,,,
Ergon_MCGG-52,default,cpOperator,None,,,
Ergon_MCGG-52,default,cpOwner,None,,,
Ergon_MCGG-52,default,cpShc,None,,,
Ergon_MCGG-52,default,cpSite,None,,,
Ergon_MCGG-52,default,cpSubstat,None,,,
Ergon_MCGG-52,default,cpSupplySubstation,None,,,
Ergon_MCGG-52,default,cpSupplyTransformer,None,,,
Ergon_MCGG-52,default,cpSupplyTrfStation,None,,,
Ergon_MCGG-52,default,cpVt,None,,,
Ergon_MCGG-52,default,cpZone,None,,,
Ergon_MCGG-52,default,ctprim,None,,,
Ergon_MCGG-52,default,ctsec,None,,,
Ergon_MCGG-52,default,cvtprim,None,,,
Ergon_MCGG-52,default,cvtsec,None,,,
Ergon_MCGG-52,default,dat_src,None,,,
Ergon_MCGG-52,default,dataExtDesc,None,,,
Ergon_MCGG-52,default,dataExtUnit,None,,,
Ergon_MCGG-52,default,desc,None,,,
Ergon_MCGG-52,default,dev_no,None,,,
Ergon_MCGG-52,default,doc_id,None,,,
Ergon_MCGG-52,default,efaultmaxi,None,,,
Ergon_MCGG-52,default,efaultmini,None,,,
Ergon_MCGG-52,default,fold_id,None,,,
Ergon_MCGG-52,default,for_name,None,,,
Ergon_MCGG-52,default,gnrl_modby,None,,,
Ergon_MCGG-52,default,gnrl_modif,None,,,
Ergon_MCGG-52,default,iComDate,None,,,
Ergon_MCGG-52,default,iSchemeStatus,None,,,
Ergon_MCGG-52,default,isSubRelay,None,,,
Ergon_MCGG-52,default,loc_name,None,,,
Ergon_MCGG-52,default,outserv,None,,,
Ergon_MCGG-52,default,pOperator,None,,,
Ergon_MCGG-52,default,pOwner,None,,,
Ergon_MCGG-52,default,pReference,None,,,
