FOLDER,ELEMENT,ATTRIBUTE,,,,
MCGG61,default,AttributeType,None,,,
MCGG61,default,actset,None,,,
MCGG61,default,application,None,,,
MCGG61,default,appr_modby,None,,,
MCGG61,default,appr_modif,None,,,
MCGG61,default,appr_status,None,,,
MCGG61,default,cDisplayName,None,,,
MCGG61,default,cUserDefIndex,None,,,
MCGG61,default,c_category,None,,,
MCGG61,default,cbranch,None,,,
MCGG61,default,cbranchid,None,,,
MCGG61,default,cctprim,None,,,
MCGG61,default,cctsec,None,,,
MCGG61,default,ccub,None,,,
MCGG61,default,charact,None,,,
MCGG61,default,chr_name,None,,,
MCGG61,default,ciDist,None,,,
MCGG61,default,ciDistAll,None,,,
MCGG61,default,ciDistAllRoot,None,,,
MCGG61,default,ciDistRoot,None,,,
MCGG61,default,ciEarthed,None,,,
MCGG61,default,ciEnergized,None,,,
MCGG61,default,ciLater,None,,,
MCGG61,default,ciOutaged,None,,,
MCGG61,default,cn_bus,None,,,
MCGG61,default,constr,None,,,
MCGG61,default,contents,None,,,
MCGG61,default,cpArea,None,,,
MCGG61,default,cpBranch,None,,,
MCGG61,default,cpCt,None,,,
MCGG61,default,cpFeed,None,,,
MCGG61,default,cpGrid,None,,,
MCGG61,default,cpHeadFold,None,,,
MCGG61,default,cpMeteostat,None,,,
MCGG61,default,cpOperator,None,,,
MCGG61,default,cpOwner,None,,,
MCGG61,default,cpShc,None,,,
MCGG61,default,cpSite,None,,,
MCGG61,default,cpSubstat,None,,,
MCGG61,default,cpSupplySubstation,None,,,
MCGG61,default,cpSupplyTransformer,None,,,
MCGG61,default,cpSupplyTrfStation,None,,,
MCGG61,default,cpVt,None,,,
MCGG61,default,cpZone,None,,,
MCGG61,default,ctprim,None,,,
MCGG61,default,ctsec,None,,,
MCGG61,default,cvtprim,None,,,
MCGG61,default,cvtsec,None,,,
MCGG61,default,dat_src,None,,,
MCGG61,default,dataExtDesc,None,,,
MCGG61,default,dataExtUnit,None,,,
MCGG61,default,desc,None,,,
MCGG61,default,dev_no,None,,,
MCGG61,default,doc_id,None,,,
MCGG61,default,efaultmaxi,None,,,
MCGG61,default,efaultmini,None,,,
MCGG61,default,fold_id,None,,,
MCGG61,default,for_name,None,,,
MCGG61,default,gnrl_modby,None,,,
MCGG61,default,gnrl_modif,None,,,
MCGG61,default,iComDate,None,,,
MCGG61,default,iSchemeStatus,None,,,
MCGG61,default,isSubRelay,None,,,
MCGG61,default,loc_name,None,,,
MCGG61,default,outserv,None,,,
MCGG61,default,pOperator,None,,,
MCGG61,default,pOwner,None,,,
MCGG61,default,pReference,None,,,
MCGG61,default,pdiselm,None,,,
MCGG61,default,pelm,None,,,
MCGG61,default,phfaultmaxi,None,,,
MCGG61,default,phfaultmini,None,,,
MCGG61,default,root_id,None,,,
MCGG61,default,sernum,None,,,
MCGG61,default,sw_settingsGroups,None,,,
MCGG61,default,td_bR,None,,,
MCGG61,default,td_bRC,None,,,
MCGG61,default,td_bX,None,,,
MCGG61,default,td_bXC,None,,,
MCGG61,default,td_bZ,None,,,
MCGG61,default,td_bZC,None,,,
MCGG61,default,td_blim,None,,,
MCGG61,default,td_bobj,None,,,
MCGG61,default,td_bphi,None,,,
MCGG61,default,td_bphiC,None,,,
MCGG61,default,td_bpos,None,,,
MCGG61,default,td_btpbk,None,,,
MCGG61,default,td_btrip,None,,,
MCGG61,default,td_cnt,None,,,
MCGG61,default,td_fR,None,,,
MCGG61,default,td_fRC,None,,,
MCGG61,default,td_fX,None,,,
MCGG61,default,td_fXC,None,,,
MCGG61,default,td_fZ,None,,,
MCGG61,default,td_fZC,None,,,
MCGG61,default,td_flim,None,,,
MCGG61,default,td_fobj,None,,,
MCGG61,default,td_fphi,None,,,
MCGG61,default,td_fphiC,None,,,
MCGG61,default,td_fpos,None,,,
MCGG61,default,td_ftpbk,None,,,
MCGG61,default,td_ftrip,None,,,
MCGG61,default,typ_id,None,,,
MCGG61,default,vtprim,None,,,
MCGG61,default,vtsec,None,,,
MCGG61,default,zratio,None,,,
default,Ioc Ph,AttributeType,None,,,
default,Ioc Ph,Ipset,Parameters/,Inst,use_setting,None
default,Ioc Ph,Ipsetr,None,,,
default,Ioc Ph,Trelblock,None,,,
default,Ioc Ph,Tset,None,,,
default,Ioc Ph,cDisplayName,None,,,
