FOLDER,ELEMENT,ATTRIBUTE,,,,,
MCSU,default,AttributeType,None,,,,
MCSU,default,actset,None,,,,
MCSU,default,application,None,,,,
MCSU,default,appr_modby,None,,,,
MCSU,default,appr_modif,None,,,,
MCSU,default,appr_status,None,,,,
MCSU,default,cDisplayName,None,,,,
MCSU,default,cUserDefIndex,None,,,,
MCSU,default,c_category,None,,,,
MCSU,default,cbranch,None,,,,
MCSU,default,cbranchid,None,,,,
MCSU,default,cctprim,None,,,,
MCSU,default,cctsec,None,,,,
MCSU,default,ccub,None,,,,
MCSU,default,charact,None,,,,
MCSU,default,chr_name,None,,,,
MCSU,default,ciDist,None,,,,
MCSU,default,ciDistAll,None,,,,
MCSU,default,ciDistAllRoot,None,,,,
MCSU,default,ciDistRoot,None,,,,
MCSU,default,ciEarthed,None,,,,
MCSU,default,ciEnergized,None,,,,
MCSU,default,ciLater,None,,,,
MCSU,default,ciOutaged,None,,,,
MCSU,default,cn_bus,None,,,,
MCSU,default,cn_rembus,None,,,,
MCSU,default,constr,None,,,,
MCSU,default,contents,None,,,,
MCSU,default,cpArea,None,,,,
MCSU,default,cpBranch,None,,,,
MCSU,default,cpCt,None,,,,
MCSU,default,cpFeed,None,,,,
MCSU,default,cpGrid,None,,,,
MCSU,default,cpHeadFold,None,,,,
MCSU,default,cpMeteostat,None,,,,
MCSU,default,cpOperator,None,,,,
MCSU,default,cpOwner,None,,,,
MCSU,default,cpShc,None,,,,
MCSU,default,cpSite,None,,,,
MCSU,default,cpSubstat,None,,,,
MCSU,default,cpSupplySubstation,None,,,,
MCSU,default,cpSupplyTransformer,None,,,,
MCSU,default,cpSupplyTrfStation,None,,,,
MCSU,default,cpVt,None,,,,
MCSU,default,cpZone,None,,,,
MCSU,default,ctprim,None,,,,
MCSU,default,ctsec,None,,,,
MCSU,default,cvtprim,None,,,,
MCSU,default,cvtsec,None,,,,
MCSU,default,dat_src,None,,,,
MCSU,default,dataExtUnit,None,,,,
MCSU,default,desc,None,,,,
MCSU,default,dev_no,None,,,,
MCSU,default,doc_id,None,,,,
MCSU,default,efaultmaxi,None,,,,
MCSU,default,efaultmini,None,,,,
MCSU,default,fold_id,None,,,,
MCSU,default,for_name,None,,,,
MCSU,default,gnrl_modby,None,,,,
MCSU,default,gnrl_modif,None,,,,
MCSU,default,iComDate,None,,,,
MCSU,default,iSchemeStatus,None,,,,
MCSU,default,isSubRelay,None,,,,
MCSU,default,loc_name,None,,,,
MCSU,default,outserv,None,,,,
MCSU,default,pOperator,None,,,,
MCSU,default,pOwner,None,,,,
MCSU,default,pReference,None,,,,
MCSU,default,pdiselm,None,,,,
MCSU,default,pelm,None,,,,
MCSU,default,phfaultmaxi,None,,,,
MCSU,default,phfaultmini,None,,,,
MCSU,default,root_id,None,,,,
MCSU,default,sernum,None,,,,
MCSU,default,sw_settingsGroups,None,,,,
MCSU,default,td_bR,None,,,,
MCSU,default,td_bRC,None,,,,
MCSU,default,td_bX,None,,,,
MCSU,default,td_bXC,None,,,,
MCSU,default,td_bZ,None,,,,
MCSU,default,td_bZC,None,,,,
MCSU,default,td_blim,None,,,,
MCSU,default,td_bobj,None,,,,
MCSU,default,td_bphi,None,,,,
MCSU,default,td_bphiC,None,,,,
MCSU,default,td_bpos,None,,,,
MCSU,default,td_btpbk,None,,,,
MCSU,default,td_btrip,None,,,,
MCSU,default,td_cnt,None,,,,
MCSU,default,td_fR,None,,,,
MCSU,default,td_fRC,None,,,,
MCSU,default,td_fX,None,,,,
MCSU,default,td_fXC,None,,,,
MCSU,default,td_fZ,None,,,,
MCSU,default,td_fZC,None,,,,
MCSU,default,td_flim,None,,,,
MCSU,default,td_fobj,None,,,,
MCSU,default,td_fphi,None,,,,
MCSU,default,td_fphiC,None,,,,
MCSU,default,td_fpos,None,,,,
MCSU,default,td_ftpbk,None,,,,
MCSU,default,td_ftrip,None,,,,
MCSU,default,typ_id,None,,,,
MCSU,default,vtprim,None,,,,
MCSU,default,vtsec,None,,,,
MCSU,default,zratio,None,,,,
default,Meas 1Ph,AttributeType,None,,,,
default,Meas 1Ph,Inom,None,,,,
default,Meas 1Ph,Is,Parameters/,Is_Plug,use_setting,/,100
default,Meas 1Ph,Unom,None,,,,
default,Meas 1Ph,cDisplayName,None,,,,
default,Meas 1Ph,cUserDefIndex,None,,,,
default,Meas 1Ph,charact,None,,,,
default,Meas 1Ph,chr_name,None,,,,
default,Meas 1Ph,ciDist,None,,,,
default,Meas 1Ph,ciDistAll,None,,,,
default,Meas 1Ph,ciDistAllRoot,None,,,,
default,Meas 1Ph,ciDistRoot,None,,,,
default,Meas 1Ph,ciEarthed,None,,,,
default,Meas 1Ph,ciEnergized,None,,,,
default,Meas 1Ph,ciLater,None,,,,
default,Meas 1Ph,ciOutaged,None,,,,
default,Meas 1Ph,cpArea,None,,,,
default,Meas 1Ph,cpBranch,None,,,,
default,Meas 1Ph,cpFeed,None,,,,
default,Meas 1Ph,cpGrid,None,,,,
default,Meas 1Ph,cpHeadFold,None,,,,
default,Meas 1Ph,cpMeteostat,None,,,,
default,Meas 1Ph,cpOperator,None,,,,
default,Meas 1Ph,cpOwner,None,,,,
default,Meas 1Ph,cpSite,None,,,,
default,Meas 1Ph,cpSubstat,None,,,,
default,Meas 1Ph,cpSupplySubstation,None,,,,
default,Meas 1Ph,cpSupplyTransformer,None,,,,
default,Meas 1Ph,cpSupplyTrfStation,None,,,,
default,Meas 1Ph,cpZone,None,,,,
default,Meas 1Ph,dat_src,None,,,,
default,Meas 1Ph,dataExtUnit,None,,,,
default,Meas 1Ph,fold_id,None,,,,
default,Meas 1Ph,for_name,None,,,,
default,Meas 1Ph,gnrl_modby,None,,,,
default,Meas 1Ph,gnrl_modif,None,,,,
default,Meas 1Ph,iSchemeStatus,None,,,,
default,Meas 1Ph,iphase,None,,,,
default,Meas 1Ph,loc_name,None,,,,
default,Meas 1Ph,outserv,ON,,,,
default,Meas 1Ph,root_id,None,,,,
default,Meas 1Ph,typ_id,None,,,,
default,Io>,AttributeType,None,,,,
default,Io>,Ipset,Parameters/,Is_Mult,use_setting,None,
default,Io>,Ipsetr,None,,,,
default,Io>,Trelblock,None,,,,
default,Io>,Tset,Parameters/,tsec,use_setting,None,
default,Io>,cDisplayName,None,,,,
default,Io>,cTset,None,,,,
default,Io>,cUserDefIndex,None,,,,
default,Io>,c_sfansi,None,,,,
default,Io>,c_sfiec,None,,,,
default,Io>,c_type,None,,,,
default,Io>,calcuse,None,,,,
default,Io>,charact,None,,,,
default,Io>,chr_name,None,,,,
default,Io>,ciDist,None,,,,
default,Io>,ciDistAll,None,,,,
default,Io>,ciDistAllRoot,None,,,,
default,Io>,ciDistRoot,None,,,,
default,Io>,ciEarthed,None,,,,
default,Io>,ciEnergized,None,,,,
default,Io>,ciLater,None,,,,
default,Io>,ciOutaged,None,,,,
default,Io>,cpArea,None,,,,
default,Io>,cpBranch,None,,,,
default,Io>,cpFeed,None,,,,
default,Io>,cpGrid,None,,,,
default,Io>,cpHeadFold,None,,,,
default,Io>,cpMeteostat,None,,,,
default,Io>,cpOperator,None,,,,
default,Io>,cpOwner,None,,,,
default,Io>,cpSite,None,,,,
default,Io>,cpSubstat,None,,,,
default,Io>,cpSupplySubstation,None,,,,
default,Io>,cpSupplyTransformer,None,,,,
default,Io>,cpSupplyTrfStation,None,,,,
default,Io>,cpZone,None,,,,
default,Io>,cptotime,None,,,,
default,Io>,dat_src,None,,,,
default,Io>,dataExtUnit,None,,,,
default,Io>,fold_id,None,,,,
default,Io>,for_name,None,,,,
default,Io>,gnrl_modby,None,,,,
default,Io>,gnrl_modif,None,,,,
default,Io>,iSchemeStatus,None,,,,
default,Io>,iacceptblock,None,,,,
default,Io>,idir,None,,,,
default,Io>,loc_name,None,,,,
default,Io>,outserv,ON,,,,
default,Io>,root_id,None,,,,
default,Io>,typ_id,None,,,,
default,Logic,AttributeType,None,,,,
default,Logic,cDisplayName,None,,,,
default,Logic,cUserDefIndex,None,,,,
default,Logic,charact,None,,,,
default,Logic,chr_name,None,,,,
default,Logic,ciDist,None,,,,
default,Logic,ciDistAll,None,,,,
default,Logic,ciDistAllRoot,None,,,,
default,Logic,ciDistRoot,None,,,,
default,Logic,ciEarthed,None,,,,
default,Logic,ciEnergized,None,,,,
default,Logic,ciLater,None,,,,
default,Logic,ciOutaged,None,,,,
default,Logic,cpArea,None,,,,
default,Logic,cpBranch,None,,,,
default,Logic,cpFeed,None,,,,
default,Logic,cpGrid,None,,,,
default,Logic,cpHeadFold,None,,,,
default,Logic,cpMeteostat,None,,,,
default,Logic,cpOperator,None,,,,
default,Logic,cpOwner,None,,,,
default,Logic,cpSite,None,,,,
default,Logic,cpSubstat,None,,,,
default,Logic,cpSupplySubstation,None,,,,
default,Logic,cpSupplyTransformer,None,,,,
default,Logic,cpSupplyTrfStation,None,,,,
default,Logic,cpZone,None,,,,
default,Logic,dat_src,None,,,,
default,Logic,dataExtUnit,None,,,,
default,Logic,fold_id,None,,,,
default,Logic,for_name,None,,,,
default,Logic,gnrl_modby,None,,,,
