FOLDER,ELEMENT,ATTRIBUTE,,,,
C21A1,default,AttributeType,None,,,
C21A1,default,actset,None,,,
C21A1,default,application,None,,,
C21A1,default,appr_modby,None,,,
C21A1,default,appr_modif,None,,,
C21A1,default,appr_status,None,,,
C21A1,default,cDisplayName,None,,,
C21A1,default,cUserDefIndex,None,,,
C21A1,default,c_category,None,,,
C21A1,default,cbranch,None,,,
C21A1,default,cbranchid,None,,,
C21A1,default,cctprim,None,,,
C21A1,default,cctsec,None,,,
C21A1,default,ccub,None,,,
C21A1,default,charact,None,,,
C21A1,default,chr_name,None,,,
C21A1,default,ciDist,None,,,
C21A1,default,ciDistAll,None,,,
C21A1,default,ciDistAllRoot,None,,,
C21A1,default,ciDistRoot,None,,,
C21A1,default,ciEarthed,None,,,
C21A1,default,ciEnergized,None,,,
C21A1,default,ciLater,None,,,
C21A1,default,ciOutaged,None,,,
C21A1,default,cn_bus,None,,,
C21A1,default,cn_rembus,None,,,
C21A1,default,constr,None,,,
C21A1,default,contents,None,,,
C21A1,default,cpArea,None,,,
C21A1,default,cpBranch,None,,,
C21A1,default,cpCt,None,,,
C21A1,default,cpFeed,None,,,
C21A1,default,cpGrid,None,,,
C21A1,default,cpHeadFold,None,,,
C21A1,default,cpMeteostat,None,,,
C21A1,default,cpOperator,None,,,
C21A1,default,cpOwner,None,,,
C21A1,default,cpShc,None,,,
C21A1,default,cpSite,None,,,
C21A1,default,cpSubstat,None,,,
C21A1,default,cpSupplySubstation,None,,,
C21A1,default,cpSupplyTransformer,None,,,
C21A1,default,cpSupplyTrfStation,None,,,
C21A1,default,cpVt,None,,,
C21A1,default,cpZone,None,,,
C21A1,default,ctprim,None,,,
C21A1,default,ctsec,None,,,
C21A1,default,cvtprim,None,,,
C21A1,default,cvtsec,None,,,
C21A1,default,dat_src,None,,,
C21A1,default,dataExtUnit,None,,,
C21A1,default,desc,None,,,
C21A1,default,dev_no,None,,,
C21A1,default,doc_id,None,,,
C21A1,default,efaultmaxi,None,,,
C21A1,default,efaultmini,None,,,
C21A1,default,fold_id,None,,,
C21A1,default,for_name,None,,,
C21A1,default,gnrl_modby,None,,,
C21A1,default,gnrl_modif,None,,,
C21A1,default,iComDate,None,,,
C21A1,default,iSchemeStatus,None,,,
C21A1,default,isSubRelay,None,,,
C21A1,default,loc_name,None,,,
C21A1,default,outserv,None,,,
C21A1,default,pOperator,None,,,
C21A1,default,pOwner,None,,,
C21A1,default,pReference,None,,,
C21A1,default,pdiselm,None,,,
C21A1,default,pelm,None,,,
C21A1,default,phfaultmaxi,None,,,
C21A1,default,phfaultmini,None,,,
C21A1,default,root_id,None,,,
C21A1,default,sernum,None,,,
C21A1,default,sw_settingsGroups,None,,,
C21A1,default,td_bR,None,,,
C21A1,default,td_bRC,None,,,
C21A1,default,td_bX,None,,,
C21A1,default,td_bXC,None,,,
C21A1,default,td_bZ,None,,,
C21A1,default,td_bZC,None,,,
C21A1,default,td_blim,None,,,
C21A1,default,td_bobj,None,,,
C21A1,default,td_bphi,None,,,
C21A1,default,td_bphiC,None,,,
C21A1,default,td_bpos,None,,,
C21A1,default,td_btpbk,None,,,
C21A1,default,td_btrip,None,,,
C21A1,default,td_cnt,None,,,
C21A1,default,td_fR,None,,,
C21A1,default,td_fRC,None,,,
C21A1,default,td_fX,None,,,
C21A1,default,td_fXC,None,,,
C21A1,default,td_fZ,None,,,
C21A1,default,td_fZC,None,,,
C21A1,default,td_flim,None,,,
C21A1,default,td_fobj,None,,,
C21A1,default,td_fphi,None,,,
C21A1,default,td_fphiC,None,,,
C21A1,default,td_fpos,None,,,
C21A1,default,td_ftpbk,None,,,
C21A1,default,td_ftrip,None,,,
C21A1,default,typ_id,None,,,
C21A1,default,vtprim,None,,,
