FOLDER,ELEMENT,ATTRIBUTE,,,,,,,,
P12x,default,AttributeType,None,,,,,,,
P12x,default,actset,None,,,,,,,
P12x,default,application,None,,,,,,,
P12x,default,appr_modby,None,,,,,,,
P12x,default,appr_modif,None,,,,,,,
P12x,default,appr_status,None,,,,,,,
P12x,default,cDisplayName,None,,,,,,,
P12x,default,cUserDefIndex,None,,,,,,,
P12x,default,c_category,None,,,,,,,
P12x,default,cbranch,None,,,,,,,
P12x,default,cbranchid,None,,,,,,,
P12x,default,cctprim,None,,,,,,,
P12x,default,cctsec,None,,,,,,,
P12x,default,ccub,None,,,,,,,
P12x,default,charact,None,,,,,,,
P12x,default,chr_name,None,,,,,,,
P12x,default,ciDist,None,,,,,,,
P12x,default,ciDistAll,None,,,,,,,
P12x,default,ciDistAllRoot,None,,,,,,,
P12x,default,ciDistRoot,None,,,,,,,
P12x,default,ciEarthed,None,,,,,,,
P12x,default,ciEnergized,None,,,,,,,
P12x,default,ciLater,None,,,,,,,
P12x,default,ciOutaged,None,,,,,,,
P12x,default,cn_bus,None,,,,,,,
P12x,default,cn_rembus,None,,,,,,,
P12x,default,constr,None,,,,,,,
P12x,default,contents,None,,,,,,,
P12x,default,cpArea,None,,,,,,,
P12x,default,cpBranch,None,,,,,,,
P12x,default,cpCt,None,,,,,,,
P12x,default,cpFeed,None,,,,,,,
P12x,default,cpGrid,None,,,,,,,
P12x,default,cpHeadFold,None,,,,,,,
P12x,default,cpMeteostat,None,,,,,,,
P12x,default,cpOperator,None,,,,,,,
P12x,default,cpOwner,None,,,,,,,
P12x,default,cpShc,None,,,,,,,
P12x,default,cpSite,None,,,,,,,
P12x,default,cpSubstat,None,,,,,,,
P12x,default,cpSupplySubstation,None,,,,,,,
P12x,default,cpSupplyTransformer,None,,,,,,,
P12x,default,cpSupplyTrfStation,None,,,,,,,
P12x,default,cpVt,None,,,,,,,
P12x,default,cpZone,None,,,,,,,
P12x,default,ctprim,None,,,,,,,
P12x,default,ctsec,None,,,,,,,
P12x,default,cvtprim,None,,,,,,,
P12x,default,cvtsec,None,,,,,,,
P12x,default,dat_src,None,,,,,,,
P12x,default,dataExtUnit,None,,,,,,,
P12x,default,desc,None,,,,,,,
P12x,default,dev_no,None,,,,,,,
P12x,default,doc_id,None,,,,,,,
P12x,default,efaultmaxi,None,,,,,,,
P12x,default,efaultmini,None,,,,,,,
P12x,default,fold_id,None,,,,,,,
P12x,default,for_name,None,,,,,,,
P12x,default,gnrl_modby,None,,,,,,,
P12x,default,gnrl_modif,None,,,,,,,
P12x,default,iComDate,None,,,,,,,
P12x,default,iSchemeStatus,None,,,,,,,
P12x,default,isSubRelay,None,,,,,,,
P12x,default,loc_name,None,,,,,,,
P12x,default,outserv,None,,,,,,,
P12x,default,pOperator,None,,,,,,,
P12x,default,pOwner,None,,,,,,,
P12x,default,pReference,None,,,,,,,
P12x,default,pdiselm,None,,,,,,,
P12x,default,pelm,None,,,,,,,
P12x,default,phfaultmaxi,None,,,,,,,
P12x,default,phfaultmini,None,,,,,,,
P12x,default,root_id,None,,,,,,,
P12x,default,sernum,None,,,,,,,
P12x,default,sw_settingsGroups,None,,,,,,,
P12x,default,td_bR,None,,,,,,,
P12x,default,td_bRC,None,,,,,,,
P12x,default,td_bX,None,,,,,,,
P12x,default,td_bXC,None,,,,,,,
P12x,default,td_bZ,None,,,,,,,
P12x,default,td_bZC,None,,,,,,,
P12x,default,td_blim,None,,,,,,,
P12x,default,td_bobj,None,,,,,,,
P12x,default,td_bphi,None,,,,,,,
P12x,default,td_bphiC,None,,,,,,,
P12x,default,td_bpos,None,,,,,,,
P12x,default,td_btpbk,None,,,,,,,
P12x,default,td_btrip,None,,,,,,,
P12x,default,td_cnt,None,,,,,,,
P12x,default,td_fR,None,,,,,,,
P12x,default,td_fRC,None,,,,,,,
P12x,default,td_fX,None,,,,,,,
P12x,default,td_fXC,None,,,,,,,
P12x,default,td_fZ,None,,,,,,,
P12x,default,td_fZC,None,,,,,,,
P12x,default,td_flim,None,,,,,,,
P12x,default,td_fobj,None,,,,,,,
P12x,default,td_fphi,None,,,,,,,
P12x,default,td_fphiC,None,,,,,,,
P12x,default,td_fpos,None,,,,,,,
P12x,default,td_ftpbk,None,,,,,,,
P12x,default,td_ftrip,None,,,,,,,
P12x,default,typ_id,None,,,,,,,
P12x,default,vtprim,None,,,,,,,
P12x,default,vtsec,None,,,,,,,
P12x,default,zratio,None,,,,,,,
default,Measure Ph,AttributeType,None,,,,,,,
default,Measure Ph,Inom,CONFIGURATION/CT RATIO/,120,use_setting,None,,,,
default,Measure Ph,Is,None,,,,,,,
default,Measure Ph,Unom,None,,,,,,,
default,Measure Ph,cDisplayName,None,,,,,,,
default,Measure Ph,cUserDefIndex,None,,,,,,,
default,Measure Ph,charact,None,,,,,,,
default,Measure Ph,chr_name,None,,,,,,,
default,Measure Ph,ciDist,None,,,,,,,
default,Measure Ph,ciDistAll,None,,,,,,,
default,Measure Ph,ciDistAllRoot,None,,,,,,,
default,Measure Ph,ciDistRoot,None,,,,,,,
default,Measure Ph,ciEarthed,None,,,,,,,
default,Measure Ph,ciEnergized,None,,,,,,,
default,Measure Ph,ciLater,None,,,,,,,
default,Measure Ph,ciOutaged,None,,,,,,,
default,Measure Ph,cpArea,None,,,,,,,
default,Measure Ph,cpBranch,None,,,,,,,
default,Measure Ph,cpFeed,None,,,,,,,
default,Measure Ph,cpGrid,None,,,,,,,
default,Measure Ph,cpHeadFold,None,,,,,,,
default,Measure Ph,cpMeteostat,None,,,,,,,
default,Measure Ph,cpOperator,None,,,,,,,
default,Measure Ph,cpOwner,None,,,,,,,
default,Measure Ph,cpSite,None,,,,,,,
default,Measure Ph,cpSubstat,None,,,,,,,
