FOLDER,ELEMENT,ATTRIBUTE,,,,,,,,
P127 57-130V,default,AttributeType,None,,,,,,,
P127 57-130V,default,actset,None,,,,,,,
P127 57-130V,default,application,None,,,,,,,
P127 57-130V,default,appr_modby,None,,,,,,,
P127 57-130V,default,appr_modif,None,,,,,,,
P127 57-130V,default,appr_status,None,,,,,,,
P127 57-130V,default,cDisplayName,None,,,,,,,
P127 57-130V,default,cUserDefIndex,None,,,,,,,
P127 57-130V,default,c_category,None,,,,,,,
P127 57-130V,default,cbranch,None,,,,,,,
P127 57-130V,default,cbranchid,None,,,,,,,
P127 57-130V,default,cctprim,None,,,,,,,
P127 57-130V,default,cctsec,None,,,,,,,
P127 57-130V,default,ccub,None,,,,,,,
P127 57-130V,default,charact,None,,,,,,,
P127 57-130V,default,chr_name,None,,,,,,,
P127 57-130V,default,ciDist,None,,,,,,,
P127 57-130V,default,ciDistAll,None,,,,,,,
P127 57-130V,default,ciDistAllRoot,None,,,,,,,
P127 57-130V,default,ciDistRoot,None,,,,,,,
P127 57-130V,default,ciEarthed,None,,,,,,,
P127 57-130V,default,ciEnergized,None,,,,,,,
P127 57-130V,default,ciLater,None,,,,,,,
P127 57-130V,default,ciOutaged,None,,,,,,,
P127 57-130V,default,cn_bus,None,,,,,,,
P127 57-130V,default,cn_rembus,None,,,,,,,
P127 57-130V,default,constr,None,,,,,,,
P127 57-130V,default,contents,None,,,,,,,
P127 57-130V,default,cpArea,None,,,,,,,
P127 57-130V,default,cpBranch,None,,,,,,,
P127 57-130V,default,cpCt,None,,,,,,,
P127 57-130V,default,cpFeed,None,,,,,,,
P127 57-130V,default,cpGrid,None,,,,,,,
P127 57-130V,default,cpHeadFold,None,,,,,,,
P127 57-130V,default,cpMeteostat,None,,,,,,,
P127 57-130V,default,cpOperator,None,,,,,,,
P127 57-130V,default,cpOwner,None,,,,,,,
P127 57-130V,default,cpShc,None,,,,,,,
P127 57-130V,default,cpSite,None,,,,,,,
P127 57-130V,default,cpSubstat,None,,,,,,,
P127 57-130V,default,cpSupplySubstation,None,,,,,,,
P127 57-130V,default,cpSupplyTransformer,None,,,,,,,
P127 57-130V,default,cpSupplyTrfStation,None,,,,,,,
P127 57-130V,default,cpVt,None,,,,,,,
P127 57-130V,default,cpZone,None,,,,,,,
P127 57-130V,default,ctprim,None,,,,,,,
P127 57-130V,default,ctsec,None,,,,,,,
P127 57-130V,default,cvtprim,None,,,,,,,
P127 57-130V,default,cvtsec,None,,,,,,,
P127 57-130V,default,dat_src,None,,,,,,,
P127 57-130V,default,dataExtUnit,None,,,,,,,
P127 57-130V,default,desc,None,,,,,,,
P127 57-130V,default,dev_no,None,,,,,,,
P127 57-130V,default,doc_id,None,,,,,,,
P127 57-130V,default,efaultmaxi,None,,,,,,,
P127 57-130V,default,efaultmini,None,,,,,,,
P127 57-130V,default,fold_id,None,,,,,,,
P127 57-130V,default,for_name,None,,,,,,,
P127 57-130V,default,gnrl_modby,None,,,,,,,
P127 57-130V,default,gnrl_modif,None,,,,,,,
P127 57-130V,default,iComDate,None,,,,,,,
P127 57-130V,default,iSchemeStatus,None,,,,,,,
P127 57-130V,default,isSubRelay,None,,,,,,,
P127 57-130V,default,loc_name,None,,,,,,,
P127 57-130V,default,outserv,None,,,,,,,
P127 57-130V,default,pOperator,None,,,,,,,
P127 57-130V,default,pOwner,None,,,,,,,
P127 57-130V,default,pReference,None,,,,,,,
P127 57-130V,default,pdiselm,None,,,,,,,
P127 57-130V,default,pelm,None,,,,,,,
