FOLDER,ELEMENT,ATTRIBUTE,,,,,,,,
P14x 100-120 V,default,AttributeType,None,,,,,,,
P14x 100-120 V,default,actset,None,,,,,,,
P14x 100-120 V,default,application,None,,,,,,,
P14x 100-120 V,default,appr_modby,None,,,,,,,
P14x 100-120 V,default,appr_modif,None,,,,,,,
P14x 100-120 V,default,appr_status,None,,,,,,,
P14x 100-120 V,default,cDisplayName,None,,,,,,,
P14x 100-120 V,default,cUserDefIndex,None,,,,,,,
P14x 100-120 V,default,c_category,None,,,,,,,
P14x 100-120 V,default,cbranch,None,,,,,,,
P14x 100-120 V,default,cbranchid,None,,,,,,,
P14x 100-120 V,default,cctprim,None,,,,,,,
P14x 100-120 V,default,cctsec,None,,,,,,,
P14x 100-120 V,default,ccub,None,,,,,,,
P14x 100-120 V,default,charact,None,,,,,,,
P14x 100-120 V,default,chr_name,None,,,,,,,
P14x 100-120 V,default,ciDist,None,,,,,,,
P14x 100-120 V,default,ciDistAll,None,,,,,,,
P14x 100-120 V,default,ciDistAllRoot,None,,,,,,,
P14x 100-120 V,default,ciDistRoot,None,,,,,,,
P14x 100-120 V,default,ciEarthed,None,,,,,,,
P14x 100-120 V,default,ciEnergized,None,,,,,,,
P14x 100-120 V,default,ciLater,None,,,,,,,
P14x 100-120 V,default,ciOutaged,None,,,,,,,
P14x 100-120 V,default,cn_bus,None,,,,,,,
P14x 100-120 V,default,cn_rembus,None,,,,,,,
P14x 100-120 V,default,constr,None,,,,,,,
P14x 100-120 V,default,contents,None,,,,,,,
P14x 100-120 V,default,cpArea,None,,,,,,,
P14x 100-120 V,default,cpBranch,None,,,,,,,
P14x 100-120 V,default,cpCt,None,,,,,,,
P14x 100-120 V,default,cpFeed,None,,,,,,,
P14x 100-120 V,default,cpGrid,None,,,,,,,
P14x 100-120 V,default,cpHeadFold,None,,,,,,,
P14x 100-120 V,default,cpMeteostat,None,,,,,,,
P14x 100-120 V,default,cpOperator,None,,,,,,,
P14x 100-120 V,default,cpOwner,None,,,,,,,
P14x 100-120 V,default,cpShc,None,,,,,,,
P14x 100-120 V,default,cpSite,None,,,,,,,
P14x 100-120 V,default,cpSubstat,None,,,,,,,
P14x 100-120 V,default,cpSupplySubstation,None,,,,,,,
P14x 100-120 V,default,cpSupplyTransformer,None,,,,,,,
P14x 100-120 V,default,cpSupplyTrfStation,None,,,,,,,
P14x 100-120 V,default,cpVt,None,,,,,,,
P14x 100-120 V,default,cpZone,None,,,,,,,
P14x 100-120 V,default,ctprim,None,,,,,,,
P14x 100-120 V,default,ctsec,None,,,,,,,
P14x 100-120 V,default,cvtprim,None,,,,,,,
P14x 100-120 V,default,cvtsec,None,,,,,,,
P14x 100-120 V,default,dat_src,None,,,,,,,
P14x 100-120 V,default,dataExtUnit,None,,,,,,,
P14x 100-120 V,default,desc,None,,,,,,,
P14x 100-120 V,default,dev_no,None,,,,,,,
P14x 100-120 V,default,doc_id,None,,,,,,,
P14x 100-120 V,default,efaultmaxi,None,,,,,,,
P14x 100-120 V,default,efaultmini,None,,,,,,,
P14x 100-120 V,default,fold_id,None,,,,,,,
P14x 100-120 V,default,for_name,None,,,,,,,
P14x 100-120 V,default,gnrl_modby,None,,,,,,,
P14x 100-120 V,default,gnrl_modif,None,,,,,,,
P14x 100-120 V,default,iComDate,None,,,,,,,
P14x 100-120 V,default,iSchemeStatus,None,,,,,,,
P14x 100-120 V,default,isSubRelay,None,,,,,,,
P14x 100-120 V,default,loc_name,None,,,,,,,
P14x 100-120 V,default,outserv,None,,,,,,,
P14x 100-120 V,default,pOperator,None,,,,,,,
P14x 100-120 V,default,pOwner,None,,,,,,,
P14x 100-120 V,default,pReference,None,,,,,,,
P14x 100-120 V,default,pdiselm,None,,,,,,,
P14x 100-120 V,default,pelm,None,,,,,,,
P14x 100-120 V,default,phfaultmaxi,None,,,,,,,
P14x 100-120 V,default,phfaultmini,None,,,,,,,
P14x 100-120 V,default,root_id,None,,,,,,,
P14x 100-120 V,default,sernum,None,,,,,,,
P14x 100-120 V,default,sw_settingsGroups,None,,,,,,,
P14x 100-120 V,default,td_bR,None,,,,,,,
P14x 100-120 V,default,td_bRC,None,,,,,,,
P14x 100-120 V,default,td_bX,None,,,,,,,
P14x 100-120 V,default,td_bXC,None,,,,,,,
P14x 100-120 V,default,td_bZ,None,,,,,,,
P14x 100-120 V,default,td_bZC,None,,,,,,,
P14x 100-120 V,default,td_blim,None,,,,,,,
P14x 100-120 V,default,td_bobj,None,,,,,,,
P14x 100-120 V,default,td_bphi,None,,,,,,,
P14x 100-120 V,default,td_bphiC,None,,,,,,,
P14x 100-120 V,default,td_bpos,None,,,,,,,
P14x 100-120 V,default,td_btpbk,None,,,,,,,
P14x 100-120 V,default,td_btrip,None,,,,,,,
P14x 100-120 V,default,td_cnt,None,,,,,,,
P14x 100-120 V,default,td_fR,None,,,,,,,
P14x 100-120 V,default,td_fRC,None,,,,,,,
P14x 100-120 V,default,td_fX,None,,,,,,,
P14x 100-120 V,default,td_fXC,None,,,,,,,
P14x 100-120 V,default,td_fZ,None,,,,,,,
P14x 100-120 V,default,td_fZC,None,,,,,,,
P14x 100-120 V,default,td_flim,None,,,,,,,
P14x 100-120 V,default,td_fobj,None,,,,,,,
P14x 100-120 V,default,td_fphi,None,,,,,,,
P14x 100-120 V,default,td_fphiC,None,,,,,,,
P14x 100-120 V,default,td_fpos,None,,,,,,,
P14x 100-120 V,default,td_ftpbk,None,,,,,,,
P14x 100-120 V,default,td_ftrip,None,,,,,,,
P14x 100-120 V,default,typ_id,None,,,,,,,
P14x 100-120 V,default,vtprim,None,,,,,,,
P14x 100-120 V,default,vtsec,None,,,,,,,
P14x 100-120 V,default,zratio,None,,,,,,,
default,Measure Ph,AttributeType,None,,,,,,,
default,Measure Ph,Inom,None,,,,,,,
default,Measure Ph,Is,None,,,,,,,
default,Measure Ph,Unom,None,,,,,,,
default,Measure Ph,cDisplayName,None,,,,,,,
default,Measure Ph,cUserDefIndex,None,,,,,,,
default,Measure Ph,charact,None,,,,,,,
default,Measure Ph,chr_name,None,,,,,,,
default,Measure Ph,ciDist,None,,,,,,,
default,Measure Ph,ciDistAll,None,,,,,,,
default,Measure Ph,ciDistAllRoot,None,,,,,,,
default,Measure Ph,ciDistRoot,None,,,,,,,
default,Measure Ph,ciEarthed,None,,,,,,,
default,Measure Ph,ciEnergized,None,,,,,,,
default,Measure Ph,ciLater,None,,,,,,,
default,Measure Ph,ciOutaged,None,,,,,,,
default,Measure Ph,cpArea,None,,,,,,,
default,Measure Ph,cpBranch,None,,,,,,,
default,Measure Ph,cpFeed,None,,,,,,,
default,Measure Ph,cpGrid,None,,,,,,,
default,Measure Ph,cpHeadFold,None,,,,,,,
default,Measure Ph,cpMeteostat,None,,,,,,,
default,Measure Ph,cpOperator,None,,,,,,,
default,Measure Ph,cpOwner,None,,,,,,,
default,Measure Ph,cpSite,None,,,,,,,
default,Measure Ph,cpSubstat,None,,,,,,,
default,Measure Ph,cpSupplySubstation,None,,,,,,,
default,Measure Ph,cpSupplyTransformer,None,,,,,,,
default,Measure Ph,cpSupplyTrfStation,None,,,,,,,
default,Measure Ph,cpZone,None,,,,,,,
default,Measure Ph,dat_src,None,,,,,,,
default,Measure Ph,dataExtUnit,None,,,,,,,
default,Measure Ph,fold_id,None,,,,,,,
default,Measure Ph,for_name,None,,,,,,,
default,Measure Ph,gnrl_modby,None,,,,,,,
default,Measure Ph,gnrl_modif,None,,,,,,,
default,Measure Ph,iSchemeStatus,None,,,,,,,
default,Measure Ph,iphase,None,,,,,,,
default,Measure Ph,loc_name,None,,,,,,,
default,Measure Ph,outserv,ON,,,,,,,
default,Measure Ph,root_id,None,,,,,,,
default,Measure Ph,typ_id,None,,,,,,,
default,Measure Seq,AttributeType,None,,,,,,,
default,Measure Seq,Inom,None,,,,,,,
default,Measure Seq,Is,None,,,,,,,
default,Measure Seq,Unom,None,,,,,,,
default,Measure Seq,cDisplayName,None,,,,,,,
default,Measure Seq,cUserDefIndex,None,,,,,,,
default,Measure Seq,charact,None,,,,,,,
default,Measure Seq,chr_name,None,,,,,,,
default,Measure Seq,ciDist,None,,,,,,,
default,Measure Seq,ciDistAll,None,,,,,,,
default,Measure Seq,ciDistAllRoot,None,,,,,,,
default,Measure Seq,ciDistRoot,None,,,,,,,
default,Measure Seq,ciEarthed,None,,,,,,,
default,Measure Seq,ciEnergized,None,,,,,,,
default,Measure Seq,ciLater,None,,,,,,,
default,Measure Seq,ciOutaged,None,,,,,,,
default,Measure Seq,cpArea,None,,,,,,,
default,Measure Seq,cpBranch,None,,,,,,,
default,Measure Seq,cpFeed,None,,,,,,,
default,Measure Seq,cpGrid,None,,,,,,,
default,Measure Seq,cpHeadFold,None,,,,,,,
default,Measure Seq,cpMeteostat,None,,,,,,,
default,Measure Seq,cpOperator,None,,,,,,,
default,Measure Seq,cpOwner,None,,,,,,,
default,Measure Seq,cpSite,None,,,,,,,
default,Measure Seq,cpSubstat,None,,,,,,,
default,Measure Seq,cpSupplySubstation,None,,,,,,,
default,Measure Seq,cpSupplyTransformer,None,,,,,,,
default,Measure Seq,cpSupplyTrfStation,None,,,,,,,
default,Measure Seq,cpZone,None,,,,,,,
default,Measure Seq,dat_src,None,,,,,,,
default,Measure Seq,dataExtUnit,None,,,,,,,
default,Measure Seq,fold_id,None,,,,,,,
default,Measure Seq,for_name,None,,,,,,,
default,Measure Seq,gnrl_modby,None,,,,,,,
default,Measure Seq,gnrl_modif,None,,,,,,,
default,Measure Seq,iSchemeStatus,None,,,,,,,
default,Measure Seq,iphase,None,,,,,,,
default,Measure Seq,loc_name,None,,,,,,,
default,Measure Seq,outserv,ON,,,,,,,
default,Measure Seq,root_id,None,,,,,,,
default,Measure Seq,typ_id,None,,,,,,,
default,Meas Freq,AttributeType,None,,,,,,,
default,Meas Freq,Tfe,None,,,,,,,
default,Meas Freq,Unom,None,,,,,,,
default,Meas Freq,cDisplayName,None,,,,,,,
default,Meas Freq,cUserDefIndex,None,,,,,,,
default,Meas Freq,charact,None,,,,,,,
default,Meas Freq,chr_name,None,,,,,,,
default,Meas Freq,ciDist,None,,,,,,,
default,Meas Freq,ciDistAll,None,,,,,,,
default,Meas Freq,ciDistAllRoot,None,,,,,,,
default,Meas Freq,ciDistRoot,None,,,,,,,
default,Meas Freq,ciEarthed,None,,,,,,,
default,Meas Freq,ciEnergized,None,,,,,,,
default,Meas Freq,ciLater,None,,,,,,,
default,Meas Freq,ciOutaged,None,,,,,,,
default,Meas Freq,cpArea,None,,,,,,,
default,Meas Freq,cpBranch,None,,,,,,,
default,Meas Freq,cpFeed,None,,,,,,,
default,Meas Freq,cpGrid,None,,,,,,,
default,Meas Freq,cpHeadFold,None,,,,,,,
default,Meas Freq,cpMeteostat,None,,,,,,,
default,Meas Freq,cpOperator,None,,,,,,,
default,Meas Freq,cpOwner,None,,,,,,,
default,Meas Freq,cpSite,None,,,,,,,
default,Meas Freq,cpSubstat,None,,,,,,,
default,Meas Freq,cpSupplySubstation,None,,,,,,,
default,Meas Freq,cpSupplyTransformer,None,,,,,,,
default,Meas Freq,cpSupplyTrfStation,None,,,,,,,
default,Meas Freq,cpZone,None,,,,,,,
default,Meas Freq,dat_src,None,,,,,,,
