FOLDER,ELEMENT,ATTRIBUTE,,,,,,,,
RED 615,default,AttributeType,None,,,,,,,
RED 615,default,actset,None,,,,,,,
RED 615,default,application,None,,,,,,,
RED 615,default,appr_modby,None,,,,,,,
RED 615,default,appr_modif,None,,,,,,,
RED 615,default,appr_status,None,,,,,,,
RED 615,default,cDisplayName,None,,,,,,,
RED 615,default,cUserDefIndex,None,,,,,,,
RED 615,default,c_category,None,,,,,,,
RED 615,default,cbranch,None,,,,,,,
RED 615,default,cbranchid,None,,,,,,,
RED 615,default,cctprim,None,,,,,,,
RED 615,default,cctsec,None,,,,,,,
RED 615,default,ccub,None,,,,,,,
RED 615,default,charact,None,,,,,,,
RED 615,default,chr_name,None,,,,,,,
RED 615,default,ciDist,None,,,,,,,
RED 615,default,ciDistAll,None,,,,,,,
RED 615,default,ciDistAllRoot,None,,,,,,,
RED 615,default,ciDistRoot,None,,,,,,,
RED 615,default,ciEarthed,None,,,,,,,
RED 615,default,ciEnergized,None,,,,,,,
RED 615,default,ciLater,None,,,,,,,
RED 615,default,ciOutaged,None,,,,,,,
RED 615,default,cn_bus,None,,,,,,,
RED 615,default,cn_rembus,None,,,,,,,
RED 615,default,constr,None,,,,,,,
RED 615,default,contents,None,,,,,,,
RED 615,default,cpArea,None,,,,,,,
RED 615,default,cpBranch,None,,,,,,,
RED 615,default,cpCt,None,,,,,,,
RED 615,default,cpFeed,None,,,,,,,
RED 615,default,cpGrid,None,,,,,,,
RED 615,default,cpHeadFold,None,,,,,,,
RED 615,default,cpMeteostat,None,,,,,,,
RED 615,default,cpOperator,None,,,,,,,
RED 615,default,cpOwner,None,,,,,,,
RED 615,default,cpShc,None,,,,,,,
RED 615,default,cpSite,None,,,,,,,
RED 615,default,cpSubstat,None,,,,,,,
RED 615,default,cpSupplySubstation,None,,,,,,,
RED 615,default,cpSupplyTransformer,None,,,,,,,
RED 615,default,cpSupplyTrfStation,None,,,,,,,
RED 615,default,cpVt,None,,,,,,,
RED 615,default,cpZone,None,,,,,,,
RED 615,default,ctprim,None,,,,,,,
RED 615,default,ctsec,None,,,,,,,
RED 615,default,cvtprim,None,,,,,,,
RED 615,default,cvtsec,None,,,,,,,
RED 615,default,dat_src,None,,,,,,,
RED 615,default,dataExtUnit,None,,,,,,,
RED 615,default,desc,None,,,,,,,
RED 615,default,dev_no,None,,,,,,,
RED 615,default,doc_id,None,,,,,,,
RED 615,default,efaultmaxi,None,,,,,,,
RED 615,default,efaultmini,None,,,,,,,
RED 615,default,fold_id,None,,,,,,,
RED 615,default,for_name,None,,,,,,,
RED 615,default,gnrl_modby,None,,,,,,,
RED 615,default,gnrl_modif,None,,,,,,,
RED 615,default,iComDate,None,,,,,,,
RED 615,default,iSchemeStatus,None,,,,,,,
RED 615,default,isSubRelay,None,,,,,,,
RED 615,default,loc_name,None,,,,,,,
RED 615,default,outserv,None,,,,,,,
RED 615,default,pOperator,None,,,,,,,
RED 615,default,pOwner,None,,,,,,,
RED 615,default,pReference,None,,,,,,,
RED 615,default,pdiselm,None,,,,,,,
RED 615,default,pelm,None,,,,,,,
RED 615,default,phfaultmaxi,None,,,,,,,
RED 615,default,phfaultmini,None,,,,,,,
RED 615,default,root_id,None,,,,,,,
RED 615,default,sernum,None,,,,,,,
RED 615,default,sw_settingsGroups,None,,,,,,,
RED 615,default,td_bR,None,,,,,,,
RED 615,default,td_bRC,None,,,,,,,
RED 615,default,td_bX,None,,,,,,,
RED 615,default,td_bXC,None,,,,,,,
RED 615,default,td_bZ,None,,,,,,,
RED 615,default,td_bZC,None,,,,,,,
RED 615,default,td_blim,None,,,,,,,
RED 615,default,td_bobj,None,,,,,,,
RED 615,default,td_bphi,None,,,,,,,
RED 615,default,td_bphiC,None,,,,,,,
RED 615,default,td_bpos,None,,,,,,,
RED 615,default,td_btpbk,None,,,,,,,
RED 615,default,td_btrip,None,,,,,,,
RED 615,default,td_cnt,None,,,,,,,
RED 615,default,td_fR,None,,,,,,,
RED 615,default,td_fRC,None,,,,,,,
