FOLDER,ELEMENT,ATTRIBUTE,,,,,,,,
REF 615,default,AttributeType,None,,,,,,,
REF 615,default,actset,None,,,,,,,
REF 615,default,application,None,,,,,,,
REF 615,default,appr_modby,None,,,,,,,
REF 615,default,appr_modif,None,,,,,,,
REF 615,default,appr_status,None,,,,,,,
REF 615,default,cDisplayName,None,,,,,,,
REF 615,default,cUserDefIndex,None,,,,,,,
REF 615,default,c_category,None,,,,,,,
REF 615,default,cbranch,None,,,,,,,
REF 615,default,cbranchid,None,,,,,,,
REF 615,default,cctprim,None,,,,,,,
REF 615,default,cctsec,None,,,,,,,
REF 615,default,ccub,None,,,,,,,
REF 615,default,charact,None,,,,,,,
REF 615,default,chr_name,None,,,,,,,
REF 615,default,ciDist,None,,,,,,,
REF 615,default,ciDistAll,None,,,,,,,
REF 615,default,ciDistAllRoot,None,,,,,,,
REF 615,default,ciDistRoot,None,,,,,,,
REF 615,default,ciEarthed,None,,,,,,,
REF 615,default,ciEnergized,None,,,,,,,
REF 615,default,ciLater,None,,,,,,,
REF 615,default,ciOutaged,None,,,,,,,
REF 615,default,cn_bus,None,,,,,,,
REF 615,default,commissionDate,None,,,,,,,
REF 615,default,constr,None,,,,,,,
REF 615,default,contents,None,,,,,,,
REF 615,default,cpArea,None,,,,,,,
REF 615,default,cpBranch,None,,,,,,,
REF 615,default,cpCt,None,,,,,,,
REF 615,default,cpFeed,None,,,,,,,
REF 615,default,cpGrid,None,,,,,,,
REF 615,default,cpHeadFold,None,,,,,,,
REF 615,default,cpMeteostat,None,,,,,,,
REF 615,default,cpOperator,None,,,,,,,
REF 615,default,cpOwner,None,,,,,,,
REF 615,default,cpShc,None,,,,,,,
REF 615,default,cpSite,None,,,,,,,
REF 615,default,cpSubstat,None,,,,,,,
REF 615,default,cpSupplySubstation,None,,,,,,,
REF 615,default,cpSupplyTransformer,None,,,,,,,
REF 615,default,cpSupplyTrfStation,None,,,,,,,
REF 615,default,cpVt,None,,,,,,,
REF 615,default,cpZone,None,,,,,,,
REF 615,default,ctprim,None,,,,,,,
REF 615,default,ctsec,None,,,,,,,
REF 615,default,cvtprim,None,,,,,,,
REF 615,default,cvtsec,None,,,,,,,
REF 615,default,dat_src,None,,,,,,,
REF 615,default,dataExtDesc,None,,,,,,,
REF 615,default,dataExtUnit,None,,,,,,,
REF 615,default,desc,None,,,,,,,
REF 615,default,dev_no,None,,,,,,,
REF 615,default,doc_id,None,,,,,,,
REF 615,default,efaultmaxi,None,,,,,,,
REF 615,default,efaultmini,None,,,,,,,
REF 615,default,fold_id,None,,,,,,,
REF 615,default,for_name,None,,,,,,,
REF 615,default,gnrl_modby,None,,,,,,,
REF 615,default,gnrl_modif,None,,,,,,,
REF 615,default,iComDate,None,,,,,,,
REF 615,default,iSchemeStatus,None,,,,,,,
REF 615,default,isSubRelay,None,,,,,,,
REF 615,default,loc_name,None,,,,,,,
REF 615,default,outserv,None,,,,,,,
REF 615,default,pOperator,None,,,,,,,
REF 615,default,pOwner,None,,,,,,,
REF 615,default,pReference,None,,,,,,,
REF 615,default,pdiselm,None,,,,,,,
REF 615,default,pelm,None,,,,,,,
REF 615,default,phfaultmaxi,None,,,,,,,
REF 615,default,phfaultmini,None,,,,,,,
REF 615,default,root_id,None,,,,,,,
REF 615,default,sernum,None,,,,,,,
REF 615,default,sw_settingsGroups,None,,,,,,,
REF 615,default,td_bR,None,,,,,,,
REF 615,default,td_bRC,None,,,,,,,
REF 615,default,td_bX,None,,,,,,,
REF 615,default,td_bXC,None,,,,,,,
REF 615,default,td_bZ,None,,,,,,,
REF 615,default,td_bZC,None,,,,,,,
REF 615,default,td_blim,None,,,,,,,
REF 615,default,td_bobj,None,,,,,,,
REF 615,default,td_bphi,None,,,,,,,
REF 615,default,td_bphiC,None,,,,,,,
REF 615,default,td_bpos,None,,,,,,,
REF 615,default,td_btpbk,None,,,,,,,
REF 615,default,td_btrip,None,,,,,,,
REF 615,default,td_cnt,None,,,,,,,
REF 615,default,td_fR,None,,,,,,,
REF 615,default,td_fRC,None,,,,,,,
REF 615,default,td_fX,None,,,,,,,
REF 615,default,td_fXC,None,,,,,,,
REF 615,default,td_fZ,None,,,,,,,
REF 615,default,td_fZC,None,,,,,,,
REF 615,default,td_flim,None,,,,,,,
REF 615,default,td_fobj,None,,,,,,,
REF 615,default,td_fphi,None,,,,,,,
REF 615,default,td_fphiC,None,,,,,,,
REF 615,default,td_fpos,None,,,,,,,
REF 615,default,td_ftpbk,None,,,,,,,
REF 615,default,td_ftrip,None,,,,,,,
REF 615,default,typ_id,None,,,,,,,
REF 615,default,vtprim,None,,,,,,,
REF 615,default,vtsec,None,,,,,,,
REF 615,default,zratio,None,,,,,,,
default,Measure Ph,AttributeType,None,,,,,,,
default,Measure Ph,Inom,None,,,,,,,
default,Measure Ph,Is,None,,,,,,,
default,Measure Ph,Unom,None,,,,,,,
default,Measure Ph,cDisplayName,None,,,,,,,
default,Measure Ph,cUserDefIndex,None,,,,,,,
default,Measure Ph,charact,None,,,,,,,
default,Measure Ph,chr_name,None,,,,,,,
default,Measure Ph,ciDist,None,,,,,,,
default,Measure Ph,ciDistAll,None,,,,,,,
