FOLDER,ELEMENT,ATTRIBUTE,,,,
RXIDF 2H_Phase,default,AttributeType,None,,,
RXIDF 2H_Phase,default,actset,None,,,
RXIDF 2H_Phase,default,application,None,,,
RXIDF 2H_Phase,default,appr_modby,None,,,
RXIDF 2H_Phase,default,appr_modif,None,,,
RXIDF 2H_Phase,default,appr_status,None,,,
RXIDF 2H_Phase,default,cDisplayName,None,,,
RXIDF 2H_Phase,default,cUserDefIndex,None,,,
RXIDF 2H_Phase,default,c_category,None,,,
RXIDF 2H_Phase,default,cbranch,None,,,
RXIDF 2H_Phase,default,cbranchid,None,,,
RXIDF 2H_Phase,default,cctprim,None,,,
RXIDF 2H_Phase,default,cctsec,None,,,
RXIDF 2H_Phase,default,ccub,None,,,
RXIDF 2H_Phase,default,charact,None,,,
RXIDF 2H_Phase,default,chr_name,None,,,
RXIDF 2H_Phase,default,ciDist,None,,,
RXIDF 2H_Phase,default,ciDistAll,None,,,
RXIDF 2H_Phase,default,ciDistAllRoot,None,,,
RXIDF 2H_Phase,default,ciDistRoot,None,,,
RXIDF 2H_Phase,default,ciEarthed,None,,,
RXIDF 2H_Phase,default,ciEnergized,None,,,
RXIDF 2H_Phase,default,ciLater,None,,,
RXIDF 2H_Phase,default,ciOutaged,None,,,
RXIDF 2H_Phase,default,cn_bus,None,,,
RXIDF 2H_Phase,default,cn_rembus,None,,,
RXIDF 2H_Phase,default,constr,None,,,
RXIDF 2H_Phase,default,contents,None,,,
RXIDF 2H_Phase,default,cpArea,None,,,
RXIDF 2H_Phase,default,cpBranch,None,,,
RXIDF 2H_Phase,default,cpCt,None,,,
RXIDF 2H_Phase,default,cpFeed,None,,,
RXIDF 2H_Phase,default,cpGrid,None,,,
RXIDF 2H_Phase,default,cpHeadFold,None,,,
RXIDF 2H_Phase,default,cpMeteostat,None,,,
RXIDF 2H_Phase,default,cpOperator,None,,,
RXIDF 2H_Phase,default,cpOwner,None,,,
RXIDF 2H_Phase,default,cpShc,None,,,
RXIDF 2H_Phase,default,cpSite,None,,,
RXIDF 2H_Phase,default,cpSubstat,None,,,
RXIDF 2H_Phase,default,cpSupplySubstation,None,,,
RXIDF 2H_Phase,default,cpSupplyTransformer,None,,,
RXIDF 2H_Phase,default,cpSupplyTrfStation,None,,,
RXIDF 2H_Phase,default,cpVt,None,,,
RXIDF 2H_Phase,default,cpZone,None,,,
RXIDF 2H_Phase,default,ctprim,None,,,
RXIDF 2H_Phase,default,ctsec,None,,,
RXIDF 2H_Phase,default,cvtprim,None,,,
RXIDF 2H_Phase,default,cvtsec,None,,,
RXIDF 2H_Phase,default,dat_src,None,,,
RXIDF 2H_Phase,default,dataExtUnit,None,,,
RXIDF 2H_Phase,default,desc,None,,,
RXIDF 2H_Phase,default,dev_no,None,,,
RXIDF 2H_Phase,default,doc_id,None,,,
RXIDF 2H_Phase,default,efaultmaxi,None,,,
RXIDF 2H_Phase,default,efaultmini,None,,,
RXIDF 2H_Phase,default,fold_id,None,,,
RXIDF 2H_Phase,default,for_name,None,,,
RXIDF 2H_Phase,default,gnrl_modby,None,,,
RXIDF 2H_Phase,default,gnrl_modif,None,,,
RXIDF 2H_Phase,default,iComDate,None,,,
RXIDF 2H_Phase,default,iSchemeStatus,None,,,
RXIDF 2H_Phase,default,isSubRelay,None,,,
RXIDF 2H_Phase,default,loc_name,None,,,
RXIDF 2H_Phase,default,outserv,None,,,
RXIDF 2H_Phase,default,pOperator,None,,,
RXIDF 2H_Phase,default,pOwner,None,,,
RXIDF 2H_Phase,default,pReference,None,,,
RXIDF 2H_Phase,default,pdiselm,None,,,
RXIDF 2H_Phase,default,pelm,None,,,
RXIDF 2H_Phase,default,phfaultmaxi,None,,,
RXIDF 2H_Phase,default,phfaultmini,None,,,
RXIDF 2H_Phase,default,root_id,None,,,
RXIDF 2H_Phase,default,sernum,None,,,
RXIDF 2H_Phase,default,sw_settingsGroups,None,,,
RXIDF 2H_Phase,default,td_bR,None,,,
RXIDF 2H_Phase,default,td_bRC,None,,,
RXIDF 2H_Phase,default,td_bX,None,,,
RXIDF 2H_Phase,default,td_bXC,None,,,
RXIDF 2H_Phase,default,td_bZ,None,,,
RXIDF 2H_Phase,default,td_bZC,None,,,
RXIDF 2H_Phase,default,td_blim,None,,,
RXIDF 2H_Phase,default,td_bobj,None,,,
RXIDF 2H_Phase,default,td_bphi,None,,,
RXIDF 2H_Phase,default,td_bphiC,None,,,
RXIDF 2H_Phase,default,td_bpos,None,,,
RXIDF 2H_Phase,default,td_btpbk,None,,,
RXIDF 2H_Phase,default,td_btrip,None,,,
