FOLDER,ELEMENT,ATTRIBUTE,,,,,,,
SDND103,default,AttributeType,None,,,,,,
SDND103,default,actset,None,,,,,,
SDND103,default,application,None,,,,,,
SDND103,default,appr_modby,None,,,,,,
SDND103,default,appr_modif,None,,,,,,
SDND103,default,appr_status,None,,,,,,
SDND103,default,cDisplayName,None,,,,,,
SDND103,default,cUserDefIndex,None,,,,,,
SDND103,default,c_category,None,,,,,,
SDND103,default,cbranch,None,,,,,,
SDND103,default,cbranchid,None,,,,,,
SDND103,default,cctprim,None,,,,,,
SDND103,default,cctsec,None,,,,,,
SDND103,default,ccub,None,,,,,,
SDND103,default,charact,None,,,,,,
SDND103,default,chr_name,None,,,,,,
SDND103,default,ciDist,None,,,,,,
SDND103,default,ciDistAll,None,,,,,,
SDND103,default,ciDistAllRoot,None,,,,,,
SDND103,default,ciDistRoot,None,,,,,,
SDND103,default,ciEarthed,None,,,,,,
SDND103,default,ciEnergized,None,,,,,,
SDND103,default,ciLater,None,,,,,,
SDND103,default,ciOutaged,None,,,,,,
SDND103,default,cn_bus,None,,,,,,
SDND103,default,cn_rembus,None,,,,,,
SDND103,default,constr,None,,,,,,
SDND103,default,contents,None,,,,,,
SDND103,default,cpArea,None,,,,,,
SDND103,default,cpBranch,None,,,,,,
SDND103,default,cpCt,None,,,,,,
SDND103,default,cpFeed,None,,,,,,
SDND103,default,cpGrid,None,,,,,,
SDND103,default,cpHeadFold,None,,,,,,
SDND103,default,cpMeteostat,None,,,,,,
SDND103,default,cpOperator,None,,,,,,
SDND103,default,cpOwner,None,,,,,,
SDND103,default,cpShc,None,,,,,,
SDND103,default,cpSite,None,,,,,,
SDND103,default,cpSubstat,None,,,,,,
SDND103,default,cpSupplySubstation,None,,,,,,
SDND103,default,cpSupplyTransformer,None,,,,,,
SDND103,default,cpSupplyTrfStation,None,,,,,,
SDND103,default,cpVt,None,,,,,,
SDND103,default,cpZone,None,,,,,,
SDND103,default,ctprim,None,,,,,,
