FOLDER,ELEMENT,ATTRIBUTE,,,,
Solkor N,default,AttributeType,None,,,
Solkor N,default,actset,None,,,
Solkor N,default,application,None,,,
Solkor N,default,appr_modby,None,,,
Solkor N,default,appr_modif,None,,,
Solkor N,default,appr_status,None,,,
Solkor N,default,cDisplayName,None,,,
Solkor N,default,cUserDefIndex,None,,,
Solkor N,default,c_category,None,,,
Solkor N,default,cbranch,None,,,
Solkor N,default,cbranchid,None,,,
Solkor N,default,cctprim,None,,,
Solkor N,default,cctsec,None,,,
Solkor N,default,ccub,None,,,
Solkor N,default,charact,None,,,
Solkor N,default,chr_name,None,,,
Solkor N,default,ciDist,None,,,
Solkor N,default,ciDistAll,None,,,
Solkor N,default,ciDistAllRoot,None,,,
Solkor N,default,ciDistRoot,None,,,
Solkor N,default,ciEarthed,None,,,
Solkor N,default,ciEnergized,None,,,
Solkor N,default,ciLater,None,,,
Solkor N,default,ciOutaged,None,,,
Solkor N,default,cn_bus,None,,,
Solkor N,default,cn_rembus,None,,,
Solkor N,default,constr,None,,,
Solkor N,default,contents,None,,,
Solkor N,default,cpArea,None,,,
Solkor N,default,cpBranch,None,,,
Solkor N,default,cpCt,None,,,
Solkor N,default,cpFeed,None,,,
Solkor N,default,cpGrid,None,,,
Solkor N,default,cpHeadFold,None,,,
Solkor N,default,cpMeteostat,None,,,
Solkor N,default,cpOperator,None,,,
Solkor N,default,cpOwner,None,,,
Solkor N,default,cpShc,None,,,
Solkor N,default,cpSite,None,,,
Solkor N,default,cpSubstat,None,,,
Solkor N,default,cpSupplySubstation,None,,,
Solkor N,default,cpSupplyTransformer,None,,,
Solkor N,default,cpSupplyTrfStation,None,,,
Solkor N,default,cpVt,None,,,
Solkor N,default,cpZone,None,,,
Solkor N,default,ctprim,None,,,
Solkor N,default,ctsec,None,,,
Solkor N,default,cvtprim,None,,,
Solkor N,default,cvtsec,None,,,
Solkor N,default,dat_src,None,,,
Solkor N,default,dataExtUnit,None,,,
Solkor N,default,desc,None,,,
Solkor N,default,dev_no,None,,,
Solkor N,default,doc_id,None,,,
Solkor N,default,efaultmaxi,None,,,
Solkor N,default,efaultmini,None,,,
Solkor N,default,fold_id,None,,,
Solkor N,default,for_name,None,,,
Solkor N,default,gnrl_modby,None,,,
Solkor N,default,gnrl_modif,None,,,
Solkor N,default,iComDate,None,,,
Solkor N,default,iSchemeStatus,None,,,
Solkor N,default,isSubRelay,None,,,
Solkor N,default,loc_name,None,,,
Solkor N,default,outserv,None,,,
Solkor N,default,pOperator,None,,,
Solkor N,default,pOwner,None,,,
Solkor N,default,pReference,None,,,
Solkor N,default,pdiselm,None,,,
Solkor N,default,pelm,None,,,
Solkor N,default,phfaultmaxi,None,,,
Solkor N,default,phfaultmini,None,,,
Solkor N,default,root_id,None,,,
Solkor N,default,sernum,None,,,
Solkor N,default,sw_settingsGroups,None,,,
Solkor N,default,td_bR,None,,,
Solkor N,default,td_bRC,None,,,
Solkor N,default,td_bX,None,,,
Solkor N,default,td_bXC,None,,,
Solkor N,default,td_bZ,None,,,
Solkor N,default,td_bZC,None,,,
Solkor N,default,td_blim,None,,,
Solkor N,default,td_bobj,None,,,
Solkor N,default,td_bphi,None,,,
Solkor N,default,td_bphiC,None,,,
Solkor N,default,td_bpos,None,,,
Solkor N,default,td_btpbk,None,,,
Solkor N,default,td_btrip,None,,,
Solkor N,default,td_cnt,None,,,
Solkor N,default,td_fR,None,,,
Solkor N,default,td_fRC,None,,,
Solkor N,default,td_fX,None,,,
Solkor N,default,td_fXC,None,,,
Solkor N,default,td_fZ,None,,,
Solkor N,default,td_fZC,None,,,
Solkor N,default,td_flim,None,,,
Solkor N,default,td_fobj,None,,,
Solkor N,default,td_fphi,None,,,
Solkor N,default,td_fphiC,None,,,
Solkor N,default,td_fpos,None,,,
Solkor N,default,td_ftpbk,None,,,
Solkor N,default,td_ftrip,None,,,
Solkor N,default,typ_id,None,,,
Solkor N,default,vtprim,None,,,
Solkor N,default,vtsec,None,,,
Solkor N,default,zratio,None,,,
default,CT1 Measurement,AttributeType,None,,,
default,CT1 Measurement,Inom,None,,,
default,CT1 Measurement,Is,None,,,
default,CT1 Measurement,Unom,None,,,
default,CT1 Measurement,cDisplayName,None,,,
default,CT1 Measurement,cUserDefIndex,None,,,
default,CT1 Measurement,charact,None,,,
default,CT1 Measurement,chr_name,None,,,
default,CT1 Measurement,ciDist,None,,,
default,CT1 Measurement,ciDistAll,None,,,
default,CT1 Measurement,ciDistAllRoot,None,,,
default,CT1 Measurement,ciDistRoot,None,,,
default,CT1 Measurement,ciEarthed,None,,,
default,CT1 Measurement,ciEnergized,None,,,
default,CT1 Measurement,ciLater,None,,,
default,CT1 Measurement,ciOutaged,None,,,
default,CT1 Measurement,cpArea,None,,,
default,CT1 Measurement,cpBranch,None,,,
default,CT1 Measurement,cpFeed,None,,,
default,CT1 Measurement,cpGrid,None,,,
default,CT1 Measurement,cpHeadFold,None,,,
default,CT1 Measurement,cpMeteostat,None,,,
default,CT1 Measurement,cpOperator,None,,,
default,CT1 Measurement,cpOwner,None,,,
default,CT1 Measurement,cpSite,None,,,
default,CT1 Measurement,cpSubstat,None,,,
default,CT1 Measurement,cpSupplySubstation,None,,,
