FOLDER,ELEMENT,ATTRIBUTE,
Solkor R-Rf,default,AttributeType,None
Solkor R-Rf,default,actset,None
Solkor R-Rf,default,application,None
Solkor R-Rf,default,appr_modby,None
Solkor R-Rf,default,appr_modif,None
Solkor R-Rf,default,appr_status,None
Solkor R-Rf,default,cDisplayName,None
Solkor R-Rf,default,cUserDefIndex,None
Solkor R-Rf,default,c_category,None
Solkor R-Rf,default,cbranch,None
Solkor R-Rf,default,cbranchid,None
Solkor R-Rf,default,cctprim,None
Solkor R-Rf,default,cctsec,None
Solkor R-Rf,default,ccub,None
Solkor R-Rf,default,charact,None
Solkor R-Rf,default,chr_name,None
Solkor R-Rf,default,ciDist,None
Solkor R-Rf,default,ciDistAll,None
Solkor R-Rf,default,ciDistAllRoot,None
Solkor R-Rf,default,ciDistRoot,None
Solkor R-Rf,default,ciEarthed,None
Solkor R-Rf,default,ciEnergized,None
Solkor R-Rf,default,ciLater,None
Solkor R-Rf,default,ciOutaged,None
Solkor R-Rf,default,cn_bus,None
Solkor R-Rf,default,cn_rembus,None
Solkor R-Rf,default,constr,None
Solkor R-Rf,default,contents,None
Solkor R-Rf,default,cpArea,None
Solkor R-Rf,default,cpBranch,None
Solkor R-Rf,default,cpCt,None
Solkor R-Rf,default,cpFeed,None
Solkor R-Rf,default,cpGrid,None
Solkor R-Rf,default,cpHeadFold,None
Solkor R-Rf,default,cpMeteostat,None
Solkor R-Rf,default,cpOperator,None
Solkor R-Rf,default,cpOwner,None
Solkor R-Rf,default,cpShc,None
Solkor R-Rf,default,cpSite,None
Solkor R-Rf,default,cpSubstat,None
Solkor R-Rf,default,cpSupplySubstation,None
Solkor R-Rf,default,cpSupplyTransformer,None
Solkor R-Rf,default,cpSupplyTrfStation,None
Solkor R-Rf,default,cpVt,None
Solkor R-Rf,default,cpZone,None
Solkor R-Rf,default,ctprim,None
Solkor R-Rf,default,ctsec,None
Solkor R-Rf,default,cvtprim,None
Solkor R-Rf,default,cvtsec,None
Solkor R-Rf,default,dat_src,None
Solkor R-Rf,default,dataExtUnit,None
Solkor R-Rf,default,desc,None
Solkor R-Rf,default,dev_no,None
Solkor R-Rf,default,doc_id,None
Solkor R-Rf,default,efaultmaxi,None
Solkor R-Rf,default,efaultmini,None
Solkor R-Rf,default,fold_id,None
Solkor R-Rf,default,for_name,None
