FOLDER,ELEMENT,ATTRIBUTE,,,,,
SPAJ 140C,default,AttributeType,None,,,,
SPAJ 140C,default,actset,None,,,,
SPAJ 140C,default,application,None,,,,
SPAJ 140C,default,appr_modby,None,,,,
SPAJ 140C,default,appr_modif,None,,,,
SPAJ 140C,default,appr_status,None,,,,
SPAJ 140C,default,cDisplayName,None,,,,
SPAJ 140C,default,cUserDefIndex,None,,,,
SPAJ 140C,default,c_category,None,,,,
SPAJ 140C,default,cbranch,None,,,,
SPAJ 140C,default,cbranchid,None,,,,
SPAJ 140C,default,cctprim,None,,,,
SPAJ 140C,default,cctsec,None,,,,
SPAJ 140C,default,ccub,None,,,,
SPAJ 140C,default,charact,None,,,,
SPAJ 140C,default,chr_name,None,,,,
SPAJ 140C,default,ciDist,None,,,,
SPAJ 140C,default,ciDistAll,None,,,,
SPAJ 140C,default,ciDistAllRoot,None,,,,
SPAJ 140C,default,ciDistRoot,None,,,,
SPAJ 140C,default,ciEarthed,None,,,,
SPAJ 140C,default,ciEnergized,None,,,,
SPAJ 140C,default,ciLater,None,,,,
SPAJ 140C,default,ciOutaged,None,,,,
SPAJ 140C,default,cn_bus,None,,,,
SPAJ 140C,default,cn_rembus,None,,,,
SPAJ 140C,default,constr,None,,,,
SPAJ 140C,default,contents,None,,,,
SPAJ 140C,default,cpArea,None,,,,
SPAJ 140C,default,cpBranch,None,,,,
SPAJ 140C,default,cpCt,None,,,,
SPAJ 140C,default,cpFeed,None,,,,
SPAJ 140C,default,cpGrid,None,,,,
SPAJ 140C,default,cpHeadFold,None,,,,
SPAJ 140C,default,cpMeteostat,None,,,,
SPAJ 140C,default,cpOperator,None,,,,
SPAJ 140C,default,cpOwner,None,,,,
SPAJ 140C,default,cpShc,None,,,,
SPAJ 140C,default,cpSite,None,,,,
SPAJ 140C,default,cpSubstat,None,,,,
SPAJ 140C,default,cpSupplySubstation,None,,,,
SPAJ 140C,default,cpSupplyTransformer,None,,,,
SPAJ 140C,default,cpSupplyTrfStation,None,,,,
SPAJ 140C,default,cpVt,None,,,,
SPAJ 140C,default,cpZone,None,,,,
SPAJ 140C,default,ctprim,None,,,,
SPAJ 140C,default,ctsec,None,,,,
SPAJ 140C,default,cvtprim,None,,,,
SPAJ 140C,default,cvtsec,None,,,,
SPAJ 140C,default,dat_src,None,,,,
SPAJ 140C,default,dataExtUnit,None,,,,
SPAJ 140C,default,desc,None,,,,
SPAJ 140C,default,dev_no,None,,,,
SPAJ 140C,default,doc_id,None,,,,
SPAJ 140C,default,efaultmaxi,None,,,,
SPAJ 140C,default,efaultmini,None,,,,
SPAJ 140C,default,fold_id,None,,,,
SPAJ 140C,default,for_name,None,,,,
SPAJ 140C,default,gnrl_modby,None,,,,
SPAJ 140C,default,gnrl_modif,None,,,,
SPAJ 140C,default,iComDate,None,,,,
SPAJ 140C,default,iSchemeStatus,None,,,,
SPAJ 140C,default,isSubRelay,None,,,,
SPAJ 140C,default,loc_name,None,,,,
SPAJ 140C,default,outserv,None,,,,
SPAJ 140C,default,pOperator,None,,,,
SPAJ 140C,default,pOwner,None,,,,
SPAJ 140C,default,pReference,None,,,,
SPAJ 140C,default,pdiselm,None,,,,
SPAJ 140C,default,pelm,None,,,,
SPAJ 140C,default,phfaultmaxi,None,,,,
SPAJ 140C,default,phfaultmini,None,,,,
SPAJ 140C,default,root_id,None,,,,
SPAJ 140C,default,sernum,None,,,,
SPAJ 140C,default,sw_settingsGroups,None,,,,
SPAJ 140C,default,td_bR,None,,,,
SPAJ 140C,default,td_bRC,None,,,,
SPAJ 140C,default,td_bX,None,,,,
SPAJ 140C,default,td_bXC,None,,,,
SPAJ 140C,default,td_bZ,None,,,,
SPAJ 140C,default,td_bZC,None,,,,
SPAJ 140C,default,td_blim,None,,,,
SPAJ 140C,default,td_bobj,None,,,,
SPAJ 140C,default,td_bphi,None,,,,
SPAJ 140C,default,td_bphiC,None,,,,
SPAJ 140C,default,td_bpos,None,,,,
SPAJ 140C,default,td_btpbk,None,,,,
SPAJ 140C,default,td_btrip,None,,,,
SPAJ 140C,default,td_cnt,None,,,,
SPAJ 140C,default,td_fR,None,,,,
SPAJ 140C,default,td_fRC,None,,,,
SPAJ 140C,default,td_fX,None,,,,
SPAJ 140C,default,td_fXC,None,,,,
SPAJ 140C,default,td_fZ,None,,,,
SPAJ 140C,default,td_fZC,None,,,,
SPAJ 140C,default,td_flim,None,,,,
SPAJ 140C,default,td_fobj,None,,,,
SPAJ 140C,default,td_fphi,None,,,,
SPAJ 140C,default,td_fphiC,None,,,,
SPAJ 140C,default,td_fpos,None,,,,
SPAJ 140C,default,td_ftpbk,None,,,,
SPAJ 140C,default,td_ftrip,None,,,,
SPAJ 140C,default,typ_id,None,,,,
SPAJ 140C,default,vtprim,None,,,,
SPAJ 140C,default,vtsec,None,,,,
SPAJ 140C,default,zratio,None,,,,
default,Measure Ph,AttributeType,None,,,,
default,Measure Ph,Inom,None,,,,
default,Measure Ph,Is,None,,,,
default,Measure Ph,Unom,None,,,,
default,Measure Ph,cDisplayName,None,,,,
default,Measure Ph,cUserDefIndex,None,,,,
default,Measure Ph,charact,None,,,,
default,Measure Ph,chr_name,None,,,,
default,Measure Ph,ciDist,None,,,,
default,Measure Ph,ciDistAll,None,,,,
default,Measure Ph,ciDistAllRoot,None,,,,
default,Measure Ph,ciDistRoot,None,,,,
default,Measure Ph,ciEarthed,None,,,,
default,Measure Ph,ciEnergized,None,,,,
default,Measure Ph,ciLater,None,,,,
default,Measure Ph,ciOutaged,None,,,,
default,Measure Ph,cpArea,None,,,,
default,Measure Ph,cpBranch,None,,,,
default,Measure Ph,cpFeed,None,,,,
default,Measure Ph,cpGrid,None,,,,
default,Measure Ph,cpHeadFold,None,,,,
default,Measure Ph,cpMeteostat,None,,,,
default,Measure Ph,cpOperator,None,,,,
default,Measure Ph,cpOwner,None,,,,
default,Measure Ph,cpSite,None,,,,
default,Measure Ph,cpSubstat,None,,,,
default,Measure Ph,cpSupplySubstation,None,,,,
default,Measure Ph,cpSupplyTransformer,None,,,,
default,Measure Ph,cpSupplyTrfStation,None,,,,
default,Measure Ph,cpZone,None,,,,
default,Measure Ph,dat_src,None,,,,
default,Measure Ph,dataExtUnit,None,,,,
default,Measure Ph,fold_id,None,,,,
default,Measure Ph,for_name,None,,,,
