FOLDER,ELEMENT,ATTRIBUTE,,,,,
TJM11_A,default,AttributeType,None,,,,
TJM11_A,default,actset,None,,,,
TJM11_A,default,application,None,,,,
TJM11_A,default,appr_modby,None,,,,
TJM11_A,default,appr_modif,None,,,,
TJM11_A,default,appr_status,None,,,,
TJM11_A,default,cDisplayName,None,,,,
TJM11_A,default,cUserDefIndex,None,,,,
TJM11_A,default,c_category,None,,,,
TJM11_A,default,cbranch,None,,,,
TJM11_A,default,cbranchid,None,,,,
TJM11_A,default,cctprim,None,,,,
TJM11_A,default,cctsec,None,,,,
TJM11_A,default,ccub,None,,,,
TJM11_A,default,charact,None,,,,
TJM11_A,default,chr_name,None,,,,
TJM11_A,default,ciDist,None,,,,
TJM11_A,default,ciDistAll,None,,,,
TJM11_A,default,ciDistAllRoot,None,,,,
TJM11_A,default,ciDistRoot,None,,,,
TJM11_A,default,ciEarthed,None,,,,
TJM11_A,default,ciEnergized,None,,,,
TJM11_A,default,ciLater,None,,,,
TJM11_A,default,ciOutaged,None,,,,
TJM11_A,default,cn_bus,None,,,,
TJM11_A,default,cn_rembus,None,,,,
TJM11_A,default,constr,None,,,,
TJM11_A,default,contents,None,,,,
TJM11_A,default,cpArea,None,,,,
TJM11_A,default,cpBranch,None,,,,
TJM11_A,default,cpCt,None,,,,
TJM11_A,default,cpFeed,None,,,,
TJM11_A,default,cpGrid,None,,,,
TJM11_A,default,cpHeadFold,None,,,,
TJM11_A,default,cpMeteostat,None,,,,
TJM11_A,default,cpOperator,None,,,,
TJM11_A,default,cpOwner,None,,,,
TJM11_A,default,cpShc,None,,,,
TJM11_A,default,cpSite,None,,,,
TJM11_A,default,cpSubstat,None,,,,
TJM11_A,default,cpSupplySubstation,None,,,,
TJM11_A,default,cpSupplyTransformer,None,,,,
TJM11_A,default,cpSupplyTrfStation,None,,,,
TJM11_A,default,cpVt,None,,,,
TJM11_A,default,cpZone,None,,,,
TJM11_A,default,ctprim,None,,,,
TJM11_A,default,ctsec,None,,,,
TJM11_A,default,cvtprim,None,,,,
TJM11_A,default,cvtsec,None,,,,
TJM11_A,default,dat_src,None,,,,
TJM11_A,default,dataExtUnit,None,,,,
TJM11_A,default,desc,None,,,,
TJM11_A,default,dev_no,None,,,,
TJM11_A,default,doc_id,None,,,,
TJM11_A,default,efaultmaxi,None,,,,
TJM11_A,default,efaultmini,None,,,,
TJM11_A,default,fold_id,None,,,,
TJM11_A,default,for_name,None,,,,
TJM11_A,default,gnrl_modby,None,,,,
TJM11_A,default,gnrl_modif,None,,,,
TJM11_A,default,iComDate,None,,,,
TJM11_A,default,iSchemeStatus,None,,,,
TJM11_A,default,isSubRelay,None,,,,
TJM11_A,default,loc_name,None,,,,
TJM11_A,default,outserv,None,,,,
TJM11_A,default,pOperator,None,,,,
