FOLDER,ELEMENT,ATTRIBUTE,,,,,,,
CAPM N-Series Recloser,Default,AttributeType,None,,,,,,
CAPM N-Series Recloser,Default,actset,None,,,,,,
CAPM N-Series Recloser,Default,application,None,,,,,,
CAPM N-Series Recloser,Default,appr_modby,None,,,,,,
CAPM N-Series Recloser,Default,appr_modif,None,,,,,,
CAPM N-Series Recloser,Default,appr_status,None,,,,,,
CAPM N-Series Recloser,Default,cDisplayName,None,,,,,,
CAPM N-Series Recloser,Default,cUserDefIndex,None,,,,,,
CAPM N-Series Recloser,Default,c_category,None,,,,,,
CAPM N-Series Recloser,Default,cbranch,None,,,,,,
CAPM N-Series Recloser,Default,cbranchid,None,,,,,,
CAPM N-Series Recloser,Default,cctprim,None,,,,,,
CAPM N-Series Recloser,Default,cctsec,None,,,,,,
CAPM N-Series Recloser,Default,ccub,None,,,,,,
CAPM N-Series Recloser,Default,charact,None,,,,,,
CAPM N-Series Recloser,Default,chr_name,None,,,,,,
CAPM N-Series Recloser,Default,ciDist,None,,,,,,
CAPM N-Series Recloser,Default,ciDistAll,None,,,,,,
CAPM N-Series Recloser,Default,ciDistAllRoot,None,,,,,,
CAPM N-Series Recloser,Default,ciDistRoot,None,,,,,,
CAPM N-Series Recloser,Default,ciEarthed,None,,,,,,
CAPM N-Series Recloser,Default,ciEnergized,None,,,,,,
CAPM N-Series Recloser,Default,ciLater,None,,,,,,
CAPM N-Series Recloser,Default,ciOutaged,None,,,,,,
CAPM N-Series Recloser,Default,cn_bus,None,,,,,,
CAPM N-Series Recloser,Default,cn_rembus,None,,,,,,
CAPM N-Series Recloser,Default,constr,None,,,,,,
CAPM N-Series Recloser,Default,contents,None,,,,,,
CAPM N-Series Recloser,Default,cpArea,None,,,,,,
CAPM N-Series Recloser,Default,cpBranch,None,,,,,,
CAPM N-Series Recloser,Default,cpCt,None,,,,,,
CAPM N-Series Recloser,Default,cpFeed,None,,,,,,
CAPM N-Series Recloser,Default,cpGrid,None,,,,,,
CAPM N-Series Recloser,Default,cpHeadFold,None,,,,,,
CAPM N-Series Recloser,Default,cpMeteostat,None,,,,,,
CAPM N-Series Recloser,Default,cpOperator,None,,,,,,
CAPM N-Series Recloser,Default,cpOwner,None,,,,,,
CAPM N-Series Recloser,Default,cpShc,None,,,,,,
CAPM N-Series Recloser,Default,cpSite,None,,,,,,
CAPM N-Series Recloser,Default,cpSubstat,None,,,,,,
CAPM N-Series Recloser,Default,cpSupplySubstation,None,,,,,,
CAPM N-Series Recloser,Default,cpSupplyTransformer,None,,,,,,
CAPM N-Series Recloser,Default,cpSupplyTrfStation,None,,,,,,
CAPM N-Series Recloser,Default,cpVt,None,,,,,,
CAPM N-Series Recloser,Default,cpZone,None,,,,,,
CAPM N-Series Recloser,Default,ctprim,None,,,,,,
CAPM N-Series Recloser,Default,ctsec,None,,,,,,
CAPM N-Series Recloser,Default,cvtprim,None,,,,,,
CAPM N-Series Recloser,Default,cvtsec,None,,,,,,
CAPM N-Series Recloser,Default,dat_src,None,,,,,,
CAPM N-Series Recloser,Default,dataExtUnit,None,,,,,,
CAPM N-Series Recloser,Default,desc,None,,,,,,
CAPM N-Series Recloser,Default,dev_no,None,,,,,,
CAPM N-Series Recloser,Default,doc_id,None,,,,,,
CAPM N-Series Recloser,Default,efaultmaxi,None,,,,,,
CAPM N-Series Recloser,Default,efaultmini,None,,,,,,
CAPM N-Series Recloser,Default,fold_id,None,,,,,,
CAPM N-Series Recloser,Default,for_name,None,,,,,,
CAPM N-Series Recloser,Default,gnrl_modby,None,,,,,,
CAPM N-Series Recloser,Default,gnrl_modif,None,,,,,,
CAPM N-Series Recloser,Default,iComDate,None,,,,,,
CAPM N-Series Recloser,Default,iSchemeStatus,None,,,,,,
CAPM N-Series Recloser,Default,isSubRelay,None,,,,,,
CAPM N-Series Recloser,Default,loc_name,None,,,,,,
CAPM N-Series Recloser,Default,outserv,None,,,,,,
CAPM N-Series Recloser,Default,pOperator,None,,,,,,
CAPM N-Series Recloser,Default,pOwner,None,,,,,,
CAPM N-Series Recloser,Default,pReference,None,,,,,,
CAPM N-Series Recloser,Default,pdiselm,None,,,,,,
CAPM N-Series Recloser,Default,pelm,None,,,,,,
CAPM N-Series Recloser,Default,phfaultmaxi,None,,,,,,
CAPM N-Series Recloser,Default,phfaultmini,None,,,,,,
CAPM N-Series Recloser,Default,root_id,None,,,,,,
CAPM N-Series Recloser,Default,sernum,None,,,,,,
CAPM N-Series Recloser,Default,sw_settingsGroups,None,,,,,,
CAPM N-Series Recloser,Default,td_bR,None,,,,,,
CAPM N-Series Recloser,Default,td_bRC,None,,,,,,
CAPM N-Series Recloser,Default,td_bX,None,,,,,,
CAPM N-Series Recloser,Default,td_bXC,None,,,,,,
CAPM N-Series Recloser,Default,td_bZ,None,,,,,,
CAPM N-Series Recloser,Default,td_bZC,None,,,,,,
CAPM N-Series Recloser,Default,td_blim,None,,,,,,
CAPM N-Series Recloser,Default,td_bobj,None,,,,,,
CAPM N-Series Recloser,Default,td_bphi,None,,,,,,
CAPM N-Series Recloser,Default,td_bphiC,None,,,,,,
CAPM N-Series Recloser,Default,td_bpos,None,,,,,,
CAPM N-Series Recloser,Default,td_btpbk,None,,,,,,
CAPM N-Series Recloser,Default,td_btrip,None,,,,,,
CAPM N-Series Recloser,Default,td_cnt,None,,,,,,
CAPM N-Series Recloser,Default,td_fR,None,,,,,,
CAPM N-Series Recloser,Default,td_fRC,None,,,,,,
CAPM N-Series Recloser,Default,td_fX,None,,,,,,
CAPM N-Series Recloser,Default,td_fXC,None,,,,,,
CAPM N-Series Recloser,Default,td_fZ,None,,,,,,
CAPM N-Series Recloser,Default,td_fZC,None,,,,,,
CAPM N-Series Recloser,Default,td_flim,None,,,,,,
CAPM N-Series Recloser,Default,td_fobj,None,,,,,,
CAPM N-Series Recloser,Default,td_fphi,None,,,,,,
CAPM N-Series Recloser,Default,td_fphiC,None,,,,,,
CAPM N-Series Recloser,Default,td_fpos,None,,,,,,
CAPM N-Series Recloser,Default,td_ftpbk,None,,,,,,
CAPM N-Series Recloser,Default,td_ftrip,None,,,,,,
CAPM N-Series Recloser,Default,typ_id,None,,,,,,
CAPM N-Series Recloser,Default,vtprim,None,,,,,,
CAPM N-Series Recloser,Default,vtsec,None,,,,,,
CAPM N-Series Recloser,Default,zratio,None,,,,,,
Default,Reclosing Element_logic,Trip 1,Protection/Detection Settings/Protection Group A/,Trips To Lockout,use_setting,None,1,None,None
Default,Reclosing Element_logic,Trip 2,Protection/Detection Settings/Protection Group A/,Trips To Lockout,use_setting,None,2,None,None
Default,Reclosing Element_logic,Trip 3,Protection/Detection Settings/Protection Group A/,Trips To Lockout,use_setting,None,3,None,None
Default,Reclosing Element_logic,Trip 4,Protection/Detection Settings/Protection Group A/,Trips To Lockout,use_setting,None,4,None,None
Default,Reclosing Element_logic,Trip 1 SEF,Control and Monitoring/,SEF Protection,use_setting,None,1,Off,N
Default,Reclosing Element_logic,Trip 2 SEF,Control and Monitoring/,SEF Protection,use_setting,None,2,Off,N
Default,Reclosing Element_logic,Trip 3 SEF,Control and Monitoring/,SEF Protection,use_setting,None,3,Off,N
Default,Reclosing Element_logic,Trip 4 SEF,Control and Monitoring/,SEF Protection,use_setting,None,4,Off,N
Default,Reclosing Element_logic,Trip 1 NPS,Control and Monitoring/,Negative Phase Sequence,use_setting,None,1,Off,N
Default,Reclosing Element_logic,Trip 2 NPS,Control and Monitoring/,Negative Phase Sequence,use_setting,None,2,Off,N
Default,Reclosing Element_logic,Trip 3 NPS,Control and Monitoring/,Negative Phase Sequence,use_setting,None,3,Off,N
Default,Reclosing Element_logic,Trip 4 NPS,Control and Monitoring/,Negative Phase Sequence,use_setting,None,4,Off,N
Default,Reclosing Element_logic,HCL,Protection/Detection Settings/Protection Group A/HCL - High Current Lockout/,High Current Protection,use_setting,None,ALL,Off,N
Default,Reclosing Element,AttributeType,None,,,,,,
Default,Reclosing Element,SEFtripblock,None,,,,,,
Default,Reclosing Element,SEFtriptolock,None,,,,,,
Default,Reclosing Element,TCC1op,None,,,,,,
Default,Reclosing Element,cDisplayName,None,,,,,,
Default,Reclosing Element,cUserDefIndex,None,,,,,,
Default,Reclosing Element,c_type,None,,,,,,
Default,Reclosing Element,cclactivationt,None,,,,,,
Default,Reclosing Element,cclosingcomtime,None,,,,,,
Default,Reclosing Element,cclrecloseinterval,None,,,,,,
Default,Reclosing Element,charact,None,,,,,,
Default,Reclosing Element,chr_name,None,,,,,,
Default,Reclosing Element,ciDist,None,,,,,,
Default,Reclosing Element,ciDistAll,None,,,,,,
Default,Reclosing Element,ciDistAllRoot,None,,,,,,
Default,Reclosing Element,ciDistRoot,None,,,,,,
Default,Reclosing Element,ciEarthed,None,,,,,,
