FOLDER,ELEMENT,ATTRIBUTE,,,,,,,
CAPM W-Series Recloser,Default,AttributeType,None,,,,,,
CAPM W-Series Recloser,Default,actset,None,,,,,,
CAPM W-Series Recloser,Default,application,None,,,,,,
CAPM W-Series Recloser,Default,appr_modby,None,,,,,,
CAPM W-Series Recloser,Default,appr_modif,None,,,,,,
CAPM W-Series Recloser,Default,appr_status,None,,,,,,
CAPM W-Series Recloser,Default,cDisplayName,None,,,,,,
CAPM W-Series Recloser,Default,cUserDefIndex,None,,,,,,
CAPM W-Series Recloser,Default,c_category,None,,,,,,
CAPM W-Series Recloser,Default,cbranch,None,,,,,,
CAPM W-Series Recloser,Default,cbranchid,None,,,,,,
CAPM W-Series Recloser,Default,cctprim,None,,,,,,
CAPM W-Series Recloser,Default,cctsec,None,,,,,,
CAPM W-Series Recloser,Default,ccub,None,,,,,,
CAPM W-Series Recloser,Default,charact,None,,,,,,
CAPM W-Series Recloser,Default,chr_name,None,,,,,,
CAPM W-Series Recloser,Default,ciDist,None,,,,,,
CAPM W-Series Recloser,Default,ciDistAll,None,,,,,,
CAPM W-Series Recloser,Default,ciDistAllRoot,None,,,,,,
CAPM W-Series Recloser,Default,ciDistRoot,None,,,,,,
CAPM W-Series Recloser,Default,ciEarthed,None,,,,,,
CAPM W-Series Recloser,Default,ciEnergized,None,,,,,,
CAPM W-Series Recloser,Default,ciLater,None,,,,,,
CAPM W-Series Recloser,Default,ciOutaged,None,,,,,,
CAPM W-Series Recloser,Default,cn_bus,None,,,,,,
CAPM W-Series Recloser,Default,cn_rembus,None,,,,,,
CAPM W-Series Recloser,Default,constr,None,,,,,,
CAPM W-Series Recloser,Default,contents,None,,,,,,
CAPM W-Series Recloser,Default,cpArea,None,,,,,,
CAPM W-Series Recloser,Default,cpBranch,None,,,,,,
CAPM W-Series Recloser,Default,cpCt,None,,,,,,
CAPM W-Series Recloser,Default,cpFeed,None,,,,,,
CAPM W-Series Recloser,Default,cpGrid,None,,,,,,
CAPM W-Series Recloser,Default,cpHeadFold,None,,,,,,
CAPM W-Series Recloser,Default,cpMeteostat,None,,,,,,
CAPM W-Series Recloser,Default,cpOperator,None,,,,,,
CAPM W-Series Recloser,Default,cpOwner,None,,,,,,
CAPM W-Series Recloser,Default,cpShc,None,,,,,,
CAPM W-Series Recloser,Default,cpSite,None,,,,,,
CAPM W-Series Recloser,Default,cpSubstat,None,,,,,,
CAPM W-Series Recloser,Default,cpSupplySubstation,None,,,,,,
CAPM W-Series Recloser,Default,cpSupplyTransformer,None,,,,,,
CAPM W-Series Recloser,Default,cpSupplyTrfStation,None,,,,,,
CAPM W-Series Recloser,Default,cpVt,None,,,,,,
CAPM W-Series Recloser,Default,cpZone,None,,,,,,
CAPM W-Series Recloser,Default,ctprim,None,,,,,,
