FOLDER,ELEMENT,ATTRIBUTE,,,,
E-Type Recloser,Default,AttributeType,None,,,
E-Type Recloser,Default,actset,None,,,
E-Type Recloser,Default,application,None,,,
E-Type Recloser,Default,appr_modby,None,,,
E-Type Recloser,Default,appr_modif,None,,,
E-Type Recloser,Default,appr_status,None,,,
E-Type Recloser,Default,cDisplayName,None,,,
E-Type Recloser,Default,cUserDefIndex,None,,,
E-Type Recloser,Default,c_category,None,,,
E-Type Recloser,Default,cbranch,None,,,
E-Type Recloser,Default,cbranchid,None,,,
E-Type Recloser,Default,cctprim,None,,,
E-Type Recloser,Default,cctsec,None,,,
E-Type Recloser,Default,ccub,None,,,
E-Type Recloser,Default,charact,None,,,
E-Type Recloser,Default,chr_name,None,,,
E-Type Recloser,Default,ciDist,None,,,
E-Type Recloser,Default,ciDistAll,None,,,
E-Type Recloser,Default,ciDistAllRoot,None,,,
E-Type Recloser,Default,ciDistRoot,None,,,
E-Type Recloser,Default,ciEarthed,None,,,
E-Type Recloser,Default,ciEnergized,None,,,
E-Type Recloser,Default,ciLater,None,,,
E-Type Recloser,Default,ciOutaged,None,,,
E-Type Recloser,Default,cn_bus,None,,,
E-Type Recloser,Default,cn_rembus,None,,,
E-Type Recloser,Default,constr,None,,,
E-Type Recloser,Default,contents,None,,,
E-Type Recloser,Default,cpArea,None,,,
E-Type Recloser,Default,cpBranch,None,,,
E-Type Recloser,Default,cpCt,None,,,
E-Type Recloser,Default,cpFeed,None,,,
E-Type Recloser,Default,cpGrid,None,,,
E-Type Recloser,Default,cpHeadFold,None,,,
E-Type Recloser,Default,cpMeteostat,None,,,
E-Type Recloser,Default,cpOperator,None,,,
E-Type Recloser,Default,cpOwner,None,,,
E-Type Recloser,Default,cpShc,None,,,
E-Type Recloser,Default,cpSite,None,,,
E-Type Recloser,Default,cpSubstat,None,,,
E-Type Recloser,Default,cpSupplySubstation,None,,,
E-Type Recloser,Default,cpSupplyTransformer,None,,,
E-Type Recloser,Default,cpSupplyTrfStation,None,,,
E-Type Recloser,Default,cpVt,None,,,
E-Type Recloser,Default,cpZone,None,,,
E-Type Recloser,Default,ctprim,None,,,
E-Type Recloser,Default,ctsec,None,,,
E-Type Recloser,Default,cvtprim,None,,,
E-Type Recloser,Default,cvtsec,None,,,
E-Type Recloser,Default,dat_src,None,,,
E-Type Recloser,Default,dataExtUnit,None,,,
E-Type Recloser,Default,desc,None,,,
