FOLDER,ELEMENT,ATTRIBUTE,,,,
Ergon_KF_KFE Recloser,Default,AttributeType,None,,,
Ergon_KF_KFE Recloser,Default,actset,None,,,
Ergon_KF_KFE Recloser,Default,application,None,,,
Ergon_KF_KFE Recloser,Default,appr_modby,None,,,
Ergon_KF_KFE Recloser,Default,appr_modif,None,,,
Ergon_KF_KFE Recloser,Default,appr_status,None,,,
Ergon_KF_KFE Recloser,Default,cDisplayName,None,,,
Ergon_KF_KFE Recloser,Default,cUserDefIndex,None,,,
Ergon_KF_KFE Recloser,Default,c_category,None,,,
Ergon_KF_KFE Recloser,Default,cbranch,None,,,
Ergon_KF_KFE Recloser,Default,cbranchid,None,,,
Ergon_KF_KFE Recloser,Default,cctprim,None,,,
Ergon_KF_KFE Recloser,Default,cctsec,None,,,
Ergon_KF_KFE Recloser,Default,ccub,None,,,
Ergon_KF_KFE Recloser,Default,charact,None,,,
Ergon_KF_KFE Recloser,Default,chr_name,None,,,
Ergon_KF_KFE Recloser,Default,ciDist,None,,,
Ergon_KF_KFE Recloser,Default,ciDistAll,None,,,
Ergon_KF_KFE Recloser,Default,ciDistAllRoot,None,,,
Ergon_KF_KFE Recloser,Default,ciDistRoot,None,,,
Ergon_KF_KFE Recloser,Default,ciEarthed,None,,,
Ergon_KF_KFE Recloser,Default,ciEnergized,None,,,
Ergon_KF_KFE Recloser,Default,ciLater,None,,,
Ergon_KF_KFE Recloser,Default,ciOutaged,None,,,
Ergon_KF_KFE Recloser,Default,cn_bus,None,,,
Ergon_KF_KFE Recloser,Default,cn_rembus,None,,,
Ergon_KF_KFE Recloser,Default,constr,None,,,
Ergon_KF_KFE Recloser,Default,contents,None,,,
Ergon_KF_KFE Recloser,Default,cpArea,None,,,
Ergon_KF_KFE Recloser,Default,cpBranch,None,,,
Ergon_KF_KFE Recloser,Default,cpCt,None,,,
Ergon_KF_KFE Recloser,Default,cpFeed,None,,,
Ergon_KF_KFE Recloser,Default,cpGrid,None,,,
Ergon_KF_KFE Recloser,Default,cpHeadFold,None,,,
Ergon_KF_KFE Recloser,Default,cpMeteostat,None,,,
Ergon_KF_KFE Recloser,Default,cpOperator,None,,,
Ergon_KF_KFE Recloser,Default,cpOwner,None,,,
Ergon_KF_KFE Recloser,Default,cpShc,None,,,
Ergon_KF_KFE Recloser,Default,cpSite,None,,,
Ergon_KF_KFE Recloser,Default,cpSubstat,None,,,
Ergon_KF_KFE Recloser,Default,cpSupplySubstation,None,,,
Ergon_KF_KFE Recloser,Default,cpSupplyTransformer,None,,,
Ergon_KF_KFE Recloser,Default,cpSupplyTrfStation,None,,,
Ergon_KF_KFE Recloser,Default,cpVt,None,,,
Ergon_KF_KFE Recloser,Default,cpZone,None,,,
Ergon_KF_KFE Recloser,Default,ctprim,None,,,
Ergon_KF_KFE Recloser,Default,ctsec,None,,,
Ergon_KF_KFE Recloser,Default,cvtprim,None,,,
Ergon_KF_KFE Recloser,Default,cvtsec,None,,,
Ergon_KF_KFE Recloser,Default,dat_src,None,,,
Ergon_KF_KFE Recloser,Default,dataExtUnit,None,,,
Ergon_KF_KFE Recloser,Default,desc,None,,,
Ergon_KF_KFE Recloser,Default,dev_no,None,,,
Ergon_KF_KFE Recloser,Default,doc_id,None,,,
Ergon_KF_KFE Recloser,Default,efaultmaxi,None,,,
Ergon_KF_KFE Recloser,Default,efaultmini,None,,,
Ergon_KF_KFE Recloser,Default,fold_id,None,,,
Ergon_KF_KFE Recloser,Default,for_name,None,,,
Ergon_KF_KFE Recloser,Default,gnrl_modby,None,,,
Ergon_KF_KFE Recloser,Default,gnrl_modif,None,,,
Ergon_KF_KFE Recloser,Default,iComDate,None,,,
Ergon_KF_KFE Recloser,Default,iSchemeStatus,None,,,
Ergon_KF_KFE Recloser,Default,isSubRelay,None,,,
Ergon_KF_KFE Recloser,Default,loc_name,None,,,
Ergon_KF_KFE Recloser,Default,outserv,ON,,,
Ergon_KF_KFE Recloser,Default,pOperator,None,,,
Ergon_KF_KFE Recloser,Default,pOwner,None,,,
Ergon_KF_KFE Recloser,Default,pReference,None,,,
Ergon_KF_KFE Recloser,Default,pdiselm,None,,,
Ergon_KF_KFE Recloser,Default,pelm,None,,,
Ergon_KF_KFE Recloser,Default,phfaultmaxi,None,,,
Ergon_KF_KFE Recloser,Default,phfaultmini,None,,,
Ergon_KF_KFE Recloser,Default,root_id,None,,,
Ergon_KF_KFE Recloser,Default,sernum,None,,,
Ergon_KF_KFE Recloser,Default,sw_settingsGroups,None,,,
Ergon_KF_KFE Recloser,Default,td_bR,None,,,
Ergon_KF_KFE Recloser,Default,td_bRC,None,,,
Ergon_KF_KFE Recloser,Default,td_bX,None,,,
Ergon_KF_KFE Recloser,Default,td_bXC,None,,,
Ergon_KF_KFE Recloser,Default,td_bZ,None,,,
Ergon_KF_KFE Recloser,Default,td_bZC,None,,,
Ergon_KF_KFE Recloser,Default,td_blim,None,,,
Ergon_KF_KFE Recloser,Default,td_bobj,None,,,
Ergon_KF_KFE Recloser,Default,td_bphi,None,,,
Ergon_KF_KFE Recloser,Default,td_bphiC,None,,,
Ergon_KF_KFE Recloser,Default,td_bpos,None,,,
Ergon_KF_KFE Recloser,Default,td_btpbk,None,,,
Ergon_KF_KFE Recloser,Default,td_btrip,None,,,
Ergon_KF_KFE Recloser,Default,td_cnt,None,,,
Ergon_KF_KFE Recloser,Default,td_fR,None,,,
Ergon_KF_KFE Recloser,Default,td_fRC,None,,,
Ergon_KF_KFE Recloser,Default,td_fX,None,,,
Ergon_KF_KFE Recloser,Default,td_fXC,None,,,
Ergon_KF_KFE Recloser,Default,td_fZ,None,,,
Ergon_KF_KFE Recloser,Default,td_fZC,None,,,
Ergon_KF_KFE Recloser,Default,td_flim,None,,,
Ergon_KF_KFE Recloser,Default,td_fobj,None,,,
Ergon_KF_KFE Recloser,Default,td_fphi,None,,,
Ergon_KF_KFE Recloser,Default,td_fphiC,None,,,
Ergon_KF_KFE Recloser,Default,td_fpos,None,,,
Ergon_KF_KFE Recloser,Default,td_ftpbk,None,,,
Ergon_KF_KFE Recloser,Default,td_ftrip,None,,,
Ergon_KF_KFE Recloser,Default,typ_id,None,,,
Ergon_KF_KFE Recloser,Default,vtprim,None,,,
Ergon_KF_KFE Recloser,Default,vtsec,None,,,
Ergon_KF_KFE Recloser,Default,zratio,None,,,
Default,Trip 1,AttributeType,None,,,
Default,Trip 1,actset,None,,,
Default,Trip 1,application,None,,,
Default,Trip 1,appr_modby,None,,,
Default,Trip 1,appr_modif,None,,,
Default,Trip 1,appr_status,None,,,
Default,Trip 1,cDisplayName,None,,,
Default,Trip 1,cUserDefIndex,None,,,
Default,Trip 1,c_category,None,,,
Default,Trip 1,cbranch,None,,,
Default,Trip 1,cbranchid,None,,,
Default,Trip 1,cctprim,None,,,
Default,Trip 1,cctsec,None,,,
Default,Trip 1,ccub,None,,,
Default,Trip 1,charact,None,,,
Default,Trip 1,chr_name,None,,,
Default,Trip 1,ciDist,None,,,
Default,Trip 1,ciDistAll,None,,,
Default,Trip 1,ciDistAllRoot,None,,,
Default,Trip 1,ciDistRoot,None,,,
Default,Trip 1,ciEarthed,None,,,
Default,Trip 1,ciEnergized,None,,,
Default,Trip 1,ciLater,None,,,
Default,Trip 1,ciOutaged,None,,,
Default,Trip 1,cn_bus,None,,,
Default,Trip 1,cn_rembus,None,,,
Default,Trip 1,constr,None,,,
Default,Trip 1,contents,None,,,
Default,Trip 1,cpArea,None,,,
Default,Trip 1,cpBranch,None,,,
Default,Trip 1,cpCt,None,,,
Default,Trip 1,cpFeed,None,,,
Default,Trip 1,cpGrid,None,,,
Default,Trip 1,cpHeadFold,None,,,
Default,Trip 1,cpMeteostat,None,,,
Default,Trip 1,cpOperator,None,,,
Default,Trip 1,cpOwner,None,,,
Default,Trip 1,cpShc,None,,,
Default,Trip 1,cpSite,None,,,
Default,Trip 1,cpSubstat,None,,,
Default,Trip 1,cpSupplySubstation,None,,,
Default,Trip 1,cpSupplyTransformer,None,,,
Default,Trip 1,cpSupplyTrfStation,None,,,
Default,Trip 1,cpVt,None,,,
Default,Trip 1,cpZone,None,,,
Default,Trip 1,ctprim,None,,,
Default,Trip 1,ctsec,None,,,
Default,Trip 1,cvtprim,None,,,
Default,Trip 1,cvtsec,None,,,
Default,Trip 1,dat_src,None,,,
Default,Trip 1,dataExtUnit,None,,,
Default,Trip 1,desc,None,,,
Default,Trip 1,dev_no,None,,,
Default,Trip 1,doc_id,None,,,
Default,Trip 1,efaultmaxi,None,,,
Default,Trip 1,efaultmini,None,,,
Default,Trip 1,fold_id,None,,,
Default,Trip 1,for_name,None,,,
Default,Trip 1,gnrl_modby,None,,,
Default,Trip 1,gnrl_modif,None,,,
Default,Trip 1,iComDate,None,,,
Default,Trip 1,iSchemeStatus,None,,,
Default,Trip 1,isSubRelay,None,,,
Default,Trip 1,loc_name,None,,,
Default,Trip 1,outserv,ON,,,
Default,Trip 1,pOperator,None,,,
Default,Trip 1,pOwner,None,,,
Default,Trip 1,pReference,None,,,
Default,Trip 1,pdiselm,None,,,
Default,Trip 1,pelm,None,,,
Default,Trip 1,phfaultmaxi,None,,,
Default,Trip 1,phfaultmini,None,,,
Default,Trip 1,root_id,None,,,
Default,Trip 1,sernum,None,,,
Default,Trip 1,sw_settingsGroups,None,,,
Default,Trip 1,td_bR,None,,,
Default,Trip 1,td_bRC,None,,,
Default,Trip 1,td_bX,None,,,
Default,Trip 1,td_bXC,None,,,
Default,Trip 1,td_bZ,None,,,
Default,Trip 1,td_bZC,None,,,
Default,Trip 1,td_blim,None,,,
Default,Trip 1,td_bobj,None,,,
Default,Trip 1,td_bphi,None,,,
Default,Trip 1,td_bphiC,None,,,
Default,Trip 1,td_bpos,None,,,
Default,Trip 1,td_btpbk,None,,,
Default,Trip 1,td_btrip,None,,,
Default,Trip 1,td_cnt,None,,,
Default,Trip 1,td_fR,None,,,
Default,Trip 1,td_fRC,None,,,
Default,Trip 1,td_fX,None,,,
Default,Trip 1,td_fXC,None,,,
Default,Trip 1,td_fZ,None,,,
Default,Trip 1,td_fZC,None,,,
Default,Trip 1,td_flim,None,,,
Default,Trip 1,td_fobj,None,,,
Default,Trip 1,td_fphi,None,,,
Default,Trip 1,td_fphiC,None,,,
Default,Trip 1,td_fpos,None,,,
Default,Trip 1,td_ftpbk,None,,,
Default,Trip 1,td_ftrip,None,,,
Default,Trip 1,typ_id,None,,,
Default,Trip 1,vtprim,None,,,
Default,Trip 1,vtsec,None,,,
Default,Trip 1,zratio,None,,,
Trip 1,Earth Trip Logic,AttributeType,None,,,
Trip 1,Earth Trip Logic,cDisplayName,None,,,
Trip 1,Earth Trip Logic,cUserDefIndex,None,,,
Trip 1,Earth Trip Logic,charact,None,,,
Trip 1,Earth Trip Logic,chr_name,None,,,
Trip 1,Earth Trip Logic,ciDist,None,,,
Trip 1,Earth Trip Logic,ciDistAll,None,,,
Trip 1,Earth Trip Logic,ciDistAllRoot,None,,,
Trip 1,Earth Trip Logic,ciDistRoot,None,,,
Trip 1,Earth Trip Logic,ciEarthed,None,,,
Trip 1,Earth Trip Logic,ciEnergized,None,,,
Trip 1,Earth Trip Logic,ciLater,None,,,
Trip 1,Earth Trip Logic,ciOutaged,None,,,
Trip 1,Earth Trip Logic,cpArea,None,,,
Trip 1,Earth Trip Logic,cpBranch,None,,,
Trip 1,Earth Trip Logic,cpFeed,None,,,
Trip 1,Earth Trip Logic,cpGrid,None,,,
