asset_id,equip_no,plant_no
30063107,000002256911,DO-885334                     
30062175,000002530400,DO-56997                      
40217039,000002256133,DO-62909                      
50084663,000002114702,DO-64561                      
50084177,000002311348,DO-82460                      
40218091,000002487224,DO-63056                      
81704505,000002234615,DO-89286                      
60005330,000002105505,DO-84026                      
80120505,000002265500,DO-896037                     
40213926,000002577365,DO-62390                      
40211814,000002305009,DO-79732                      
84025360,000006800046,DO-648000                     
84016720,000006788940,DO-1591684                    
84028161,000006801934,DO-651521                     
84017634,000006790726,DO-639040                     
84006272,000006770580,DO-609847                     
82981711,000006040562,DO-390160                     
82978683,000006028709,DO-384800                     
30064116,000002853067,DO-77051                      
84138250,000006996186,DO-711282                     
84565509,000007714810,DO-1074243                    
84269537,000007195296,DO-833600                     
40206320,000002360919,DO-78218                      
40209325,000002315715,DO-79657                      
60027024,000002101199,DO-85240                      
40204427,000002779925,DO-793305                     
60006128,000002176316,DO-84613                      
40216683,000002556759,DO-62827                      
40216685,000002556862,DO-62829                      
40218101,000002487645,DO-63062                      
40218279,000002489155,DO-63082                      
50084175,000002311262,DO-82458                      
50084176,000002311303,DO-82459                      
40219334,000002216842,DO-80061                      
40218064,000002486322,DO-63038                      
40218087,000002487137,DO-63054                      
60327795,000002646876,DO-85656                      
40219211,000002213790,DO-80024                      
40216518,000002684349,DO-62793                      
10030057,000002691065,DO-53761                      
40213065,000002643119,DO-61998                      
40214093,000002290758,DO-62420                      
84245363,000007161273,DO-817120                     
30184516,000002405924,DO-77714                      
60005657,000002090785,DO-84278                      
60006124,000002176213,DO-84610                      
60006036,000002825156,DO-84568                      
40213727,000002302554,DO-62293                      
50074325,000002595053,DO-64002                      
40213653,000002301445,DO-62267                      
40213516,000002299199,DO-62211                      
40213779,000002303645,DO-62320                      
40213514,000002299160,DO-62210                      
40213714,000002302301,DO-62287                      
83828511,000006288670,DO-452321                     
84027629,000006920716,DO-650961                     
84042811,000006820473,DO-663840                     
