asset_id,equip_no,plant_no
60000355,000002290074,GS-65143                      
60000365,000002387593,GS-94898                      
21025123,000002472080,GS-73639                      
10030173,000002299728,GS-53847                      
60000978,000002239088,GS-65698                      
60001085,000002242315,GS-65757                      
60000133,000002327639,GS-64952                      
10029418,000002308024,GS-53282                      
60000891,000002315066,GS-65621                      
10029129,000002816007,GS-53091                      
10029865,000002134583,GS-816100                     
60005713,000002180295,GS-84329                      
60000366,000002290494,GS-65154                      
60000399,000002291676,GS-65183                      
60000763,000002247645,GS-65504                      
60000409,000002292098,GS-65193                      
60000562,000002319786,GS-65326                      
60001116,000002278659,GS-65773                      
60000992,000002239587,GS-65710                      
60000829,000002312613,GS-65566                      
60000221,000002391963,GS-65028                      
81645701,000002507335,GS-70036                      
30061701,000002534326,GS-56631                      
10109072,000002266789,GS-814308                     
60000420,000002292439,GS-65202                      
10105818,000002788563,GS-70952                      
10105746,000002275712,GS-70915                      
21006405,000002744980,GS-54607                      
21009703,000002214591,GS-54888                      
10029629,000002808177,GS-53433                      
10135984,000002738906,GS-71586                      
21024034,000002514015,GS-72866                      
60000873,000002314356,GS-65604                      
21021177,000002212723,GS-55226                      
21006683,000002746237,GS-54628                      
81649720,000002505814,GS-70266                      
21010366,000002216534,GS-54937                      
21023927,000002510654,GS-72802                      
21022133,000002423921,GS-55370                      
21022351,000002577919,GS-55494                      
10129611,000002738952,GS-71587                      
50073172,000002491287,GS-81666                      
50072697,000002748824,GS-81591                      
30184444,000002402428,GS-77643                      
50072888,000002655885,GS-81631                      
50072528,000002665995,GS-81564                      
50076125,000002557755,GS-64238                      
30184498,000002405189,GS-77696                      
30184556,000002786266,GS-77754                      
60000561,000002319727,GS-65325                      
40213091,000002644095,GS-62017                      
50084143,000002310252,GS-82445                      
50060523,000002180236,GS-80579                      
60001863,000002229413,GS-66307                      
10029100,000002814619,GS-53066                      
60000927,000002316657,GS-65654                      
60000627,000002322565,GS-65384                      
10029318,000002305007,GS-53206                      
10029226,000002818393,GS-53138                      
10029497,000002310376,GS-53344                      
21023240,000002176565,GS-72303                      
30061522,000002261632,GS-56456                      
30061547,000002262464,GS-56481                      
30062001,000002526131,GS-56919                      
60000373,000002290784,GS-65161                      
60000404,000002291903,GS-65188                      
60001067,000002241693,GS-65746                      
60001520,000002275796,GS-930112                     
60000042,000002324483,GS-64885                      
10029193,000002817542,GS-53121                      
21025339,000002462437,GS-73840                      
10029470,000002309639,GS-53326                      
10029278,000002820199,GS-53174                      
81648305,000002680725,GS-70162                      
30061708,000002534719,GS-56638                      
10029999,000002688527,GS-53710                      
60001960,000002269485,GS-66387                      
30061802,000002539612,GS-56730                      
30062029,000002527605,GS-56948                      
21002928,000002246271,GS-54288                      
21025145,000002133702,GS-73660                      
21009129,000002592446,GS-54847                      
21022611,000002534502,GS-55692                      
21022222,000002572411,GS-55397                      
21009538,000002214108,GS-54874                      
21025047,000002468563,GS-804218                     
21025198,000002135713,GS-73712                      
50073238,000002736932,GS-81672                      
10114663,000002267756,GS-71138                      
10029747,000002131807,GS-53518                      
40204812,000002412889,GS-61043                      
10029621,000002807820,GS-53426                      
10029374,000002306820,GS-53251                      
10029390,000002307331,GS-53264                      
10029868,000002134631,GS-53604                      
10029525,000002804700,GS-53362                      
50067437,000002851560,GS-63758                      
50068634,000002806028,GS-81040                      
50063496,000002118771,GS-63193                      
10128040,000002268745,GS-71171                      
50060534,000002382431,GS-80583                      
60001716,000002335565,GS-66193                      
21025120,000002471716,GS-73636                      
21022121,000002423523,GS-55362                      
60000859,000002313799,GS-65593                      
60000308,000002395750,GS-65104                      
81681085,000002385241,GS-94464                      
21024110,000002516739,GS-72917                      
10129592,000002738516,GS-71580                      
40213072,000002643410,GS-62004                      
50076901,000002413779,GS-64304                      
50076656,000002514301,GS-64285                      
50072386,000002660465,GS-81528                      
10129280,000002735941,GS-71531                      
10129267,000002735629,GS-71525                      
40213071,000002643365,GS-62003                      
50080286,000002396522,GS-82077                      
50061677,000002166000,GS-80801                      
50068243,000002113021,GS-63916                      
50063823,000002251290,GS-63241                      
50061791,000002314190,GS-80825                      
50062795,000002305335,GS-80981                      
50066887,000002861974,GS-63682                      
10029873,000002134758,GS-53608                      
21025174,000002134842,GS-73688                      
10029141,000002816303,GS-53097                      
60000063,000002325397,GS-64904                      
21002709,000002245630,GS-54276                      
60001132,000002279236,GS-65789                      
60000947,000002238106,GS-65671                      
60001779,000002337588,GS-66240                      
50082338,000002376322,GS-82139                      
60000568,000002320043,GS-65331                      
21025321,000002461544,GS-73823                      
21025324,000002461715,GS-73826                      
10105910,000002791156,GS-70997                      
21002007,000002243495,GS-54217                      
21002638,000002245248,GS-54265                      
21023477,000002523013,GS-72492                      
21025327,000002461873,GS-73829                      
40204784,000002412177,GS-61027                      
10029362,000002306454,GS-53242                      
50062517,000002132815,GS-80926                      
50072409,000002661352,GS-81538                      
50080046,000002382004,GS-81953                      
50079989,000002380261,GS-81927                      
50068517,000002801942,GS-81020                      
50062532,000002133220,GS-80930                      
50065780,000002184644,GS-63529                      
50065916,000002188445,GS-63550                      
50063641,000002123546,GS-63206                      
60004770,000002190596,GS-83611                      
80114637,000002731297,GS-68178                      
80115489,000002734663,GS-68242                      
82934424,000005998795,GS-369371                     
30061654,000002112381,GS-56584                      
30061947,000002079998,GS-56868                      
84505508,000007617523,GS-1033680                    
30184450,000002402712,GS-77649                      
21025284,000002459776,GS-73788                      
84431549,000007451152,GS-975360                     
111616273,000008739495,GS-1833921                    
10128648,000002262775,GS-71466                      
84342864,000007624366,GS-900641                     
84292461,000007263401,GS-852881                     
10132048,000002274635,GS-67929                      
30061958,000002080447,GS-56879                      
50082580,000002397155,GS-82231                      
10130564,000002727503,GS-71773                      
60327051,000002663479,GS-85395                      
50084180,000002311390,GS-82461                      
50083840,000002376262,GS-82395                      
84891992,000008075069,GS-1269440                    
