asset_id,equip_no,plant_no
10030683,000002802585,RC-54094                      
50072453,000002663038,RC-81550                      
30184238,000002797819,RC-77503                      
10128286,000002747034,RC-71322                      
40200363,000002490398,RC-58754                      
40200461,000002491305,RC-58773                      
111534741,000008678608,RC-794473                     
50065376,000002230758,RC-63479                      
84295255,000007249026,RC-857604                     
60307033,000002097173,RC-67307                      
84244435,000007158843,RC-782881                     
84920381,000008102442,RC-1292482                    
85067783,000008245473,RC-1367120                    
84308300,000007264470,RC-870240                     
81705506,000002171869,RC-89310                      
84668048,000007864276,RC-1123920                    
40222825,000002554261,RC-87680                      
60002057,000002271038,RC-52534                      
21007682,000002751338,RC-54716                      
84398949,000007396528,RC-951042                     
60002263,000002189011,RC-86841                      
60002293,000002271838,RC-66467                      
60002306,000002271975,RC-66477                      
60002314,000002272194,RC-66483                      
60002312,000002272157,RC-66482                      
60001495,000002275169,RC-66035                      
10029245,000002819067,RC-53152                      
40200151,000002085025,RC-58660                      
25272982,000002085022,RC-55964                      
40200144,000002084788,RC-58653                      
40202153,000002075797,RC-59192                      
111865844,000008894117,RC-852142                     
82590610,000005333639,RC-214641                     
40222886,000002397942,RC-80352                      
84544716,000007682753,RC-1005217                    
10029864,000002134548,RC-53601                      
84320448,000007282595,RC-881600                     
84348611,000007322885,RC-907840                     
84348615,000007322889,RC-907844                     
84164097,000007030566,RC-677526                     
40196093,000002797501,RC-57844                      
40199981,000002083555,RC-58617                      
40196311,000002116801,RC-57875                      
40196290,000002116609,RC-57869                      
40196709,000002120704,RC-57972                      
84328699,000007295760,RC-889761                     
84373107,000007357381,RC-935840                     
84384873,000007373668,RC-940250                     
60002338,000002272940,RC-66502                      
40207845,000002347477,RC-79130                      
25274973,000002347130,RC-56154                      
83868073,000006379589,RC-479604                     
84166725,000007033369,RC-752720                     
82579473,000005318769,RC-216322                     
82296098,000002175875,RC-94687                      
50070299,000002046861,RC-81262                      
40214391,000002570015,RC-62482                      
50065044,000002082121,RC-63442                      
81705516,000002172175,RC-89320                      
81708279,000002451613,RC-89381                      
81713457,000002336832,RC-89485                      
40203937,000002859014,RC-60416                      
40205393,000002407617,RC-61456                      
40202159,000002075933,RC-59196                      
40207113,000002752497,RC-78677                      
40205490,000002764259,RC-61521                      
40207295,000002356435,RC-78813                      
40202455,000002040093,RC-59404                      
40205311,000002404713,RC-61386                      
25266214,000002404737,RC-74052                      
40205345,000002405986,RC-61416                      
40202600,000002043340,RC-59472                      
111755588,000008835627,RC-818007                     
60002315,000002272226,RC-66484                      
84917099,000008097803,RC-1298080                    
84898848,000008080465,RC-1264480                    
84043601,000006821804,RC-664170                     
84823988,000008014919,RC-1229360                    
10030258,000002302387,RC-53914                      
84149478,000007013036,RC-703841                     
84900829,000008083121,RC-883750                     
85185071,000008434859,RC-1429841                    
84136157,000006991679,RC-739848                     
85247134,000008502342,RC-1467603                    
84049119,000006850047,RC-665533                     
83878403,000006402641,RC-491940                     
40200031,000002084001,RC-58630                      
111544320,000008684165,RC-796047                     
30187008,000002710698,RC-68687                      
112430459,000009183930,RC-880127                     
110785201,000008647040,RC-790613                     
30184292,000002800456,RC-77529                      
50069090,000002798317,RC-81101                      
60002588,000002184174,RC-66708                      
84470500,000007553437,RC-1001040                    
84894081,000008076034,RC-613630                     
84167425,000007033946,RC-753520                     
60325252,000002021891,RC-67529                      
84909846,000008090057,RC-1293040                    
84909857,000008090063,RC-1293120                    
84906868,000008087765,RC-1288080                    
84933185,000008114180,RC-1313600                    
84934410,000008115505,RC-1314882                    
84050215,000006851289,RC-669840                     
84050219,000006851292,RC-669844                     
84044027,000006824710,RC-665040                     
30064137,000002854012,RC-77070                      
84016712,000006788935,RC-635760                     
84926414,000008108307,RC-615006                     
111526003,000008673303,RC-793839                     
111524215,000008672350,RC-792924                     
111527935,000008674640,RC-794379                     
111527938,000008674651,RC-794382                     
60002053,000002270891,RC-66423                      
60002637,000002184630,RC-52537                      
40207917,000002348688,RC-79161                      
60002408,000002108129,RC-66544                      
40208435,000002660462,RC-79426                      
40208454,000002660978,RC-79437                      
50069701,000002789014,RC-81193                      
50069681,000002788175,RC-81190                      
40208551,000002663501,RC-79480                      
40207811,000002346650,RC-79109                      
50067139,000002576071,RC-63715                      
60002333,000002272742,RC-66497                      
60002539,000002182512,RC-66660                      
40201704,000002781685,RC-58872                      
60002482,000002110685,RC-66607                      
40207086,000002751542,RC-78658                      
40203763,000002853502,RC-60296                      
60330299,000005514668,RC-234802                     
40208037,000002282445,RC-79234                      
40204300,000002775138,RC-60674                      
82900775,000005922081,RC-355130                     
40206082,000002757637,RC-78069                      
40208588,000002664481,RC-79499                      
