asset_id,plant_no,asset_no,asset_desc,network_asset_type_id,assembly,rwo_collection_name,rwo_key_id,ellipse_equip_no,cb_asset_id,cb_primary_voltage,cb_feeder_id
112176406,BRODSS-EA08-J01               ,EA08J01,BRODSS OLIVE DWNS FDR MAIN PROT SCH,RY,PROTECTION/SUB/SCHEME/M,EO_PROTECTIVE_EQPT_INST,134810842,000008996007,112176392,66,112176413
112176386,BRODSS-EA08-J02               ,EA08J02,BRODSS OLIVE DWNS FDR B PROT SCH,RY,PROTECTION/SUB/SCHEME/B,EO_PROTECTIVE_EQPT_INST,134810917,000008996009,112176392,66,112176413
112175993,DAGLSS-TX02-J09               ,TX02J09,DAGLSS TRANSF 2 VRR PROT SCHEME,RY,PROTECTION/SUB/RELAY,EO_PROTECTIVE_EQPT_INST,129862504,000008995967,25270949,11,
112175993,DAGLSS-TX02-J09               ,TX02J09,DAGLSS TRANSF 2 VRR PROT SCHEME,RY,PROTECTION/SUB/RELAY,EO_PROTECTIVE_EQPT_INST,129862504,000008995967,25270948,66,
112175999,DAGLSS-TX01-J09               ,TX01J09,DAGLSS TRANSF 1 VRR PROT SCHEME,RY,PROTECTION/SUB/RELAY,EO_PROTECTIVE_EQPT_INST,129862509,000008995968,25270941,11,
112175999,DAGLSS-TX01-J09               ,TX01J09,DAGLSS TRANSF 1 VRR PROT SCHEME,RY,PROTECTION/SUB/RELAY,EO_PROTECTIVE_EQPT_INST,129862509,000008995968,25270940,66,
111766384,ATHOSS-GD01-J01               ,GD01J01,ATHOSS LV SWITCHGEAR,RY,PROTECTION/SUB/SCHEME/FDR,EO_PROTECTIVE_EQPT_INST,97516908,000008842073,111639371,0.415,
111766384,ATHOSS-GD01-J01               ,GD01J01,ATHOSS LV SWITCHGEAR,RY,PROTECTION/SUB/SCHEME/FDR,EO_PROTECTIVE_EQPT_INST,97516908,000008842073,111639344,0.415,
111766721,WANDSS-TX01-J09               ,TX01J09,WANDSS TRANSF 1 VRR PROT SCHEME,RY,PROTECTION/SUB/SCHEME,EO_PROTECTIVE_EQPT_INST,98963819,000008843716,60323148,22,
111766721,WANDSS-TX01-J09               ,TX01J09,WANDSS TRANSF 1 VRR PROT SCHEME,RY,PROTECTION/SUB/SCHEME,EO_PROTECTIVE_EQPT_INST,98963819,000008843716,60323146,33,
111766722,WANDSS-TX02-J09               ,TX02J09,WANDSS TRANSF 2 VRR PROT SCHEME,RY,PROTECTION/SUB/SCHEME,EO_PROTECTIVE_EQPT_INST,98963824,000008843717,60323149,22,
111766722,WANDSS-TX02-J09               ,TX02J09,WANDSS TRANSF 2 VRR PROT SCHEME,RY,PROTECTION/SUB/SCHEME,EO_PROTECTIVE_EQPT_INST,98963824,000008843717,60323147,33,
111776666,POAU-FB09-J01                 ,FB09J01,POAUSS PORT GMS 3 PROT SCHEME,RY,PROTECTION/SUB/SCHEME,EO_PROTECTIVE_EQPT_INST,100866316,000008848589,21024285,11,82564423
111776658,POAU-FB08-J01                 ,FB08J01,POAUSS TPA SUB C PROT SCHEME,RY,PROTECTION/SUB/SCHEME,EO_PROTECTIVE_EQPT_INST,100866321,000008848590,21024286,11,20010419
111776669,POAU-FB07-J01                 ,FB07J01,POAUSS BULK SUGAR TERM 2 PROT SCHEME,RY,PROTECTION/SUB/SCHEME,EO_PROTECTIVE_EQPT_INST,100866326,000008848591,21024287,11,20010419
111776651,POAU-FB05-J01                 ,FB05J01,POAUSS BULK SUGAR TERM 1 PROT SCHEME,RY,PROTECTION/SUB/SCHEME,EO_PROTECTIVE_EQPT_INST,100866331,000008848592,21024289,11,20010419
111776535,POATSS-FB02-J01               ,FB02J01,POATSS SUB 701 1 PROT SCHEME,RY,PROTECTION/SUB/SCHEME,EO_PROTECTIVE_EQPT_INST,100127670,000008848494,21024290,11,82564423
111776541,POATSS-FB03-J01               ,FB03J01,POATSS TPA SUB B PROT SCHEME,RY,PROTECTION/SUB/SCHEME,EO_PROTECTIVE_EQPT_INST,100127675,000008848495,21024291,11,82564423
111776551,POATSS-FB04-J01               ,FB04J01,POATSS XSTRATA PROT SCHEME,RY,PROTECTION/SUB/SCHEME,EO_PROTECTIVE_EQPT_INST,100127680,000008848496,21024300,11,82564423
111742093,INGHSS-TX02-J09               ,TX02J09,INGHSS TRANSF 2 PROT SCHEME,RY,PROTECTION/SUB/SCHEME,EO_PROTECTIVE_EQPT_INST,93351699,000008826269,25271470,11,
111742093,INGHSS-TX02-J09               ,TX02J09,INGHSS TRANSF 2 PROT SCHEME,RY,PROTECTION/SUB/SCHEME,EO_PROTECTIVE_EQPT_INST,93351699,000008826269,25271469,66,
111748932,MOMGSS-EA52-J02               ,EA52J02,MOMGSS EGANS HILL FDR BACKUP PROT ,RY,PROTECTION/SUB/SCHEME/B,EO_PROTECTIVE_EQPT_INST,94549586,000008831786,40211047,66,
111746159,JANDSS-TX52-J09               ,TX52J09,JANDSS TRANS 1 VRR PROT SCHEME,RY,PROTECTION/SUB/SCHEME,EO_PROTECTIVE_EQPT_INST,93828214,000008833183,60323169,33,
111746160,JANDSS-TX53-J09               ,TX53J09,TX53J09 TRANS 2 VRR PROT SCHEME,RY,PROTECTION/SUB/SCHEME,EO_PROTECTIVE_EQPT_INST,93828219,000008833184,60323170,33,
111742098,INGHSS-TX01-J09               ,TX01J09,INGHSS TRANSF 1 PROT SCHEME,RY,PROTECTION/SUB/SCHEME,EO_PROTECTIVE_EQPT_INST,93351694,000008826268,25271458,11,
111742098,INGHSS-TX01-J09               ,TX01J09,INGHSS TRANSF 1 PROT SCHEME,RY,PROTECTION/SUB/SCHEME,EO_PROTECTIVE_EQPT_INST,93351694,000008826268,25271457,66,
111749461,CARISS-EA07-J02               ,EA07J02,CARISS CHARTER TOWERS BACKUP PROT,RY,PROTECTION/SUB/SCHEME/B,EO_PROTECTIVE_EQPT_INST,90394295,000008831657,25270873,66,
112645673,MSESSS-FB33-J01               ,FB33J01,MSESSS BOLDON HILL FDR PROT SCH,RY,PROTECTION/SUB/SCHEME/M,EO_PROTECTIVE_EQPT_INST,213699562,000009392222,112645637,11,112645667
111793213,THISGS-GA07-J01               ,GA07J01,THISGS,RY,PROTECTION/GEN/SCHEME,EO_PROTECTIVE_EQPT_INST,106293780,000008859839,10134324,6.6,
111803277,PEG1GS-FZ01-J01               ,FZ01J01,PEG3GS FZ01 MAIN PROT SCHEME,RY,PROTECTION/GEN/SCHEME/M,EO_PROTECTIVE_EQPT_INST,101218441,000008863574,84398731,22,
111792777,OAKESS-EB04-J02               ,EB04J02,OAKESS CARRINGTON RD FDR B PROT SCH,RY,PROTECTION/SUB/SCHEME/B,EO_PROTECTIVE_EQPT_INST,95696146,000008858243,60330490,33,
111795181,YARASS-TX03-J01               ,TX03J01,YARASS TRANSF 3 X PROT SCHEME,RY,PROTECTION/SUB/SCHEME/X,EO_PROTECTIVE_EQPT_INST,104855489,000008858759,60324593,33,
111795179,YARASS-TX03-J02               ,TX03J02,YARASS TRANSF 3 Y PROT SCHEME,RY,PROTECTION/SUB/SCHEME/Y,EO_PROTECTIVE_EQPT_INST,104855494,000008858762,60324593,33,
112655619,YAISGS-GD94-J02               ,GD94J02,YAISGS YAM NO 4 BACKUP PROT,RY,PROTECTION/GEN/SCHEME/B,EO_PROTECTIVE_EQPT_INST,231476670,000009399404,111668213,0.415,
112655622,YAISGS-GD92-J02               ,GD92J02,YAISGS YAM NO 2 BACKUP PROT SCHEME,RY,PROTECTION/GEN/SCHEME/B,EO_PROTECTIVE_EQPT_INST,231476675,000009399405,82433523,0.415,10020757
112788762,ELARSS-FA05-J01               ,FA05J01,ELARSS RMU 1 FDR PROT SCHEME,RY,PROTECTION/SUB/SCHEME/FDR,EO_PROTECTIVE_EQPT_INST,248537525,000009488336,83864001,22,83864041
112788761,ELARSS-FA06-J01               ,FA06J01,ELARSS FUTURE/RMU 3 FDR PROT SCHEME,RY,PROTECTION/SUB/SCHEME/FDR,EO_PROTECTIVE_EQPT_INST,248537530,000009488337,83863976,22,
112788764,ELARSS-FA09-J01               ,FA09J01,ELARSS FUTURE FDR PROT SCHEME,RY,PROTECTION/SUB/SCHEME/FDR,EO_PROTECTIVE_EQPT_INST,248537535,000009488338,83864030,22,
112788758,ELARSS-FA10-J01               ,FA10J01,ELARSS FUTURE FDR PROT SCHEME,RY,PROTECTION/SUB/SCHEME/FDR,EO_PROTECTIVE_EQPT_INST,248537540,000009488339,83864024,22,
112788763,ELARSS-FA11-J01               ,FA11J01,ELARSS FUTURE FDR PROT SCHEME,RY,PROTECTION/SUB/SCHEME/FDR,EO_PROTECTIVE_EQPT_INST,248537545,000009488340,83864018,22,
111832131,NESMSS-TX02-J03               ,TX02J03,NESMSS TRASNF 2 NEF PROT SCHEME,RY,PROTECTION/SUB/SCHEME,EO_PROTECTIVE_EQPT_INST,115336840,000008887269,25271953,11,
111832133,NESMSS-TX01-J09               ,TX01J09,NESMSS TRANSF 1 VRR  PROT SCHEME,RY,PROTECTION/SUB/SCHEME,EO_PROTECTIVE_EQPT_INST,115336850,000008887271,25271949,11,
111748496,CALLSS-TX01-J09               ,TX01J09,CALLSS TRANSF 1 VRR PROT SCHEME,RY,PROTECTION/SUB/SCHEME,EO_PROTECTIVE_EQPT_INST,94201784,000008835234,40210319,11,
111748500,CALLSS-TX02-J09               ,TX02J09,CALLSS  TRANSF 2 VRR PROT SCHEME,RY,PROTECTION/SUB/SCHEME,EO_PROTECTIVE_EQPT_INST,94201789,000008835235,40210315,11,
111745425,DAANSS-TX02-J01               ,TX02J01,DAANSS TRANSF 2  X PROT SCHEME,RY,PROTECTION/SUB/SCHEME/X,EO_PROTECTIVE_EQPT_INST,92222414,000008835665,82745019,33,
111745424,DAANSS-TX02-J02               ,TX02J02,DAANSS TRANSF 2 Y PROT SCHEME,RY,PROTECTION/SUB/SCHEME/Y,EO_PROTECTIVE_EQPT_INST,92222419,000008835666,82745019,33,
111756988,HOWASS-EA04-J01               ,EA04J01,HOWASS ISIS FDR MAIN PROT SCHEME,RY,PROTECTION/SUB/SCHEME/M,EO_PROTECTIVE_EQPT_INST,94399424,000008836299,111748772,66,
111756983,HOWASS-EA04-J02               ,EA04J02,HOWASS ISIS FDR BACKUP PROT SCHEME,RY,PROTECTION/SUB/SCHEME/B,EO_PROTECTIVE_EQPT_INST,94399414,000008836306,111748772,66,
111757755,HOWASS-TX03-J01               ,TX03J01,HOWASS TRANSF 3 MAIN PROT SCHEME,RY,PROTECTION/SUB/SCHEME/M,EO_PROTECTIVE_EQPT_INST,86404491,000008837099,50080877,11,
111757755,HOWASS-TX03-J01               ,TX03J01,HOWASS TRANSF 3 MAIN PROT SCHEME,RY,PROTECTION/SUB/SCHEME/M,EO_PROTECTIVE_EQPT_INST,86404491,000008837099,111757751,66,
111757747,HOWASS-TX03-J02               ,TX03J02,HOWASS TRANSF 3 BACKUP PROT SCHEME,RY,PROTECTION/SUB/SCHEME/B,EO_PROTECTIVE_EQPT_INST,86404496,000008837102,50080877,11,
111757747,HOWASS-TX03-J02               ,TX03J02,HOWASS TRANSF 3 BACKUP PROT SCHEME,RY,PROTECTION/SUB/SCHEME/B,EO_PROTECTIVE_EQPT_INST,86404496,000008837102,111757751,66,
111591425,CANNSS-FB01-J02               ,FB01J02,CANNSS  CAP 1 FDR BACKUP SCHEME,RY,PROTECTION/SUB/SCHEME/FDR,EO_PROTECTIVE_EQPT_INST,71349130,000008719805,82649935,11,
84600737,HEPASS-MX02-J01               ,10533964,HEPASS CAPACITOR 2,RY,PROTECTION/SUB/SCHEME/FDR,EO_PROTECTIVE_EQPT_INST,15669333,000000623781,21023776,11,20007392
85242453,MORASS-TX03-J04               ,FB08J04,MORASS  TRANSF 3 MAIN PROT,RY,PROTECTION/SUB/SCHEME/M,EO_PROTECTIVE_EQPT_INST,15686823,000008497985,30184708,11,
85242453,MORASS-TX03-J04               ,FB08J04,MORASS  TRANSF 3 MAIN PROT,RY,PROTECTION/SUB/SCHEME/M,EO_PROTECTIVE_EQPT_INST,15686823,000008497985,30184711,66,
85242453,MORASS-TX03-J04               ,FB08J04,MORASS  TRANSF 3 MAIN PROT,RY,PROTECTION/SUB/SCHEME/M,EO_PROTECTIVE_EQPT_INST,15686823,000008497985,30185657,132,
84602791,SKIESS-FB11-J01               ,FB11J01,SKIESS 11KV FDR 11 BAY,RY,PROTECTION/SUB/SCHEME/FDR,EO_PROTECTIVE_EQPT_INST,15678233,000005519598,82738941,11,82841186
84603658,ALCRSS-TX03-J02               ,TX03J01,ALCRSS TRANSF 3 PROT SCHEME,RY,PROTECTION/SUB/SCHEME/FDR,EO_PROTECTIVE_EQPT_INST,15660493,000005834524,30185010,33,
84603658,ALCRSS-TX03-J02               ,TX03J01,ALCRSS TRANSF 3 PROT SCHEME,RY,PROTECTION/SUB/SCHEME/FDR,EO_PROTECTIVE_EQPT_INST,15660493,000005834524,30185645,132,
84603547,ALCRSS-EB03-J01               ,EB03J01,ALCRSS SARINA 1 X,RY,PROTECTION/SUB/SCHEME/X,EO_PROTECTIVE_EQPT_INST,15660443,000000708532,30185011,33,30053795
84602007,NOLASS-TX51-J01               ,TX01J01,NOLASS TRANSF 1 MAIN PROT SCHEME,RY,PROTECTION/SUB/SCHEME/FDR,EO_PROTECTIVE_EQPT_INST,15674783,000000577034,111643524,66,
84795332,BERSSS-TX01-J02               ,TX01J02,BERSSS TRANSF 1 BACKUP,RY,PROTECTION/SUB/SCHEME/B,EO_PROTECTIVE_EQPT_INST,15682718,000007988414,83875567,11,
84795332,BERSSS-TX01-J02               ,TX01J02,BERSSS TRANSF 1 BACKUP,RY,PROTECTION/SUB/SCHEME/B,EO_PROTECTIVE_EQPT_INST,15682718,000007988414,83875633,66,
84795335,BERSSS-TX02-J03               ,TX02J03,BERSSS TRANSF 2 X,RY,PROTECTION/SUB/SCHEME/X,EO_PROTECTIVE_EQPT_INST,15682733,000007988415,83875566,11,
84795335,BERSSS-TX02-J03               ,TX02J03,BERSSS TRANSF 2 X,RY,PROTECTION/SUB/SCHEME/X,EO_PROTECTIVE_EQPT_INST,15682733,000007988415,83875632,66,
84795334,BERSSS-TX02-J02               ,TX02J02,BERSSS TRANSF 2 BACKUP,RY,PROTECTION/SUB/SCHEME/B,EO_PROTECTIVE_EQPT_INST,15682728,000007988416,83875566,11,
84795334,BERSSS-TX02-J02               ,TX02J02,BERSSS TRANSF 2 BACKUP,RY,PROTECTION/SUB/SCHEME/B,EO_PROTECTIVE_EQPT_INST,15682728,000007988416,83875632,66,
84795331,BERSSS-TX01-J01               ,TX01J01,BERSSS TRANSF 1 MAIN,RY,PROTECTION/SUB/SCHEME/M,EO_PROTECTIVE_EQPT_INST,15682713,000007988417,83875567,11,
84795331,BERSSS-TX01-J01               ,TX01J01,BERSSS TRANSF 1 MAIN,RY,PROTECTION/SUB/SCHEME/M,EO_PROTECTIVE_EQPT_INST,15682713,000007988417,83875633,66,
84795333,BERSSS-TX02-J01               ,TX02J01,BERSSS TRANSF 2 MAIN,RY,PROTECTION/SUB/SCHEME/M,EO_PROTECTIVE_EQPT_INST,15682723,000007988418,83875566,11,
84795333,BERSSS-TX02-J01               ,TX02J01,BERSSS TRANSF 2 MAIN,RY,PROTECTION/SUB/SCHEME/M,EO_PROTECTIVE_EQPT_INST,15682723,000007988418,83875632,66,
84829588,MERISS-EA02-J01               ,EA02J01,MERISS HOME HILL X,RY,PROTECTION/SUB/SCHEME/X,EO_PROTECTIVE_EQPT_INST,15683178,000008021089,83903784,66,
84829589,MERISS-EA02-J02               ,EA02J02,MERISS HOME HILL Y,RY,PROTECTION/SUB/SCHEME/Y,EO_PROTECTIVE_EQPT_INST,15683183,000008021090,83903784,66,
84600912,AYRZSS-FB53-J01               ,FB53J01,AYRZSS KLONDYKE MAIN PROT SCHEME,RY,PROTECTION/SUB/SCHEME/FDR,EO_PROTECTIVE_EQPT_INST,15661233,000000594430,21022290,11,20001246
84600923,AYRZSS-FB54-J01               ,FB54J01,AYRZSS MAIDAVALE MAIN PROT SCHEME,RY,PROTECTION/SUB/SCHEME/FDR,EO_PROTECTIVE_EQPT_INST,15661238,000000594498,21024968,11,20001263
84601023,AYRZSS-TX03-J02               ,TX03J02,AYRZSS TRANSF 3 BACKUP PROT SCHEME,RY,PROTECTION/SUB/SCHEME/Y,EO_PROTECTIVE_EQPT_INST,15661283,000000706064,25270519,11,
84601023,AYRZSS-TX03-J02               ,TX03J02,AYRZSS TRANSF 3 BACKUP PROT SCHEME,RY,PROTECTION/SUB/SCHEME/Y,EO_PROTECTIVE_EQPT_INST,15661283,000000706064,25270518,66,
84600857,AYRZSS-EA07-J01               ,EA07J01,AYRZSS MONA PARK MAIN PROT SCHEME,RY,PROTECTION/SUB/SCHEME/FDR,EO_PROTECTIVE_EQPT_INST,15661208,000000643670,25270514,66,
84602542,ROGLSS-EA66-J02               ,EA66J02,ROGLSS 6001 PARKHURST BACKUP PROT ,RY,PROTECTION/SUB/SCHEME/Y,EO_PROTECTIVE_EQPT_INST,15677128,000000551328,40211323,66,40001073
84602547,ROGLSS-EA63-J02               ,EA63J02,ROGLSS 6004 RTON SOUTH BACKUP PROT ,RY,PROTECTION/SUB/SCHEME/Y,EO_PROTECTIVE_EQPT_INST,15677148,000000681215,40211319,66,40001075
84602549,ROGLSS-EA64-J02               ,EA64J02,ROGLSS 6005 CANNING ST BACKUP PROT ,RY,PROTECTION/SUB/SCHEME/Y,EO_PROTECTIVE_EQPT_INST,15677158,000000681054,40211324,66,40001150
84602550,ROGLSS-EA62-J01               ,EA62J01,ROGLSS 6006 FRENCHVILLE MAIN PROT,RY,PROTECTION/SUB/SCHEME/X,EO_PROTECTIVE_EQPT_INST,15677163,000000681391,40211318,66,40001076
84601625,MILCSS-EA05-J01               ,EA05J01,MILCSS CAPE RIVER PROT SCHEME,RY,PROTECTION/SUB/SCHEME/X,EO_PROTECTIVE_EQPT_INST,15673098,000000700079,25271893,66,20013610
84601626,MILCSS-EA05-J02               ,EA05J02,MILCSS CAPE RIVER PROT SCHEME,RY,PROTECTION/SUB/SCHEME/Y,EO_PROTECTIVE_EQPT_INST,15673103,000000700135,25271893,66,20013610
84601648,MILCSS-TX02-J02               ,TX02J02,MILCSS 2 TRANSF Y PROT SCH,RY,PROTECTION/SUB/SCHEME/X,EO_PROTECTIVE_EQPT_INST,15673203,000000704890,25271872,66,
84601648,MILCSS-TX02-J02               ,TX02J02,MILCSS 2 TRANSF Y PROT SCH,RY,PROTECTION/SUB/SCHEME/X,EO_PROTECTIVE_EQPT_INST,15673203,000000704890,25271878,132,
84603182,TULLSS-FA05-J01               ,FA05J01,TULLSS EL ARISH PROT SCHEME,RY,PROTECTION/SUB/SCHEME/FDR,EO_PROTECTIVE_EQPT_INST,15679978,000000713205,10129901,22,10020765
85029655,WAEASS-EB02-J02               ,EB02J02,WAEASS 33KV BACKUP PROT SCHEME,RY,PROTECTION/SUB/RELAY/J11B,EO_PROTECTIVE_EQPT_INST,15684623,000008232702,84670367,33,60026737
85029654,WAEASS-EB02-J01               ,EB02J01,WAEASS 33KV MAIN PROT SCHEME,RY,PROTECTION/SUB/RELAY/J11M,EO_PROTECTIVE_EQPT_INST,15684618,000008232703,84670367,33,60026737
85236272,CHUMSS-CA03-J01               ,CA03J01,CHUMSS DUGALD RIVER FDR X SCHEME,RY,PROTECTION/SUB/SCHEME/M,EO_PROTECTIVE_EQPT_INST,15686718,000008490470,85243898,220,85243895
84604055,CHUMSS-EA01-J01               ,EA01J01,CHUMSS CLONCURRY MAIN PROT SCHEME,RY,PROTECTION/SUB/SCHEME/FDR,EO_PROTECTIVE_EQPT_INST,15664698,000000648605,25270760,66,20003596
85128906,ROGLSS-FB57-J01               ,10880720,ROGLSS SPARE,RY,PROTECTION/SUB/SCHEME/FDR,EO_PROTECTIVE_EQPT_INST,15685298,000008287797,40211312,11,40001137
85209905,WAEASS-FB11-J01               ,FB11J01,WAEASS WOMINA FDR MAIN PROT SCHEME,RY,PROTECTION/SUB/SCHEME/M,EO_PROTECTIVE_EQPT_INST,15686468,000008461341,84670342,11,85221077
85209904,WAEASS-EB07-J01               ,EB07J01,WAEASS WARWICK 2 MAIN PROT SCHEME,RY,PROTECTION/SUB/SCHEME/M,EO_PROTECTIVE_EQPT_INST,15686463,000008461342,84670480,33,
84601218,LACRSS-FB52-J01               ,10534445,LACRSS CQME NO.2,RY,PROTECTION/SUB/SCHEME/FDR,EO_PROTECTIVE_EQPT_INST,15671338,000000713483,40210775,11,40001108
84601219,LACRSS-FB53-J01               ,10534446,LACRSS EMU PARK RD,RY,PROTECTION/SUB/SCHEME/FDR,EO_PROTECTIVE_EQPT_INST,15671343,000000713477,40210769,11,40001104
84602129,OONNSS-EA02-J02               ,EA02J02,OONNSS 6147 HERMIT PARK BACKUP,RY,PROTECTION/SUB/SCHEME/B,EO_PROTECTIVE_EQPT_INST,15675333,000007146373,82884976,66,
84601115,KIDSSS-GA06-J01               ,GA06J01,KIDSSS SPARE 3 PROT SCHEME,RY,PROTECTION/SUB/SCHEME/FDR,EO_PROTECTIVE_EQPT_INST,15670928,000000665247,10132129,6.6,
85154204,ROMASS-DA05-J04               ,DA05J04,ROMASS 132 BUS,RY,PROTECTION/SUB/SCHEME/BUS,EO_PROTECTIVE_EQPT_INST,15685758,000008314806,84261574,132,
84604038,CHTOSS-MX01-J01               ,MX01J01,CHTOSS CAP 1 MAIN PROT SCHEME,RY,PROTECTION/SUB/SCHEME/FDR,EO_PROTECTIVE_EQPT_INST,15664618,000000648337,25270933,11,
84604040,CHTOSS-MX02-J01               ,MX02J01,CHTOSS CAP 2 MAIN PROT SCHEME,RY,PROTECTION/SUB/SCHEME/FDR,EO_PROTECTIVE_EQPT_INST,15664628,000000648496,25270935,11,
84604046,CHTOSS-TX02-J01               ,TX02J01,CHTOSS TRANSF 2 MAIN PROT SCHEME,RY,PROTECTION/SUB/SCHEME/FDR,EO_PROTECTIVE_EQPT_INST,15664658,000000581530,25270909,11,
84604046,CHTOSS-TX02-J01               ,TX02J01,CHTOSS TRANSF 2 MAIN PROT SCHEME,RY,PROTECTION/SUB/SCHEME/FDR,EO_PROTECTIVE_EQPT_INST,15664658,000000581530,25270907,66,
