blockpathenu,paramnameenu,proposedsetting,unitenu,relaysettingid
Group 2/Set 2/Directional Elements/,E32,N,,D1C31897-603D-44AE-972D-8DEF622B8763
Group 3/Set 3/Directional Elements/,E32,N,,D1C31897-603D-44AE-972D-8DEF622B8763
Group 5/Set 5/Directional Elements/,E32,N,,D1C31897-603D-44AE-972D-8DEF622B8763
Group 6/Set 6/Directional Elements/,E32,N,,D1C31897-603D-44AE-972D-8DEF622B8763
Group 4/Set 4/Directional Elements/,E32,N,,D1C31897-603D-44AE-972D-8DEF622B8763
Group 1/Set 1/Directional Elements/,E32,N,,D1C31897-603D-44AE-972D-8DEF622B8763
Group 2/Set 2/Phase Time - Overcurrent/,E51P,1,,D1C31897-603D-44AE-972D-8DEF622B8763
Group 2/Set 2/Residual Ground Time - Overcurrent/,E51G,1,,D1C31897-603D-44AE-972D-8DEF622B8763
Group 3/Set 3/Phase Time - Overcurrent/,E51P,1,,D1C31897-603D-44AE-972D-8DEF622B8763
Group 3/Set 3/Residual Ground Time - Overcurrent/,E51G,1,,D1C31897-603D-44AE-972D-8DEF622B8763
Group 5/Set 5/Phase Time - Overcurrent/,E51P,1,,D1C31897-603D-44AE-972D-8DEF622B8763
Group 5/Set 5/Residual Ground Time - Overcurrent/,E51G,1,,D1C31897-603D-44AE-972D-8DEF622B8763
Group 6/Set 6/Phase Time - Overcurrent/,E51P,1,,D1C31897-603D-44AE-972D-8DEF622B8763
Group 6/Set 6/Residual Ground Time - Overcurrent/,E51G,1,,D1C31897-603D-44AE-972D-8DEF622B8763
Group 4/Set 4/Phase Time - Overcurrent/,E51P,1,,D1C31897-603D-44AE-972D-8DEF622B8763
Group 4/Set 4/Residual Ground Time - Overcurrent/,E51G,1,,D1C31897-603D-44AE-972D-8DEF622B8763
Group 1/Set 1/Residual Ground Time - Overcurrent/,E51G,1,,D1C31897-603D-44AE-972D-8DEF622B8763
Group 1/Set 1/Phase Time - Overcurrent/,E51P,1,,D1C31897-603D-44AE-972D-8DEF622B8763
Group 2/Set 2/Directional Elements/,DIR1,N,,D1C31897-603D-44AE-972D-8DEF622B8763
Group 2/Set 2/Directional Elements/,DIR4,N,,D1C31897-603D-44AE-972D-8DEF622B8763
Group 2/Set 2/Directional Elements/,DIR2,N,,D1C31897-603D-44AE-972D-8DEF622B8763
Group 2/Set 2/Directional Elements/,DIR3,N,,D1C31897-603D-44AE-972D-8DEF622B8763
Group 3/Set 3/Directional Elements/,DIR3,N,,D1C31897-603D-44AE-972D-8DEF622B8763
Group 3/Set 3/Directional Elements/,DIR4,N,,D1C31897-603D-44AE-972D-8DEF622B8763
Group 3/Set 3/Directional Elements/,DIR1,N,,D1C31897-603D-44AE-972D-8DEF622B8763
Group 3/Set 3/Directional Elements/,DIR2,N,,D1C31897-603D-44AE-972D-8DEF622B8763
Group 5/Set 5/Directional Elements/,DIR2,N,,D1C31897-603D-44AE-972D-8DEF622B8763
Group 5/Set 5/Directional Elements/,DIR1,N,,D1C31897-603D-44AE-972D-8DEF622B8763
Group 5/Set 5/Directional Elements/,DIR4,N,,D1C31897-603D-44AE-972D-8DEF622B8763
Group 5/Set 5/Directional Elements/,DIR3,N,,D1C31897-603D-44AE-972D-8DEF622B8763
Group 6/Set 6/Directional Elements/,DIR3,N,,D1C31897-603D-44AE-972D-8DEF622B8763
Group 6/Set 6/Directional Elements/,DIR2,N,,D1C31897-603D-44AE-972D-8DEF622B8763
Group 6/Set 6/Directional Elements/,DIR1,N,,D1C31897-603D-44AE-972D-8DEF622B8763
Group 6/Set 6/Directional Elements/,DIR4,N,,D1C31897-603D-44AE-972D-8DEF622B8763
Group 4/Set 4/Directional Elements/,DIR4,N,,D1C31897-603D-44AE-972D-8DEF622B8763
Group 4/Set 4/Directional Elements/,DIR3,N,,D1C31897-603D-44AE-972D-8DEF622B8763
Group 4/Set 4/Directional Elements/,DIR1,N,,D1C31897-603D-44AE-972D-8DEF622B8763
Group 4/Set 4/Directional Elements/,DIR2,N,,D1C31897-603D-44AE-972D-8DEF622B8763
Group 1/Set 1/Directional Elements/,DIR3,N,,D1C31897-603D-44AE-972D-8DEF622B8763
Group 1/Set 1/Directional Elements/,DIR2,N,,D1C31897-603D-44AE-972D-8DEF622B8763
Group 1/Set 1/Directional Elements/,DIR4,N,,D1C31897-603D-44AE-972D-8DEF622B8763
Group 1/Set 1/Directional Elements/,DIR1,N,,D1C31897-603D-44AE-972D-8DEF622B8763
Group 2/Set 2/Comm. Assisted Trip Schemes/,ECOMM,N,,D1C31897-603D-44AE-972D-8DEF622B8763
Group 3/Set 3/Comm. Assisted Trip Schemes/,ECOMM,N,,D1C31897-603D-44AE-972D-8DEF622B8763
Group 5/Set 5/Comm. Assisted Trip Schemes/,ECOMM,N,,D1C31897-603D-44AE-972D-8DEF622B8763
Group 6/Set 6/Comm. Assisted Trip Schemes/,ECOMM,N,,D1C31897-603D-44AE-972D-8DEF622B8763
Group 4/Set 4/Comm. Assisted Trip Schemes/,ECOMM,N,,D1C31897-603D-44AE-972D-8DEF622B8763
Group 1/Set 1/Comm. Assisted Trip Schemes/,ECOMM,N,,D1C31897-603D-44AE-972D-8DEF622B8763
