relaysettingid,nameenu,actualvalue
ABBC76C8-3D05-47A6-ADD7-706EE12FF63E,Isec_1,5.0
7A64D571-AD51-461D-8D18-FD5AF1038C0A,Ratio I_1,60.0
2E179BF0-30D2-4FBB-A43D-C4B06FC88C48,Iprim_1,2000.0
2866BB97-DC09-4241-A114-0B63B018B202,Iprim_1,400.0
646DFEF1-4E33-43DF-ADAA-1877F8B71E6F,Iprim_1,2000.0
8A005570-1126-40FA-BABC-3B5E7B3D082D,Iprim_1,1600.0
A2617871-8F1A-4787-958E-0CC9F1616BDC,Ratio I_2,60.0
045772B7-CFA1-44F5-8DF6-DBA2CBB5CFEB,Iprim_1,400.0
27BF090F-936A-4FF9-87BA-40970C75EE90,Ratio I_1,80.0
A70A7AA4-A316-4D00-B2EE-6AC229CA94A9,Isec_1,5.0
1D227C55-09B0-4147-93D8-313A9F25DBBB,Iprim_1,1600.0
C0926494-F04F-4CA7-AE93-70D5EDF873AE,Isec_1,5.0
AA522C9A-FCC2-46A3-ADE3-949EA0EC18AE,Ratio I_1,80.0
2071EAAD-3C52-431B-A1AD-B3946297E399,Iprim_1,400.0
9A82270A-B182-46DD-A54D-3712BB4D0CE1,Ratio I_1,80.0
184426BE-7ACD-4F5A-B90B-CA78DD3FA502,Ratio I_1,20.0
4E24CF62-EDC7-4C67-88A2-3EC4B384D881,Isec_1,5.0
E921C28E-3E56-4A8D-83E3-E0922A352B13,Iprim_1,400.0
6CA6A83F-A97E-46C2-9656-98B1C61939C0,Isec_1,5.0
D2B8BF3A-2003-4B7B-85D8-7A30E798FC3F,Isec_1,5.0
C1338B90-AE05-4858-9143-1EEAE495CC44,Ratio I_1,80.0
69333AC2-5BB8-42D1-93AE-D2FE741CD1DD,Ratio I_1,600.0
9A88A795-34CE-4A64-A245-3F7B8727EB0F,Isec_1,5.0
600FB49D-B14C-48AD-AACC-496F77641099,Ratio I_1,60.0
B503D54C-EDB3-4125-9B83-0136EAEFE2D1,Iprim_1,400.0
298C38B0-A057-4F24-9238-B06B718B8697,Isec_1,5.0
67336FD9-9B01-42FD-B4DC-2116BC0E7929,Isec_1,5.0
C778E21B-D615-4CAD-8AED-B2D73C007F83,Ratio I_1,80.0
0693FEAD-02CC-427F-9465-00AF994D92AA,Ratio I_1,60.0
9C51E1B1-C2EC-46CD-912A-6DDD17C4E273,Isec_1,5.0
0735056D-4B4F-47AF-9821-5D9D84BC3711,Isec_1,5.0
3E07DB68-AA7F-451A-A629-C6B01B2A563B,Isec_1,5.0
BA8C93A4-3898-45C2-8775-D18602DBDEB7,Isec_1,5.0
44DC18C5-2897-46DA-8D0C-BF5AD3E6CC2F,Iprim_1,400.0
AC2DC08C-AF41-4F2E-8600-7E414574112A,Ratio I_1,60.0
AAF8FBD9-DD41-4665-BE4B-F188FCA4BBF6,Iprim_1,400.0
B51E54B8-5510-4D6F-A863-134D34685CB2,Isec_1,1.0
A218337D-13B1-4258-8A39-45DA6C8BCE3A,Isec_1,5.0
DB2D6D95-5CE0-4BB7-A750-7061C8ED750B,Isec,5.0
9C0FA941-37E8-4077-BB4F-1F1A2B785E13,Iprim_1,400.0
6CF7EF88-138D-4B56-88CC-AB7A9A676082,Ratio I_1,200.0
3F3875C7-F875-440C-B203-A29C9600D248,Iprim_1,400.0
7138B04B-9759-4DA4-B486-5AC31FAE6603,Ratio I_1,160.0
FF981033-50FE-4898-AD2C-38C45BA5D505,Isec_1,5.0
7F414C9A-A969-4CFE-B5EA-C30E6C9A4986,Iprim_1,600.0
5C8CF843-BC05-4851-935A-9257441E8FED,Ratio I_1,1200.0
8629DA23-6FAA-4A65-901E-396B4380A414,Isec_1,5.0
9780C6FE-7660-4038-9F2F-BF4103C845B6,Iprim_1,400.0
40AB1D88-63FA-4487-B532-03C5A5E1FA24,Ratio I_1,160.0
F6181F06-8BD8-4C0D-963F-9307EDF943B6,Isec_1,5.0
AE9E6D32-01D5-4DC1-A28F-1AB3487A44D3,Isec_1,5.0
089C7F58-8A09-4485-80B1-C49CBB00463D,Isec_1,5.0
50516920-34A6-47C4-B3BB-C351B2BE5458,Isec_1,5.0
416574E8-C91F-4DCF-A4ED-A699E8A1AA95,Ratio I_1,80.0
41ED2926-F1AD-4DA5-B09F-44FF600F895C,Iprim_1,400.0
24632E85-EBE4-4C29-9CD0-F925599C5F13,Isec_1,5.0
C13AD3A4-01E0-40FA-8C55-D3206B317547,Iprim_1,300.0
1AEEA208-0A88-414D-B4F9-66606DF7E743,Iprim_1,1200.0
56C35E8F-315B-4B00-8FDD-ED04B853687F,Iprim_1,800.0
D39A8015-BE4E-4798-86FB-B044905F503C,Iprim_1,300.0
2322F98A-D18E-4171-A23F-E89924976E2D,Ratio I_1,80.0
415F2AAB-9649-4748-9739-042FD37939E9,Isec_1,1.0
30DFFF6C-5E0E-4E95-A991-3614D0C5FBE5,Isec_1,5.0
52956354-4B7C-46B0-9627-CD3261F95E0D,Ratio I_1,80.0
D35390B5-4002-4C09-99C0-2460AB81C646,Ratio I_1,80.0
8F67A8A7-C08A-47F8-807F-F21B9FE9021B,Isec_1,5.0
03B098C2-4F58-4B6E-B2FD-E09B9B2DB14A,Iprim_1,1600.0
E01021B8-ED64-4E5F-8E44-E4D17A944BF9,Iprim_1,800.0
EDEDD9B9-E5EE-4CCB-B9EA-F8E9077F108B,Isec_1,5.0
7EB91196-640D-4CF6-89AE-4D3852F3284E,Isec_1,5.0
2BEB8A62-85AB-4811-BE7A-1F718BB12BCC,Ratio I_1,160.0
BE6DF825-067B-46CA-8EB4-C182DBBA6359,Isec_1,5.0
04FD2563-17F5-4EA0-9982-23A523E71946,Iprim_1,400.0
338DFFAB-2EAE-4B08-9B80-7815FBECEE60,Ratio I_1,1000.0
FA72BA30-E9F3-44F5-B2F8-31CC7BE58F3F,Isec_1,5.0
9F3F6668-DD15-4B4B-BA8B-C042F0B2408E,Isec_1,5.0
5DE33DB4-D930-46E1-BC33-C24AF2DF917A,Isec_1,5.0
245380AE-150B-45B3-B81F-02D730E0D987,Isec_1,1.0
F99D5934-D0F1-4D66-873C-4D6CBA7E8F8D,Ratio I_1,800.0
D54BCE0F-4EFC-4FC1-82DB-9ACF7F2405AE,Isec_1,5.0
E8EAECDB-A1B4-404C-AE4D-1A836EC714B8,Ratio I_1,120.0
45241E84-9DE2-449B-AA3E-D08DD1DD19AD,Ratio I_1,60.0
A4B3837F-90E5-4D82-A909-92167F70A515,Iprim_1,2000.0
7C9EB0EB-5E7F-47D7-A607-5F895314340C,Ratio I_1,240.0
CFB62A35-5909-4513-AF90-92B95F00A0E7,Ratio I_1,200.0
8D7D854B-13E8-487E-8104-2B33DA9DED86,Ratio I_1,160.0
A817B26F-1E0D-44F4-9769-54B6761A5773,Ratio I_1,60.0
CB420EE2-6327-4D1E-8CA2-D126803DE56C,Iprim_1,400.0
56B335ED-6F65-489B-A917-9C6AE71AB1C3,Iprim_1,400.0
C7595250-70F2-4D3A-A3A1-8DAC5EE6FBD2,Iprim_1,800.0
2FC55044-8CBC-4ACF-B846-A55DD9F8614E,Isec_1,5.0
7175E9C8-5B3E-46AC-8DDE-115342B12163,Iprim_1,400.0
CE604063-DD72-4E6E-9C96-7E51D7B26A9A,Isec_1,5.0
8CFE4BCF-9FA1-4DC5-A18B-D0997EF29FE0,Iprim_1,600.0
69F39D0E-7532-4785-86B8-6CF9B826410E,Ratio I_1,400.0
8640B559-31C6-4BB1-9DEC-9286E17F65D8,Isec_1,5.0
B9820F84-D679-4B39-A8FA-3770420F5CFD,Iprim_1,2000.0
5CDE8DAF-5255-462F-9C72-EBE96ADB6DE8,Isec_1,5.0
5A1D7387-1DCC-4679-9ADB-6428232BF05E,Isec_1,5.0
6E02FC06-D01A-49A8-AE34-9CD933FE94E1,Isec_1,5.0
959C7519-8491-4AF8-B1E5-A887836494BD,Isec_1,5.0
E43DE804-426B-437D-B5EF-42B823A570B0,Ratio I_6,400.0
D9137968-10C6-4B31-BED6-BCD72AEC62E1,Iprim_1,400.0
7424FA5A-9388-4F58-B14A-1A800B444DEC,Isec_1,5.0
533AA5FC-8D79-4C5F-942C-742999DD3ED4,Ratio I_1,1000.0
EE8D406C-CE49-4729-BE0E-BB7414D82A41,Ratio I_1,400.0
53A84482-37D5-481B-86B2-FEC8129C3BC0,Isec_1,1.0
069005E4-DD20-41E7-8BB2-D013BD51EB73,Isec_1,5.0
BDB2AF0F-3950-43A2-830A-F38A833EE6D9,Isec_1,5.0
A6186055-C14A-4B8E-B188-3944000256BC,Iprim_1,800.0
C0CD4FFF-60BB-4EF2-9334-3828A67A9CB7,Iprim_1,800.0
4E89CC81-08D1-4625-BB41-E4EDCC6875D3,Iprim_1,1200.0
DCBF62C0-8B20-428D-AA2C-65E09DF13202,Iprim_1,400.0
674618D2-9EDC-452A-86E5-10674A59A53B,Ratio I_1,160.0
8B983E60-7F6C-4148-B5C3-5C804B1E9B6F,Isec_1,5.0
866C9F1C-8A2B-45CF-8462-EF0257EC4673,Ratio I_1,1600.0
3DDF35EA-4B01-4376-B8CE-459F79C65A17,Ratio I_1,80.0
05D020E8-4109-4E03-8696-AE85FE23DEFF,Ratio I_1,120.0
C8FEBA85-E899-4462-B358-ACA1F05915EF,Isec_1,5.0
E593549F-495A-410A-B781-4E6C8DD23995,Iprim_1,400.0
6DE31FBF-AC8C-4CFA-ADDB-CC93E78AA395,Ratio I_1,80.0
8637C9B3-A249-41F0-B208-FE0C9C7E7785,Iprim_2,600.0
CFF712A6-65E5-4710-B9A0-DB56D9E6281E,Ratio I_1,200.0
02269A6B-7E03-47E2-973F-730AB1BA0973,Ratio I_1,160.0
4E9AC337-01EC-4D84-A23C-33B614127648,Iprim_1,300.0
26FA1E91-CA3F-4F1E-97B9-74F4C3F0FC75,Isec_1,5.0
CCAB11DA-D1B4-4EC2-BBD6-1BC851FEF488,Isec_1,5.0
3EDBD9E4-7EBE-4305-B872-B07F48547745,Iprim_1,400.0
9FA5BD2C-2E79-42E6-A747-6E888668D4F4,Iprim_1,400.0
E025EE6F-15FC-4956-8EA9-48EF40DF5595,Iprim_1,1200.0
552D97FF-9627-4E76-A628-94577AC5A8B1,Iprim_1,800.0
4195B245-D4FE-44D8-B7A0-2E86DA46E203,Ratio I_1,120.0
DFE20D8F-3B1D-4A2C-943B-EA3AAB087E60,Iprim_1,300.0
1D2C36E0-9D2C-439D-B36D-0E8FFF075F22,Isec_1,5.0
8600B4B6-78A3-4C20-A168-5D677074D881,Ratio I_1,80.0
468FE9DB-19B8-443C-B1F0-F68A6A055E18,Iprim_1,1000.0
2AD3CDBC-8832-43F0-8FEE-72A30E04949E,Isec_1,5.0
BB305EB9-C681-4716-8AB6-CEC8A08C80D8,Iprim_1,2000.0
00CDA760-628A-4932-8E5D-6D9847C70454,Isec_1,5.0
C0CAFDD6-1786-4658-9FB7-8B428AC66537,Isec_1,5.0
D762808B-A525-44C8-BFFB-F87B0D562E91,Ratio I_1,320.0
A40048EC-5694-4FBA-92BB-C2E20F4D1BBC,Isec_1,5.0
3DA4FC8C-6428-4C28-949A-F02531FA4508,Ratio I_1,160.0
FCB16B61-09F2-4268-B4EB-54E85365A954,Isec_1,5.0
5DD9BBD6-A9E7-4D19-8050-125E2C92C488,Iprim_1,400.0
914A5F85-03E8-4F80-B1CA-32AEF74006C9,Iprim_1,800.0
E6AE56D5-1A91-446A-9204-52029AA885A8,Isec_1,1.0
32A51CE8-45C9-4B1F-9430-AE8BFD6812B8,Isec_1,5.0
F66AA2DD-FADD-4D9E-9B99-EEBBBBFCD23F,Isec_1,5.0
BA5A8723-1604-41A2-9DE4-31E1430C35BD,Ratio I_1,200.0
2E86CBAB-BDCB-45ED-9A5B-6A6B9C6B1027,Isec_1,1.0
944204F3-4002-4334-B1F1-3EF23C1FCE24,Ratio I_1,320.0
D2B48466-1D1B-407D-9620-E51C4A5C7AA2,Iprim_1,2000.0
3CEA7174-D0D2-4B02-A26B-30E30BD6FD15,Ratio I_1,800.0
42A6ACD4-F841-4316-A289-BF7A696ECF88,Ratio I,2000.0
9ECC5F64-BEC0-4E29-A653-F4FBDFBAB01A,Iprim_1,400.0
4536F143-1E63-4526-ADD9-3AEC7B2D1AC9,Ratio I_1,20.0
88D0330C-F914-4235-9B94-D9B28C1C234C,Isec_1,5.0
0DC39D37-4EB4-4A13-B527-0E35F426C2AB,Isec_1,5.0
461E46ED-2E88-4AE0-98F7-0D0F55681A93,Iprim_1,600.0
9AE089F3-ED4F-4C55-8CF5-E29C5669C1CF,Ratio I_1,80.0
503B90D8-5821-40C6-9E23-8C99A49E5C20,Isec_1,5.0
0B557E51-C233-4937-9C4E-5A2D82030E97,Isec_1,5.0
F601636E-A857-4D32-9794-112B4BDE297E,Ratio I_1,20.0
DFBFF865-7488-44FB-82B9-28BE4F8EED00,Ratio I_1,80.0
14404EE8-0243-4577-99B4-43E05DCFC35D,Ratio I_1,80.0
6A130D68-3008-4313-8E0C-E02F9841BBE8,Ratio I_1,400.0
7EA7EDD1-BDDB-4D99-9D6A-C7300768FA7F,Isec_1,5.0
B480E0C1-9A11-49C7-9F12-AFC6B3595439,Isec_1,5.0
0AA89B0E-0611-434F-80F4-511914722C1B,Isec_1,5.0
6751A9E6-9FFA-4785-82C9-7972A95C5C37,Iprim_1,400.0
567A93DC-4ECB-4A89-82CD-EA27411E22CD,Ratio I_1,2000.0
2DADA575-BC84-43FD-9F38-28067330912A,Ratio I_1,80.0
0BB9AC42-F325-4C89-A951-660407813F9F,Iprim_1,300.0
EA7478BD-8934-44BA-8F24-16B156476A4C,Isec_1,1.0
7AD7D1BC-5738-4C59-B237-13D92A80F334,Isec_1,5.0
9C96C233-F406-41D6-971E-DA5AB658CC94,Ratio I_1,120.0
2E4123C5-8ED7-4936-A046-F8E3F5738956,Isec_1,5.0
52FABA31-9657-4052-A2C5-524377B1D070,Ratio I_1,2000.0
8ECA57FF-A9C1-47E5-B301-6CF8C7F2DDF6,Ratio I_1,80.0
7241C82A-5319-4AC4-8B64-5AAFA61C231B,Ratio I_1,80.0
CE1960D9-B2E2-4C61-BEF3-B3DD32DB1F77,Iprim_1,100.0
D6E0A788-A41C-4EBB-BA40-EB370D2E52C5,Ratio I_1,160.0
69A57FF7-A62A-40D8-88B8-0AE13C8C0D6E,Isec_1,5.0
EEB6B6C3-3B58-47C4-8BED-AEB4ED140923,Ratio I_1,80.0
A3BDCFEB-DE68-4703-AC23-6ADB5905CFD2,Isec_1,5.0
5A3A39B8-5286-40B3-84E1-0A4849AAF3C2,Isec_1,5.0
B9815023-4DA0-4969-AADC-4CD81D2FD954,Iprim_1,400.0
ED0C93A5-FCC5-4CF5-999B-2DFF1F05464D,Isec_1,5.0
B35DB53A-8405-42D3-AA51-AC70C0A116A9,Iprim_1,3000.0
D956E322-CDF2-4ED9-A7F1-020BB3CA1FDA,Ratio I_1,80.0
9ADB711A-08EA-4A63-B7BC-2A511E177C90,Iprim_1,600.0
29BA2460-5C68-4E10-86E2-3FB87575387E,Iprim_1,300.0
DF829494-FE4E-453A-A687-E7DF2FFAEFBA,Iprim_1,2000.0
0801C2F8-3EAA-4967-9433-232FF3ADFF12,Ratio I_1,2000.0
62B05A98-9D87-4C7D-BAE6-DFEF2D2C5E61,Ratio I_1,80.0
14A67D3F-0243-43E5-B31D-8B2E6F79A720,Ratio I_1,120.0
E73700D7-68AC-48B3-B197-873FA5EA4E82,Iprim_1,1600.0
2A3077D5-90D1-4ACF-B2C3-9B8B535A86EA,Isec_1,5.0
1553AA43-3738-4EBD-84D3-C540C36BCF0D,Iprim_1,400.0
AACECCC2-72D3-4D45-B57E-C7CC1B53D5A7,Ratio I_1,80.0
6F8DCBDB-73A4-4FB3-AC6F-B4A8717CA06A,Ratio I_1,160.0
84F4F227-E6FB-4B35-8FB9-AD3F4A513DB5,Ratio I_1,80.0
A817455C-B6A4-4BC3-BF75-B80B24530F7C,Ratio I_1,60.0
D49C029B-1A0D-4D13-870C-43C5CB725351,Iprim_1,400.0
A9CB903A-5921-4C95-A3E5-C47EC05889F7,Isec_1,5.0
423DD9E1-7986-4D5C-820A-BEFC037720F6,Iprim_1,300.0
9D2D91AD-59E9-48D4-BBCD-DD0B2B5C21FA,Isec_1,1.0
697ED337-96A1-44FA-A18E-ABD1E8F60CC6,Iprim_1,400.0
57224F09-75F4-4929-87CE-4A4D1D5D66F6,Iprim_1,400.0
0F727A7D-4B66-4A37-9812-91BC1A7EAF3F,Iprim_1,100.0
EE3E1332-B2F2-45DF-B114-C593506D19CD,Isec_1,5.0
2C0CD33C-4A30-4168-A94C-B39A09FB4557,Ratio I_1,400.0
83AB870E-64BA-41B0-A869-D28D32084AD3,Ratio I_1,120.0
A6104BC2-80F6-43CE-A614-A2A87F13E5A3,Isec_1,1.0
BDBA3C2F-D330-4D83-AAD1-C01ECBC9CEC2,Iprim_1,800.0
EA7C7CE7-C4B7-40B0-BC01-DA0444C028C9,Isec_1,5.0
6102BC53-8543-420E-9EB4-C6CC556D709B,Isec_1,1.0
98925B44-1A32-4E86-8D8A-8C2CAFE25F5A,Isec_1,5.0
CD3DC7D0-B521-408D-B879-9ED035BB9C5A,Ratio I_1,160.0
E3666CC6-4FCD-4297-909F-E91F52D0C1DB,Isec_1,5.0
460F380B-F519-4CEE-8EB7-9A0C2FF65F6B,Ratio I_1,80.0
9083DFCD-2580-4B85-A16C-EED8650418CB,Isec_1,5.0
89EAC378-6D7C-4A77-8DD5-B54D51E80BEC,Isec_1,5.0
